Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
231854.895       85401      337176  0.203E-02  0.804E-01  0.122E+07  0.328E+01  0.570E+01
232354.898      143749      682072  0.792E-03  0.373E-01  0.127E+07  0.288E+01  0.131E+01
232854.920      192734     1013604  0.425E-03  0.171E-01  0.334E+06  0.293E+01  0.725E+00
233354.902      237595     1340517  0.274E-03  0.800E-02  0.133E+06  0.287E+01  0.485E+00
233854.896      278032     1663590  0.210E-03  0.421E-02  0.295E+05  0.236E+01  0.311E+00
234354.898      315791     1986833  0.203E-03  0.234E-02  0.296E+05  0.244E+01  0.439E+00
234854.898      351610     2307008  0.206E-03  0.134E-02  0.307E+05  0.218E+01  0.461E+00
235355.086      385433     2635791  0.211E-03  0.839E-03  0.214E+05  0.221E+01  0.370E+00
235854.895      418035     2967280  0.228E-03  0.737E-03  0.280E+05  0.205E+01  0.258E+00
000354.900      449122     3302451  0.243E-03  0.666E-03  0.376E+05  0.202E+01  0.415E+00
000854.896      479852     3644592  0.272E-03  0.603E-03  0.373E+05  0.204E+01  0.332E+00
001354.898      510935     4010553  0.291E-03  0.544E-03  0.354E+05  0.202E+01  0.364E+00
