    r      L_U-Cl   L_Cl-Cl
  2.000    -0.050    -0.084
  2.020    -0.050    -0.082
  2.040    -0.050    -0.080
  2.060    -0.049    -0.079
  2.080    -0.049    -0.076
  2.100    -0.049    -0.074
  2.120    -0.048    -0.072
  2.140    -0.047    -0.069
  2.160    -0.046    -0.066
  2.180    -0.045    -0.062
  2.200    -0.043    -0.059
  2.220    -0.040    -0.054
  2.240    -0.036    -0.050
  2.260    -0.031    -0.045
  2.280    -0.023    -0.040
  2.300    -0.012    -0.034
  2.320     0.002    -0.028
  2.340     0.023    -0.021
  2.360     0.051    -0.013
  2.380     0.090    -0.005
  2.400     0.142     0.004
  2.420     0.213     0.014
  2.440     0.308     0.025
  2.460     0.433     0.037
  2.480     0.593     0.049
  2.500     0.795     0.063
  2.520     1.039     0.078
  2.540     1.324     0.094
  2.560     1.641     0.112
  2.580     1.975     0.131
  2.600     2.309     0.151
  2.620     2.626     0.173
  2.640     2.911     0.197
  2.660     3.155     0.222
  2.680     0.000     0.250
  2.700     0.000     0.278
  2.720     0.000     0.309
  2.740     0.000     0.342
  2.760     0.000     0.376
  2.780     0.000     0.413
  2.800     0.000     0.451
  2.820     0.000     0.492
  2.840     0.000     0.534
  2.860     0.000     0.578
  2.880     0.000     0.623
  2.900     0.000     0.670
  2.920     0.000     0.718
  2.940     0.000     0.768
  2.960     0.000     0.818
  2.980     0.000     0.870
  3.000     0.000     0.922
  3.020     0.000     0.974
  3.040     0.000     1.026
  3.060     0.000     1.078
  3.080     0.000     1.130
  3.100     0.000     1.182
  3.120     0.000     1.232
  3.140     0.000     1.282
  3.160     0.000     1.330
  3.180     0.000     1.377
  3.200     0.000     1.422
  3.220     0.000     1.466
  3.240     0.000     1.508
  3.260     0.000     1.549
  3.280     0.000     1.587
