    r     L_Yb-Yb   L_Yb-Ti    L_Yb-O    L_Ti-O     L_O-O
  2.840     0.265     0.000     0.000     0.000     0.000
  2.850     0.268     0.000     0.000     0.000     0.000
  2.860     0.271     0.000     0.000     0.000     0.000
  2.870     0.274     0.000     0.000     0.000     0.000
  2.880     0.277     0.000     0.000     0.000     0.000
  2.890     0.280     0.000     0.000     0.000     0.000
  2.900     0.283     0.000     0.000     0.000     0.000
  2.910     0.286     0.000     0.000     0.000     0.000
  2.920     0.289     0.000     0.000     0.000     0.000
  2.930     0.292     0.000     0.000     0.000     0.000
  2.940     0.295     0.000     0.000     0.000     0.000
  2.950     0.298     0.000     0.000     0.000     0.000
  2.960     0.301     0.000     0.000     0.000     0.000
  2.970     0.303     0.000     0.000     0.000     0.000
  2.980     0.306     0.000     0.000     0.000     0.000
  2.990     0.309     0.000     0.000     0.000     0.000
  3.000     0.312     0.000     0.000     0.000     0.000
