 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-O ,Ti-Ti,Ti-O ,O-O  
   1.17000 ,    -0.119777281667762E+02 ,     0.512495132949700E+01 ,     0.945293046833266E+00 ,    -0.126288279659329E+02 ,    -0.281986648421365E+00 ,    -0.206897401350223E+01 , 
   1.18000 ,    -0.126293361842705E+02 ,     0.545218849484476E+01 ,     0.933183087375702E+00 ,    -0.132022674788784E+02 ,    -0.870284085056044E+00 ,    -0.182708248010603E+01 , 
   1.19000 ,    -0.116069437417739E+02 ,     0.459703247063364E+01 ,     0.717126395645247E+00 ,    -0.119435820050208E+02 ,    -0.128813518064173E+01 ,    -0.151104419565552E+01 , 
   1.20000 ,    -0.943961325839591E+01 ,     0.306400996145063E+01 ,     0.386503026411871E+00 ,    -0.945940767798585E+01 ,    -0.147083972666099E+01 ,    -0.120569125037093E+01 , 
   1.21000 ,    -0.675035316207431E+01 ,     0.133272587375044E+01 ,     0.315514579402242E-01 ,    -0.645587389956364E+01 ,    -0.138403391465197E+01 ,    -0.988335252437271E+00 , 
   1.22000 ,    -0.414548410191314E+01 ,    -0.217729252499915E+00 ,    -0.272133897154703E+00 ,    -0.361105499784362E+01 ,    -0.103893020987775E+01 ,    -0.910722453048804E+00 , 
   1.23000 ,    -0.211806067716545E+01 ,    -0.134964964810207E+01 ,    -0.474219148309354E+00 ,    -0.146497079150685E+01 ,    -0.497527678885025E+00 ,    -0.987628214113059E+00 , 
   1.24000 ,    -0.980205082471904E+00 ,    -0.197149744309887E+01 ,    -0.554060576056610E+00 ,    -0.344575272445243E+00 ,     0.134767991198854E+00 ,    -0.119465720501204E+01 , 
   1.25000 ,    -0.833079472277948E+00 ,    -0.211313959825461E+01 ,    -0.518990189166055E+00 ,    -0.333645052207891E+00 ,     0.728383880001795E+00 ,    -0.147555859737705E+01 , 
   1.26000 ,    -0.157608704730119E+01 ,    -0.188332192886520E+01 ,    -0.397678226836970E+00 ,    -0.128874320444386E+01 ,     0.115669761661782E+01 ,    -0.175707074126418E+01 , 
