Cluster	# of Li atoms
    1         2
    2       279
    4        39
    6         6
    8         5
   10         2
   12        16
   14       155
   16         5
   18        67
   19         6
   23         2
   26        26
   30         5
   31         7
   35         5
   38         4
   39        29
   41         9
   42         5
   43       142
   46         9
   48        10
   49         3
   52         7
   53         7
   54        85
   56         7
   62         4
   64         5
   65        66
   68        78
   72        10
   74         2
   76         2
   77         4
   79         3
   80        44
   81         3
   83         1
   85         5
   89        13
  102         2
  104         2
  105        25
  120        15
  122         2
  123         3
  125         4
  127       121
  129         2
  130         5
  135         6
  136        17
  145         7
  151         4
  152        10
  155         1
  157         7
  158         3
  159         2
  166        79
  170        11
  171         9
  173         1
  174         5
  175         4
  176        21
  178         3
  180         1
  187         3
  191        23
  192         6
  193         8
  197         5
  198         9
  201         2
  203        27
  204         7
  206         5
  207        21
  208         5
  211         3
  213         7
  219         2
  220        12
  222        76
  224        19
  225         3
  226         9
  229         3
  230        16
  232         9
  237         3
  238         6
  240         2
  241         1
  243        17
  246        10
  250        27
  252         8
  255         7
  256        14
  257        10
  258         1
  264        10
  266        21
  269         4
  278        19
  293         1
  298        19
  302         4
  306         7
  311        10
  312         6
  314         6
  318         2
  322         1
  323         3
  324         3
  329         2
  332         2
  333         1
  343         2
  344         1
  345         2
  346         2
  352         2
  367         1
  368         1
  369         2
  370         1
  371         2
  373         1
  374         2
  375         2
  378         2
  380         4
  382         5
  383         4
  384         2
  390         1
  396         3
  398         1
  399         1
  401         5
  407         1
  409         1
  410         6
  411         2
  415         3
  416         3
  419         1
  421         1
  424         2
  425         1
  427         2
  428         1
  431         1
  435         2
  436         4
  438         2
  439         4
  440         4
  444         4
  448         2
  449         2
  454         2
  459         2
  461         3
  464         4
  465         1
  466        10
  469         4
  470         6
  471         1
  473         1
  474         2
  475         3
  479         1
  480         5
  482         2
  483         3
  484         2
  486         1
  488         6
  491         2
  495         2
  497         1
  498         1
  500         6
  501         3
  502         5
  505         3
  507         8
  509         2
  510         2
  511         1
  512         1
  515         1
  519         1
  523         3
  524         1
  528         1
  530         2
  533         1
  534         2
  536         1
  537         5
  538         2
  541         3
  545         1
  546         1
  549         1
  551         3
  554         1
  558         1
  559         3
  560         2
  562         2
  569         4
  570         2
  576         2
  577         2
  578         1
  580         4
  581         4
  583         6
  585         3
  591         1
  594         4
  603         1
  609         1
  616         1
  617         4
  619         4
  629         2
  630         1
  631         3
  632         2
  634         4
  635         1
  636         5
  640         2
  643         1
  644        13
  649         4
  653         1
  655         3
  656         4
  661         2
  663         1
  664         2
  665         3
  667         1
  668         1
  669         2
  671         2
  672         1
  673         5
  675         3
  678         1
  681         1
  683         3
  684         1
  685         5
  686         1
  688         1
  689         1
  691         1
  696         1
  698         2
  702         1
  705         4
  711         1
  712         4
  714         1
  718         1
  719         1
  720         3
  721         1
  722         3
  726         2
  728         1
  729         2
  732         1
  736         3
  738         2
  739         2
  740         1
  744         1
  745         2
  746         1
  747         4
  748         1
  749         2
  750         1
  752         1
  754         1
  756         1
  759         1
  763         2
  764         2
  766         2
  767         3
  772         1
  774         1
  777         1
  781         1
  786         1
  789         1
  790         1
  792         1
  794         2
  796         1
  798         1
  800         3
  801         2
  803         1
  804         1
  805         1
  809         1
  812         2
  815         1
  819         2
  826         1
  827         1
  828         1
  829         1
  830         1
  831         3
  835         1
  836         1
  837         1
  838         1
  839         1
  841         1
  842         1
  843         1
  844         1
  845         1
  846         1
  847         1
  848         2
  851         1
  854         1
  855         1
  857         1
  858         1
  859         1
  860         1
  861         1
  862         1
  863         1
  864         1
  865         1
  866         1
  867         1
  868         1
  869         1
  870         1
  871         1
  872         1
  873         1
  874         1
  875         1
  876         1
  877         1
  878         1
  879         1
  880         1
  881         1
  882         1
  884         1
  885         1
  886         1
  887         1
  888         1
  889         1
  890         1
  891         1
  892         1
  893         1
  894         1
  895         1
  896         1
  897         1
  898         1
  899         1
  900         1
  901         1
  902         1
  903         1
  905         1
  906         1
