Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
231111.642       91921      342565  0.252E-02  0.138E+00  0.167E+07  0.301E+01  0.151E+00
231611.624      151889      681819  0.666E-03  0.323E-01  0.295E+06  0.286E+01  0.210E+00
232111.625      206066     1031780  0.337E-03  0.131E-01  0.807E+05  0.261E+01  0.214E+00
232611.624      254570     1380858  0.233E-03  0.579E-02  0.501E+05  0.262E+01  0.143E+00
233111.623      297919     1733915  0.189E-03  0.291E-02  0.431E+05  0.231E+01  0.662E-01
233611.628      338335     2088732  0.184E-03  0.154E-02  0.246E+05  0.230E+01  0.121E+00
234111.625      376078     2450614  0.209E-03  0.930E-03  0.348E+05  0.215E+01  0.181E+00
234611.627      407676     2865628  0.232E-03  0.757E-03  0.470E+05  0.249E+01  0.612E+00
235111.625      436749     3287593  0.244E-03  0.687E-03  0.422E+05  0.266E+01  0.806E+00
235611.623      465115     3712354  0.265E-03  0.628E-03  0.647E+05  0.254E+01  0.116E+01
000111.627      491462     4135908  0.288E-03  0.576E-03  0.777E+05  0.269E+01  0.146E+01
000611.632      516565     4558335  0.321E-03  0.528E-03  0.752E+05  0.266E+01  0.193E+01
