 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   0.60000 ,    -0.336439825400359E+01 ,     0.327242454675895E+00 ,    -0.107576970307006E+01 , 
   0.62000 ,    -0.337653582080841E+01 ,     0.123684603168574E+00 ,    -0.123340989570308E+01 , 
   0.64000 ,    -0.334260543924339E+01 ,    -0.488690105029318E-01 ,    -0.133616621453112E+01 , 
   0.66000 ,    -0.333514963380489E+01 ,    -0.117432437384072E+00 ,    -0.135946574173110E+01 , 
   0.68000 ,    -0.344134268605964E+01 ,    -0.715842926564736E-01 ,    -0.131780038347508E+01 , 
   0.70000 ,    -0.367480074548560E+01 ,     0.377151812276789E-01 ,    -0.124906683223597E+01 , 
   0.72000 ,    -0.393577430599959E+01 ,     0.134799530361252E+00 ,    -0.119171007514275E+01 , 
   0.74000 ,    -0.405778353487767E+01 ,     0.166224322358716E+00 ,    -0.116722533284491E+01 , 
   0.76000 ,    -0.391592708725295E+01 ,     0.128434963129571E+00 ,    -0.117490145697272E+01 , 
   0.78000 ,    -0.352320204454501E+01 ,     0.614644631676196E-01 ,    -0.119813332997227E+01 , 
   0.80000 ,    -0.304270008747770E+01 ,     0.168083320271048E-01 ,    -0.121649220928855E+01 , 
   0.82000 ,    -0.269744767898534E+01 ,     0.230014823772254E-01 ,    -0.121673236649054E+01 , 
   0.84000 ,    -0.263061453657659E+01 ,     0.709796035889224E-01 ,    -0.119811741515941E+01 , 
   0.86000 ,    -0.280771470431330E+01 ,     0.125693494445796E+00 ,    -0.117084183162758E+01 , 
   0.88000 ,    -0.303028349099840E+01 ,     0.152522477546411E+00 ,    -0.114928264095297E+01 , 
   0.90000 ,    -0.305939239371255E+01 ,     0.139018014002669E+00 ,    -0.114363907644608E+01 , 
   0.92000 ,    -0.277346898251676E+01 ,     0.985884176434715E-01 ,    -0.115401039648227E+01 , 
   0.94000 ,    -0.225802783625334E+01 ,     0.569692202465300E-01 ,    -0.116997328517346E+01 , 
   0.96000 ,    -0.176482221411273E+01 ,     0.338068811828283E-01 ,    -0.117626219625581E+01 , 
   0.98000 ,    -0.156030556134935E+01 ,     0.327464553153584E-01 ,    -0.116193534158348E+01 , 
   1.00000 ,    -0.175526411988871E+01 ,     0.447583156620256E-01 ,    -0.112800401317142E+01 , 
   1.02000 ,    -0.222217989709982E+01 ,     0.587584162315140E-01 ,    -0.108863665157077E+01 , 
   1.04000 ,    -0.265420627673120E+01 ,     0.691801008353194E-01 ,    -0.106427788353349E+01 , 
   1.06000 ,    -0.273280505169517E+01 ,     0.746759400741617E-01 ,    -0.106988584431207E+01 , 
   1.08000 ,    -0.230491849457012E+01 ,     0.709988999830763E-01 ,    -0.110504121980636E+01 , 
   1.10000 ,    -0.146605693970309E+01 ,     0.466496505172377E-01 ,    -0.115232124230074E+01 , 
   1.12000 ,    -0.504295647392197E+00 ,    -0.124703748071140E-01 ,    -0.118576322504550E+01 , 
   1.14000 ,     0.256117854606568E+00 ,    -0.111313641075305E+00 ,    -0.118503051919322E+01 , 
   1.16000 ,     0.616290788156132E+00 ,    -0.235867629722664E+00 ,    -0.114701195802269E+01 , 
   1.18000 ,     0.577929087885090E+00 ,    -0.354299443212666E+00 ,    -0.108777388337502E+01 , 
   1.20000 ,     0.299465516882706E+00 ,    -0.430661960520416E+00 ,    -0.103354250652385E+01 , 
   1.22000 ,    -0.255580102591920E-01 ,    -0.443478635075579E+00 ,    -0.100612369939037E+01 , 
   1.24000 ,    -0.283279715666229E+00 ,    -0.397578294841698E+00 ,    -0.101149568786484E+01 , 
   1.26000 ,    -0.475548508791127E+00 ,    -0.322024070933932E+00 ,    -0.103806558797264E+01 , 
   1.28000 ,    -0.662646111642902E+00 ,    -0.256430168802630E+00 ,    -0.106481583081539E+01 , 
   1.30000 ,    -0.861914840926807E+00 ,    -0.235137270494767E+00 ,    -0.107351066427353E+01 , 
   1.32000 ,    -0.980968320806467E+00 ,    -0.278307074862625E+00 ,    -0.105726472478691E+01 , 
   1.34000 ,    -0.841335028807952E+00 ,    -0.391850707027558E+00 ,    -0.102107446306362E+01 , 
   1.36000 ,    -0.288082180504891E+00 ,    -0.570556763732597E+00 ,    -0.975750685190855E+00 , 
   1.38000 ,     0.679114125904784E+00 ,    -0.797473486921870E+00 ,    -0.930799056571402E+00 , 
   1.40000 ,     0.184030195717549E+01 ,    -0.103885656303949E+01 ,    -0.891385716342661E+00 , 
   1.42000 ,     0.281115970145518E+01 ,    -0.124234315617727E+01 ,    -0.860280163158636E+00 , 
   1.44000 ,     0.320881919712483E+01 ,    -0.134829115140338E+01 ,    -0.841150486839700E+00 , 
   1.46000 ,     0.284892055123156E+01 ,    -0.131638480671359E+01 ,    -0.838492842462676E+00 , 
   1.48000 ,     0.186782351554413E+01 ,    -0.115590119467527E+01 ,    -0.852768783600798E+00 , 
   1.50000 ,     0.694239754062040E+00 ,    -0.938868466164831E+00 ,    -0.874398827124076E+00 , 
   1.52000 ,    -0.130583829053586E+00 ,    -0.779843274428874E+00 ,    -0.882851858299198E+00 , 
   1.54000 ,    -0.203965473611371E+00 ,    -0.784450147192074E+00 ,    -0.854533254465131E+00 , 
   1.56000 ,     0.539484853629449E+00 ,    -0.990751190812057E+00 ,    -0.776731919561460E+00 , 
   1.58000 ,     0.178545019148985E+01 ,    -0.133788864915032E+01 ,    -0.659066309117148E+00 , 
   1.60000 ,     0.298194565298044E+01 ,    -0.168583313394236E+01 ,    -0.533379381502904E+00 , 
   1.62000 ,     0.359986054866384E+01 ,    -0.188218564067699E+01 ,    -0.439212509609708E+00 , 
   1.64000 ,     0.338314568386831E+01 ,    -0.184275219657513E+01 ,    -0.401429463147501E+00 , 
   1.66000 ,     0.246285310768417E+01 ,    -0.160070762808234E+01 ,    -0.413051352310576E+00 , 
   1.68000 ,     0.127856151490375E+01 ,    -0.129381636361781E+01 ,    -0.435007531677701E+00 , 
   1.70000 ,     0.350463543309420E+00 ,    -0.109337457191457E+01 ,    -0.415263331059184E+00 , 
   1.72000 ,     0.221664707739259E-01 ,    -0.111251030806631E+01 ,    -0.317911872316695E+00 , 
   1.74000 ,     0.306472280612052E+00 ,    -0.134463204363842E+01 ,    -0.145752808661381E+00 , 
   1.76000 ,     0.907894488781074E+00 ,    -0.166663562190259E+01 ,     0.575178178872160E-01 , 
   1.78000 ,     0.139959993230208E+01 ,    -0.190509317391294E+01 ,     0.228135370514355E+00 , 
   1.80000 ,     0.145251597402424E+01 ,    -0.192838955608894E+01 ,     0.315349595063302E+00 , 
   1.82000 ,     0.993829883962997E+00 ,    -0.171415883985363E+01 ,     0.308521662063941E+00 , 
   1.84000 ,     0.219273303423998E+00 ,    -0.135672954907482E+01 ,     0.243047539527488E+00 , 
   1.86000 ,    -0.532051688637746E+00 ,    -0.101371842153696E+01 ,     0.181798737645275E+00 , 
