Structure file path : glass_ceramic.cif
List of environment information
Species : Li
Envtype : both
Site index 37: {'frac_coords': array([0.1596, 0.2152, 0.5857]), 'type': 'tribip', 'csm': 7.015842338179764, 'volume': 10.90453300036993}
Site index 38: {'frac_coords': array([0.0388, 0.2835, 0.6032]), 'type': 'tet', 'csm': 6.899218240462945, 'volume': 4.92483566554804}
Site index 39: {'frac_coords': array([0.2098, 0.2131, 0.6688]), 'type': 'tet', 'csm': 4.257963816064053, 'volume': 5.336157173626248}
Site index 40: {'frac_coords': array([0.2089, 0.2379, 0.8005]), 'type': 'tet', 'csm': 9.387647302084716, 'volume': 5.020648492666247}
Site index 41: {'frac_coords': array([0.0358, 0.2952, 0.8257]), 'type': 'tet', 'csm': 4.612021950376524, 'volume': 6.318860952755997}
Site index 42: {'frac_coords': array([0.0423, 0.3879, 0.0741]), 'type': 'tet', 'csm': 6.981670923839695, 'volume': 4.44981207062143}
Site index 43: {'frac_coords': array([0.21  , 0.3374, 0.2933]), 'type': 'tet', 'csm': 3.888375800324881, 'volume': 3.943396283990306}
Site index 44: {'frac_coords': array([0.0122, 0.3596, 0.4685]), 'type': 'tribip', 'csm': 3.7135225525261424, 'volume': 14.04136767739907}
Site index 45: {'frac_coords': array([0.165 , 0.3406, 0.4647]), 'type': 'tribip', 'csm': 2.5333364970476557, 'volume': 11.587989977386208}
Site index 46: {'frac_coords': array([0.0772, 0.3575, 0.293 ]), 'type': 'tet', 'csm': 9.756443907551409, 'volume': 5.323641774438871}
Site index 47: {'frac_coords': array([0.0889, 0.3946, 0.4067]), 'type': 'tet', 'csm': 6.624047794346012, 'volume': 4.341407808409458}
Site index 48: {'frac_coords': array([0.1529, 0.3157, 0.3364]), 'type': 'tet', 'csm': 7.731781802297609, 'volume': 4.157887470790881}
Site index 49: {'frac_coords': array([0.0197, 0.378 , 0.3589]), 'type': 'tet', 'csm': 4.881502424943653, 'volume': 6.0376102401614355}
Site index 50: {'frac_coords': array([0.1683, 0.3405, 0.7057]), 'type': 'tet', 'csm': 3.9840934904620458, 'volume': 5.259521767608768}
Site index 51: {'frac_coords': array([0.0768, 0.3835, 0.6597]), 'type': 'tet', 'csm': 12.012976048246626, 'volume': 6.147582581065395}
Site index 52: {'frac_coords': array([0.2133, 0.3452, 0.7916]), 'type': 'tribip', 'csm': 3.8661753548312103, 'volume': 13.153838005273785}
Site index 53: {'frac_coords': array([0.03  , 0.3644, 0.9727]), 'type': 'tet', 'csm': 4.26423952857709, 'volume': 5.911118682343336}
Site index 54: {'frac_coords': array([0.0862, 0.3863, 0.9158]), 'type': 'tribip', 'csm': 4.376017372483557, 'volume': 12.122922651447372}
Site index 55: {'frac_coords': array([0.2096, 0.3141, 0.9039]), 'type': 'tet', 'csm': 2.178762474096588, 'volume': 6.600636701609111}
Site index 56: {'frac_coords': array([0.0843, 0.489 , 0.1691]), 'type': 'tet', 'csm': 5.926781482985477, 'volume': 5.341315867619471}
Site index 57: {'frac_coords': array([0.1702, 0.4107, 0.0821]), 'type': 'tribip', 'csm': 5.881677902326018, 'volume': 12.710126218593574}
Site index 58: {'frac_coords': array([0.2212, 0.4081, 0.1582]), 'type': 'tribip', 'csm': 8.666183729266335, 'volume': 8.931765776881004}
Site index 59: {'frac_coords': array([0.0333, 0.461 , 0.47  ]), 'type': 'tribip', 'csm': 5.646052145804779, 'volume': 9.957814092690857}
Site index 60: {'frac_coords': array([0.0776, 0.4902, 0.4115]), 'type': 'tribip', 'csm': 5.221092358780878, 'volume': 8.101364600744903}
Site index 61: {'frac_coords': array([0.0329, 0.4814, 0.3385]), 'type': 'tet', 'csm': 10.725922837707866, 'volume': 4.494660027722791}
Site index 62: {'frac_coords': array([0.2061, 0.4096, 0.4125]), 'type': 'oct', 'csm': 5.012702959601741, 'volume': 20.33732091708818}
Site index 63: {'frac_coords': array([0.1644, 0.4401, 0.7015]), 'type': 'tet', 'csm': 4.325895199703882, 'volume': 5.8496935101365}
Site index 64: {'frac_coords': array([0.0931, 0.4561, 0.5428]), 'type': 'tribip', 'csm': 7.122755351101184, 'volume': 12.779455610021117}
Site index 65: {'frac_coords': array([0.0413, 0.4911, 0.5876]), 'type': 'tribip', 'csm': 4.941111275221574, 'volume': 11.889397605257386}
Site index 66: {'frac_coords': array([0.2134, 0.436 , 0.8007]), 'type': 'tet', 'csm': 6.973760781547739, 'volume': 5.464460273038479}
Site index 67: {'frac_coords': array([0.1554, 0.4358, 0.9613]), 'type': 'tet', 'csm': 9.647441601411536, 'volume': 4.59962472893414}
Site index 68: {'frac_coords': array([0.0801, 0.4615, 0.7903]), 'type': 'oct', 'csm': 4.492040451279832, 'volume': 27.674234020337234}
Site index 69: {'frac_coords': array([0.0752, 0.4868, 0.9066]), 'type': 'oct', 'csm': 6.188723688781059, 'volume': 21.125569618253696}
Site index 70: {'frac_coords': array([0.2174, 0.4124, 0.9216]), 'type': 'tet', 'csm': 5.774777493718011, 'volume': 4.484146999904282}
Site index 71: {'frac_coords': array([0.1993, 0.5171, 0.1535]), 'type': 'tet', 'csm': 9.272989048851016, 'volume': 5.272462394365015}
Site index 72: {'frac_coords': array([0.039 , 0.5609, 0.4662]), 'type': 'tet', 'csm': 8.664713891850287, 'volume': 3.907430190263465}
Site index 73: {'frac_coords': array([0.1655, 0.5368, 0.4679]), 'type': 'tet', 'csm': 3.106795226241371, 'volume': 5.363248156559086}
Site index 74: {'frac_coords': array([0.084 , 0.5904, 0.41  ]), 'type': 'tet', 'csm': 6.3307951766149655, 'volume': 5.395127366569009}
Site index 75: {'frac_coords': array([0.2136, 0.5053, 0.4199]), 'type': 'tribip', 'csm': 8.33412199822482, 'volume': 9.104527218750247}
