Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
035744.154      128004      252870  0.395E-01  0.154E+00
040744.085      212992      510676  0.129E-01  0.893E-01
041744.103      277465      770109  0.756E-02  0.599E-01
042744.128      335118     1030889  0.586E-02  0.420E-01
043744.162      387846     1291405  0.464E-02  0.303E-01
044744.113      437384     1552298  0.367E-02  0.222E-01
045744.090      483497     1814248  0.294E-02  0.167E-01
050744.073      526880     2077016  0.237E-02  0.127E-01
051744.089      567431     2340464  0.196E-02  0.997E-02
052744.097      606449     2604117  0.161E-02  0.788E-02
053744.081      643312     2868365  0.138E-02  0.636E-02
054744.076      679289     3133266  0.121E-02  0.519E-02
055744.150      713427     3398696  0.107E-02  0.429E-02
060744.155      746684     3664759  0.990E-03  0.358E-02
061744.073      778723     3931444  0.906E-03  0.303E-02
062744.116      810203     4198714  0.873E-03  0.260E-02
063744.087      841209     4466032  0.825E-03  0.226E-02
064744.120      871477     4734116  0.783E-03  0.200E-02
065744.171      900891     4996339  0.768E-03  0.180E-02
070744.133      930369     5264878  0.768E-03  0.163E-02
071744.174      959723     5533312  0.729E-03  0.150E-02
072744.219      988927     5801816  0.717E-03  0.139E-02
073744.120     1017786     6070274  0.729E-03  0.131E-02
074744.136     1046782     6339191  0.723E-03  0.123E-02
075744.111     1075497     6607761  0.713E-03  0.117E-02
080744.108     1104231     6876824  0.701E-03  0.112E-02
081744.140     1133170     7145947  0.695E-03  0.107E-02
082744.108     1162097     7414852  0.706E-03  0.103E-02
083744.107     1190882     7684029  0.701E-03  0.100E-02
084744.119     1219616     7953098  0.708E-03  0.970E-03
085744.076     1248233     8222321  0.710E-03  0.941E-03
090744.116     1277089     8491742  0.713E-03  0.915E-03
091744.119     1305697     8760780  0.723E-03  0.894E-03
092744.089     1334713     9029843  0.715E-03  0.875E-03
093744.107     1363621     9298876  0.716E-03  0.856E-03
094744.167     1392481     9567252  0.704E-03  0.841E-03
095744.113     1421313     9835949  0.735E-03  0.822E-03
100744.143     1450122    10104523  0.726E-03  0.808E-03
101744.172     1479145    10373402  0.718E-03  0.795E-03
102744.157     1507551    10641947  0.739E-03  0.781E-03
103744.090     1536437    10910389  0.740E-03  0.768E-03
104744.123     1565261    11179209  0.765E-03  0.757E-03
105744.140     1594053    11447784  0.735E-03  0.748E-03
110744.596     1623059    11716657  0.753E-03  0.736E-03
111744.161     1651916    11985488  0.739E-03  0.727E-03
112744.126     1680757    12254139  0.758E-03  0.719E-03
113744.134     1709587    12522859  0.742E-03  0.711E-03
114744.232     1738455    12791577  0.760E-03  0.702E-03
115744.141     1767547    13060313  0.783E-03  0.693E-03
120744.153     1796355    13329643  0.776E-03  0.685E-03
121744.120     1825074    13598300  0.793E-03  0.676E-03
122744.138     1853941    13867279  0.767E-03  0.670E-03
123744.349     1882925    14135688  0.763E-03  0.665E-03
124744.146     1911782    14404302  0.796E-03  0.656E-03
125744.342     1940526    14673023  0.763E-03  0.652E-03
130744.615     1969328    14941412  0.790E-03  0.644E-03
131744.154     1998098    15207906  0.782E-03  0.641E-03
132744.211     2027098    15476304  0.767E-03  0.635E-03
133744.211     2055859    15744304  0.795E-03  0.629E-03
134744.279     2084925    16012641  0.813E-03  0.621E-03
135744.223     2113513    16280763  0.803E-03  0.616E-03
140744.249     2142350    16547678  0.809E-03  0.611E-03
141744.148     2171126    16816115  0.798E-03  0.605E-03
142744.157     2199923    17084744  0.813E-03  0.600E-03
143744.413     2228681    17352763  0.786E-03  0.597E-03
144744.164     2257572    17621268  0.813E-03  0.590E-03
145744.187     2286324    17889757  0.824E-03  0.587E-03
150744.122     2315024    18158227  0.814E-03  0.582E-03
151744.122     2343705    18426469  0.822E-03  0.578E-03
152744.190     2372613    18694628  0.803E-03  0.575E-03
153744.153     2401523    18963477  0.838E-03  0.569E-03
154744.133     2430639    19232607  0.829E-03  0.566E-03
155744.166     2459436    19501216  0.865E-03  0.560E-03
160744.196     2488325    19768902  0.818E-03  0.558E-03
161744.148     2517374    20037498  0.846E-03  0.554E-03
162744.109     2546104    20305876  0.833E-03  0.551E-03
163744.771     2575032    20574634  0.812E-03  0.548E-03
164744.152     2603910    20842739  0.826E-03  0.544E-03
165744.199     2632888    21111289  0.823E-03  0.542E-03
170744.422     2661924    21379798  0.827E-03  0.538E-03
171744.151     2690696    21647855  0.839E-03  0.534E-03
172744.111     2719691    21916845  0.864E-03  0.530E-03
173744.105     2748599    22186071  0.863E-03  0.526E-03
174744.091     2777543    22455024  0.856E-03  0.523E-03
175744.078     2806645    22723803  0.851E-03  0.521E-03
180744.088     2835688    22993165  0.890E-03  0.517E-03
181744.085     2864715    23261597  0.846E-03  0.515E-03
182744.095     2893761    23530827  0.871E-03  0.512E-03
183744.104     2922805    23799824  0.895E-03  0.508E-03
184744.125     2951663    24068597  0.892E-03  0.505E-03
185744.181     2980856    24337927  0.896E-03  0.502E-03
190744.117     3009789    24606162  0.876E-03  0.501E-03
191744.153     3038489    24874451  0.889E-03  0.498E-03
192744.127     3067446    25143270  0.899E-03  0.495E-03
193744.129     3096233    25412734  0.878E-03  0.493E-03
194744.123     3125310    25681196  0.904E-03  0.490E-03
195744.107     3154442    25950208  0.899E-03  0.488E-03
200744.117     3183586    26219159  0.893E-03  0.487E-03
201744.112     3212872    26488655  0.893E-03  0.483E-03
202744.102     3241900    26757513  0.906E-03  0.480E-03
203744.126     3271016    27026127  0.920E-03  0.477E-03
204744.171     3300002    27294945  0.881E-03  0.475E-03
205744.130     3329067    27563871  0.900E-03  0.473E-03
210744.116     3357943    27832332  0.878E-03  0.471E-03
211744.120     3386967    28100751  0.916E-03  0.467E-03
212744.102     3415998    28368731  0.897E-03  0.466E-03
213744.110     3445132    28636951  0.875E-03  0.464E-03
214744.111     3474186    28905825  0.921E-03  0.461E-03
215744.140     3503275    29174396  0.918E-03  0.458E-03
220744.254     3532295    29443323  0.907E-03  0.457E-03
221744.121     3561193    29711561  0.912E-03  0.455E-03
222744.163     3590128    29980488  0.899E-03  0.453E-03
223744.128     3619048    30249057  0.918E-03  0.450E-03
224744.220     3648137    30518354  0.918E-03  0.448E-03
225744.208     3677035    30786925  0.899E-03  0.447E-03
230744.207     3706009    31055698  0.929E-03  0.444E-03
231744.291     3734870    31323774  0.901E-03  0.442E-03
232744.153     3763782    31591939  0.929E-03  0.439E-03
233744.163     3792961    31861070  0.911E-03  0.437E-03
234744.103     3821633    32129799  0.943E-03  0.434E-03
