Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
163958.214       58166      215735  0.469E-02  0.108E+00  0.784E+06  0.327E+01  0.119E+02
164458.237       98635      468615  0.174E-02  0.705E-01  0.821E+06  0.325E+01  0.131E+02
164958.215      132871      709929  0.102E-02  0.458E-01  0.742E+06  0.283E+01  0.629E+01
165458.262      163503      938395  0.721E-03  0.324E-01  0.150E+06  0.306E+01  0.311E+01
165958.214      190820     1158298  0.463E-03  0.192E-01  0.631E+05  0.290E+01  0.161E+01
170458.219      217447     1374399  0.355E-03  0.123E-01  0.645E+05  0.241E+01  0.132E+01
170958.211      242500     1581591  0.278E-03  0.816E-02  0.111E+06  0.290E+01  0.968E+00
171458.257      266272     1790896  0.247E-03  0.564E-02  0.587E+05  0.236E+01  0.103E+01
171958.216      287846     1985861  0.220E-03  0.406E-02  0.328E+05  0.247E+01  0.784E+00
172458.309      309185     2183052  0.227E-03  0.348E-02  0.478E+05  0.232E+01  0.513E+00
172958.213      330178     2382496  0.207E-03  0.214E-02  0.425E+05  0.218E+01  0.658E+00
173458.205      351096     2589994  0.200E-03  0.156E-02  0.295E+05  0.238E+01  0.583E+00
