Cluster	# of Li atoms
    1         7
    2         2
    3        11
    4       212
    9         5
   11         7
   13         5
   15       197
   16        19
   18         2
   21        27
   23         5
   25         5
   27         5
   29         6
   30         6
   31        10
   34        97
   36         9
   39         7
   40        12
   44        11
   46         3
   48        27
   51         8
   52        13
   55         4
   56        12
   57         3
   59        16
   60         3
   61        38
   62        13
   64         4
   67         6
   71         3
   72        51
   73         3
   75         6
   79         5
   82        13
   83         6
   87         1
   88         8
   90        22
   91         2
   93         7
   94         5
   98        22
   99        13
  100         1
  102         2
  103         6
  104         2
  106        21
  108         2
  113         1
  114        65
  117         8
  119         8
  121        11
  123         3
  124         6
  128         1
  130         6
  132        12
  135         5
  139        10
  141         5
  142         1
  144        34
  146        18
  150        11
  154        10
  156         6
  158         4
  159         2
  160        11
  161         1
  162        26
  164         7
  165         5
  167        12
  168         4
  169        18
  170         7
  172         4
  175        11
  181        14
  185         9
  186         7
  187         8
  190         2
  191         9
  192         7
  193         5
  194         8
  197         2
  200        11
  207        31
  214         1
  215         1
  218        18
  226        20
  231         9
  233         2
  234         7
  235         4
  236         4
  237         6
  239         1
  241         2
  244         5
  249         3
  250         2
  251        17
  256         2
  257        25
  259         8
  262         5
  264         4
  265         3
  266         5
  267         5
  268         5
  270         4
  272         1
  274         1
  275         1
  279         1
  281         2
  283         4
  285         3
  288         5
  290         6
  293         4
  294         3
  297         1
  298         1
  299         2
  302         1
  304         2
  306         2
  307         1
  308         2
  309        10
  310         1
  312         2
  313        11
  314         4
  318         1
  320         4
  323         1
  324         2
  326         2
  328         3
  330         2
  331         2
  333         2
  337         3
  340         2
  341         1
  342         1
  343         1
  344         5
  345         2
  346         4
  347         5
  351         2
  354         2
  356         1
  358        18
  359         3
  360         2
  361         3
  367         3
  370         4
  371         2
  373         4
  374         2
  375         7
  376         6
  382         1
  384         5
  386         1
  388         7
  391         2
  392         3
  394         1
  397         3
  399         3
  403         5
  405         1
  408         2
  411         5
  413         1
  416        13
  417         3
  420         1
  421         2
  423         1
  424         1
  426         3
  427         3
  429         1
  432         1
  433         2
  434         2
  440         1
  441         2
  442         1
  443         1
  445         5
  446         1
  447         1
  448         4
  450         1
  451         6
  454         1
  456         5
  459         2
  463         1
  464         2
  469         4
  471         1
  472         1
  473         1
  474         2
  475         2
  476         2
  477         2
  483         5
  484         6
  485         2
  490         3
  494         2
  495         1
  508         1
  510         3
  511         4
  512         2
  513         2
  514         2
  515         3
  518         3
  519         1
  525         2
  526         1
  528         3
  531         2
  533         1
  534         1
  538         1
  542         2
  544         2
  545         2
  548         3
  551         3
  552         2
  556         2
  557         5
  558         1
  561         1
  562         3
  565         2
  566         3
  568         4
  570         2
  574         3
  588         2
  592         3
  593         1
  594         2
  596         2
  602         1
  603         2
  604         1
  606         1
  607         2
  612         2
  613         2
  614         2
  615         2
  624         2
  625         3
  627         1
  631         1
  632         2
  633         1
  634         2
  638         3
  640         1
  641         2
  642         1
  643         1
  645         2
  647         2
  648         1
  649         1
  650         1
  656         1
  657         1
  658         1
  659         2
  661         1
  664         1
  665         3
  671         1
  673         2
  674         2
  675         2
  676         2
  681         1
  684         1
  685         1
  686         1
  687         1
  688         1
  690         1
  692         1
  693         1
  694         1
  695         1
  698         1
  699         1
  700         1
  701         1
  702         1
  703         1
  707         1
  708         1
  709         1
  710         1
  711         1
  712         1
  713         2
  714         1
  715         1
  716         1
  717         1
  718         1
  719         1
  720         1
  721         1
  722         1
  724         1
  725         1
  726         1
  727         1
  728         1
  729         1
  730         1
  731         1
  732         1
  734         1
  736         1
  738         1
  739         1
  740         1
  741         1
  742         1
  743         1
  744         1
  745         1
  746         1
  747         1
  748         1
  749         1
  750         1
  752         1
  753         1
  754         1
  755         1
  756         1
  757         1
  758         1
  759         1
  760         1
  761         1
  762         1
  763         1
  764         1
  765         1
  766         1
  767         1
  768         1
  769         1
  770         1
  771         1
  772         1
  773         1
  774         1
  775         1
  776         1
  777         1
  778         1
  779         2
  780         1
  781         1
  782         1
  783         1
  784         1
  785         1
  786         2
  787         1
  788         1
  789         1
  790         1
  791         1
