Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
033647.970       60665       93624  0.257E+00  0.548E+00
034647.909      104422      188720  0.187E+00  0.467E+00
035647.929      143902      283934  0.151E+00  0.403E+00
040647.956      182007      378938  0.126E+00  0.349E+00
041647.901      218167      474425  0.106E+00  0.305E+00
042647.970      252647      569800  0.903E-01  0.268E+00
043648.331      284903      665418  0.778E-01  0.237E+00
044647.942      316543      760790  0.676E-01  0.210E+00
045647.926      346104      856435  0.593E-01  0.187E+00
050647.883      375062      951933  0.523E-01  0.167E+00
051647.874      403167     1047560  0.466E-01  0.149E+00
052647.882      429830     1143343  0.420E-01  0.133E+00
053647.879      455371     1239053  0.381E-01  0.120E+00
054647.906      480446     1334940  0.349E-01  0.108E+00
055647.950      504408     1430884  0.322E-01  0.975E-01
060648.004      527225     1526914  0.298E-01  0.885E-01
061647.946      548575     1622891  0.277E-01  0.809E-01
062647.919      569210     1718899  0.257E-01  0.742E-01
063647.901      588809     1815101  0.240E-01  0.684E-01
064648.003      607700     1911202  0.225E-01  0.633E-01
065647.934      626208     2007460  0.212E-01  0.586E-01
070647.929      644071     2103726  0.201E-01  0.545E-01
071648.002      661379     2199926  0.191E-01  0.508E-01
072647.947      678208     2296180  0.182E-01  0.475E-01
073647.963      694515     2392435  0.173E-01  0.445E-01
074701.002      710640     2488691  0.166E-01  0.418E-01
075647.937      726084     2582796  0.159E-01  0.393E-01
080647.938      741553     2679099  0.152E-01  0.371E-01
081647.915      756568     2775538  0.146E-01  0.351E-01
082647.920      771503     2871859  0.140E-01  0.332E-01
083647.914      786010     2967955  0.135E-01  0.315E-01
084647.914      800448     3064413  0.129E-01  0.298E-01
085647.932      814534     3161029  0.125E-01  0.284E-01
090647.924      828460     3257458  0.120E-01  0.270E-01
091647.921      842228     3353964  0.116E-01  0.257E-01
092647.915      855749     3450622  0.112E-01  0.245E-01
093647.909      869211     3547176  0.108E-01  0.234E-01
094647.946      882429     3643722  0.105E-01  0.224E-01
095647.902      895489     3740323  0.102E-01  0.214E-01
100647.914      908368     3836892  0.984E-02  0.205E-01
101647.944      921222     3933514  0.959E-02  0.197E-01
102647.937      933968     4030196  0.930E-02  0.189E-01
103647.954      946666     4126760  0.908E-02  0.181E-01
104647.920      959155     4223322  0.882E-02  0.174E-01
105647.922      971370     4319969  0.864E-02  0.167E-01
110647.936      983764     4416676  0.844E-02  0.160E-01
111647.952      996000     4513470  0.823E-02  0.154E-01
112647.918     1008156     4610298  0.801E-02  0.148E-01
113647.917     1020015     4707134  0.784E-02  0.143E-01
114647.921     1031796     4803837  0.764E-02  0.138E-01
115647.924     1043531     4900525  0.749E-02  0.133E-01
120647.996     1055335     4997420  0.734E-02  0.128E-01
121647.941     1067148     5094315  0.720E-02  0.124E-01
122647.965     1078855     5191242  0.708E-02  0.119E-01
123648.058     1090464     5288199  0.695E-02  0.115E-01
124647.962     1101907     5384947  0.680E-02  0.112E-01
125647.960     1113357     5481930  0.663E-02  0.108E-01
130647.910     1124624     5578682  0.649E-02  0.105E-01
131648.022     1135893     5675605  0.637E-02  0.101E-01
132647.943     1147001     5772320  0.627E-02  0.983E-02
133647.985     1158097     5869438  0.620E-02  0.953E-02
134647.944     1169114     5966398  0.609E-02  0.926E-02
135647.943     1180214     6063388  0.599E-02  0.899E-02
140648.045     1191147     6160508  0.589E-02  0.874E-02
141647.955     1202113     6257674  0.580E-02  0.850E-02
142647.964     1213228     6354831  0.575E-02  0.826E-02
143648.087     1224184     6451923  0.566E-02  0.804E-02
144647.987     1235004     6549163  0.557E-02  0.784E-02
145648.015     1245801     6646204  0.550E-02  0.763E-02
150648.044     1256605     6743239  0.544E-02  0.744E-02
151647.937     1267378     6840392  0.536E-02  0.726E-02
152648.276     1277800     6937532  0.531E-02  0.709E-02
153647.922     1288452     7034636  0.525E-02  0.692E-02
154647.934     1299147     7131863  0.518E-02  0.676E-02
155647.972     1309834     7229102  0.513E-02  0.660E-02
160648.029     1320423     7326287  0.508E-02  0.646E-02
161647.966     1331013     7423570  0.502E-02  0.632E-02
162647.941     1341689     7520882  0.497E-02  0.618E-02
163647.938     1352161     7618239  0.491E-02  0.605E-02
164647.974     1362713     7715641  0.484E-02  0.593E-02
165647.966     1373220     7812989  0.483E-02  0.581E-02
170648.034     1383670     7910299  0.480E-02  0.569E-02
171647.962     1393866     8007483  0.473E-02  0.559E-02
172647.931     1404410     8104935  0.469E-02  0.549E-02
173647.876     1414834     8202397  0.465E-02  0.539E-02
174647.886     1425279     8299734  0.461E-02  0.530E-02
175647.880     1435594     8397239  0.455E-02  0.522E-02
180647.876     1446038     8494708  0.451E-02  0.512E-02
181647.881     1456400     8592129  0.448E-02  0.504E-02
182647.887     1466822     8689577  0.445E-02  0.496E-02
183647.872     1477293     8787068  0.439E-02  0.488E-02
184647.908     1487532     8884461  0.438E-02  0.480E-02
185647.885     1497885     8981963  0.434E-02  0.473E-02
190647.913     1508206     9079480  0.432E-02  0.466E-02
191647.937     1518519     9176962  0.427E-02  0.460E-02
192647.914     1528857     9274445  0.424E-02  0.453E-02
193647.916     1539194     9372053  0.420E-02  0.447E-02
194647.918     1549559     9469638  0.418E-02  0.441E-02
195647.915     1559836     9567200  0.416E-02  0.435E-02
200647.909     1570130     9664679  0.410E-02  0.430E-02
201647.950     1580337     9762257  0.410E-02  0.424E-02
202647.910     1590600     9859929  0.406E-02  0.419E-02
203647.916     1600907     9957578  0.405E-02  0.414E-02
204647.927     1611104    10055086  0.405E-02  0.409E-02
205659.488     1621502    10152570  0.403E-02  0.405E-02
210647.911     1631460    10248164  0.400E-02  0.400E-02
211647.920     1641661    10345906  0.397E-02  0.395E-02
212647.928     1651768    10443660  0.395E-02  0.390E-02
213647.926     1662011    10541278  0.394E-02  0.385E-02
214647.899     1672224    10639046  0.396E-02  0.381E-02
215647.893     1682614    10736320  0.392E-02  0.378E-02
220648.014     1692819    10833930  0.390E-02  0.373E-02
221647.928     1702888    10931552  0.390E-02  0.369E-02
222647.909     1713051    11029251  0.387E-02  0.365E-02
223647.907     1723283    11126969  0.384E-02  0.362E-02
224648.086     1733310    11224672  0.380E-02  0.358E-02
225647.949     1743489    11322297  0.379E-02  0.355E-02
230701.351     1753408    11419871  0.376E-02  0.352E-02
231647.955     1763304    11515291  0.376E-02  0.348E-02
232647.966     1773450    11612905  0.374E-02  0.345E-02
