Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
142722.569       91401      310816  0.171E-02  0.735E-01  0.670E+06  0.289E+01  0.160E-02  0.739E-01
143222.562      152365      627043  0.661E-03  0.318E-01  0.736E+06  0.333E+01  0.121E-02  0.137E+00
143722.566      206578      943420  0.339E-03  0.127E-01  0.243E+06  0.291E+01  0.276E-02  0.610E-01
144222.562      253448     1264101  0.208E-03  0.568E-02  0.772E+05  0.319E+01  0.338E-02  0.635E-01
144722.786      293431     1593346  0.242E-03  0.407E-02  0.652E+05  0.302E+01  0.682E-02  0.298E-01
145222.568      328914     1954194  0.165E-03  0.165E-02  0.421E+05  0.326E+01  0.682E-02  0.157E+00
145722.674      360647     2324394  0.170E-03  0.106E-02  0.583E+05  0.285E+01  0.801E-02  0.121E+01
150222.593      389750     2694742  0.149E-03  0.563E-03  0.570E+05  0.292E+01  0.108E-01  0.242E+01
150722.566      415922     3066568  0.203E-03  0.719E-03  0.703E+05  0.283E+01  0.108E-01  0.295E+01
151222.565      440796     3436822  0.224E-03  0.663E-03  0.110E+06  0.278E+01  0.108E-01  0.261E+01
151722.565      464664     3802320  0.243E-03  0.612E-03  0.133E+06  0.279E+01  0.108E-01  0.254E+01
152222.564      488294     4169463  0.272E-03  0.563E-03  0.177E+06  0.283E+01  0.108E-01  0.321E+01
