    r      L_U-Cl   L_Cl-Cl
  2.000    -0.050    -0.091
  2.020    -0.050    -0.090
  2.040    -0.050    -0.088
  2.060    -0.049    -0.087
  2.080    -0.049    -0.086
  2.100    -0.049    -0.084
  2.120    -0.048    -0.082
  2.140    -0.047    -0.080
  2.160    -0.046    -0.078
  2.180    -0.045    -0.076
  2.200    -0.043    -0.073
  2.220    -0.040    -0.070
  2.240    -0.036    -0.067
  2.260    -0.031    -0.063
  2.280    -0.023    -0.059
  2.300    -0.012    -0.055
  2.320     0.002    -0.050
  2.340     0.023    -0.045
  2.360     0.051    -0.039
  2.380     0.090    -0.032
  2.400     0.142    -0.025
  2.420     0.213    -0.017
  2.440     0.308    -0.008
  2.460     0.433     0.002
  2.480     0.593     0.012
  2.500     0.795     0.024
  2.520     1.039     0.037
  2.540     1.324     0.051
  2.560     1.641     0.067
  2.580     1.975     0.084
  2.600     2.309     0.102
  2.620     2.626     0.123
  2.640     2.911     0.145
  2.660     3.155     0.168
  2.680     0.000     0.194
  2.700     0.000     0.222
  2.720     0.000     0.252
  2.740     0.000     0.284
  2.760     0.000     0.319
  2.780     0.000     0.356
  2.800     0.000     0.395
  2.820     0.000     0.437
  2.840     0.000     0.480
  2.860     0.000     0.526
  2.880     0.000     0.575
  2.900     0.000     0.625
  2.920     0.000     0.677
  2.940     0.000     0.731
  2.960     0.000     0.786
  2.980     0.000     0.842
  3.000     0.000     0.899
  3.020     0.000     0.957
  3.040     0.000     1.014
  3.060     0.000     1.072
  3.080     0.000     1.130
