Q (Ang^-1), RMC, Data
  0.600000000000000       ,  -0.649036996716867       ,  -0.565793050638755     
  0.620000000000000       ,  -0.732637275413626       ,  -0.760213182256761     
  0.640000000000000       ,  -0.823078649221296       ,  -0.866199399798891     
  0.660000000000000       ,  -0.873001120387959       ,  -0.881943726540077     
  0.680000000000000       ,  -0.863736871674482       ,  -0.838817753122234     
  0.700000000000000       ,  -0.812306146433182       ,  -0.780776513406378     
  0.720000000000000       ,  -0.755810753156163       ,  -0.741555783942335     
  0.740000000000000       ,  -0.725595529208713       ,  -0.731823035409770     
  0.760000000000000       ,  -0.728893949221963       ,  -0.741115931917424     
  0.780000000000000       ,  -0.748814619842421       ,  -0.750450748910523     
  0.800000000000000       ,  -0.760156214934423       ,  -0.746298261308243     
  0.820000000000000       ,  -0.748290653089391       ,  -0.727663780413796     
  0.840000000000000       ,  -0.717873789053641       ,  -0.703687604455041     
  0.860000000000000       ,  -0.686762385392148       ,  -0.685366413211651     
  0.880000000000000       ,  -0.671348562840237       ,  -0.677864395106508     
  0.900000000000000       ,  -0.674803435245597       ,  -0.678233489368522     
  0.920000000000000       ,  -0.686321511973619       ,  -0.678983354092501     
  0.940000000000000       ,  -0.690669825015024       ,  -0.674057510936553     
  0.960000000000000       ,  -0.679974653541866       ,  -0.662790718547922     
  0.980000000000000       ,  -0.658876523526628       ,  -0.649513220954168     
   1.00000000000000       ,  -0.639904863726102       ,  -0.639774009918035     
   1.02000000000000       ,  -0.633408296537659       ,  -0.636297088916625     
   1.04000000000000       ,  -0.640001679423449       ,  -0.637499554570467     
   1.06000000000000       ,  -0.650932560377944       ,  -0.639229272998964     
   1.08000000000000       ,  -0.655431625852353       ,  -0.638062295435373     
   1.10000000000000       ,  -0.648985862356382       ,  -0.633641946606475     
   1.12000000000000       ,  -0.636263275091603       ,  -0.628541706638244     
   1.14000000000000       ,  -0.626901947818264       ,  -0.626063249916346     
   1.16000000000000       ,  -0.627860791287748       ,  -0.627782706294699     
   1.18000000000000       ,  -0.638343979047097       ,  -0.632617322422476     
   1.20000000000000       ,  -0.650947305286497       ,  -0.637899464963838     
   1.22000000000000       ,  -0.657729298554227       ,  -0.641462175286547     
   1.24000000000000       ,  -0.656274815861408       ,  -0.643129280020829     
   1.26000000000000       ,  -0.651146272858222       ,  -0.644601641112508     
   1.28000000000000       ,  -0.649907433504760       ,  -0.647986023337298     
   1.30000000000000       ,  -0.657077022944022       ,  -0.654162427489586     
   1.32000000000000       ,  -0.670743066742048       ,  -0.662182433319990     
   1.34000000000000       ,  -0.684268247005337       ,  -0.670031561581083     
   1.36000000000000       ,  -0.691499676598645       ,  -0.676072315440537     
   1.38000000000000       ,  -0.691311875113453       ,  -0.680057041964492     
   1.40000000000000       ,  -0.688046262463072       ,  -0.683014676926549     
   1.42000000000000       ,  -0.687726330118405       ,  -0.686196978264513     
   1.44000000000000       ,  -0.693162345296289       ,  -0.689938971038499     
   1.46000000000000       ,  -0.701750590882819       ,  -0.693278509636653     
   1.48000000000000       ,  -0.707521270011816       ,  -0.694555841102148     
   1.50000000000000       ,  -0.705661911926417       ,  -0.692480545953286     
   1.52000000000000       ,  -0.695935277551735       ,  -0.686853155212706     
   1.54000000000000       ,  -0.682432141846510       ,  -0.678446116329995     
   1.56000000000000       ,  -0.670033916586461       ,  -0.668203328083881     
   1.58000000000000       ,  -0.660469748177689       ,  -0.656404653129458     
   1.60000000000000       ,  -0.651031254095231       ,  -0.642417751479678     
   1.62000000000000       ,  -0.636822002559926       ,  -0.625180030869670     
   1.64000000000000       ,  -0.614651545330879       ,  -0.604003768980762     
   1.66000000000000       ,  -0.585489654549940       ,  -0.579086524028889     
   1.68000000000000       ,  -0.553630944570191       ,  -0.551368110935602     
   1.70000000000000       ,  -0.523335238469281       ,  -0.521881331224863     
   1.72000000000000       ,  -0.495634538305588       ,  -0.491106709032859     
   1.74000000000000       ,  -0.467773143026548       ,  -0.458803556150481     
   1.76000000000000       ,  -0.435624458822857       ,  -0.424405343301664     
   1.78000000000000       ,  -0.397112458261150       ,  -0.387643218144850     
   1.80000000000000       ,  -0.353952053799843       ,  -0.348913868070044     
   1.82000000000000       ,  -0.310407907330877       ,  -0.309128609549361     
   1.84000000000000       ,  -0.270116645757162       ,  -0.269183133845311     
   1.86000000000000       ,  -0.233481553245380       ,  -0.229462025542864     
   1.88000000000000       ,  -0.197630075782329       ,  -0.189742754098377     
   1.90000000000000       ,  -0.158886254266823       ,  -0.149546181609245     
   1.92000000000000       ,  -0.115772831122235       ,  -0.108646449816706     
   1.94000000000000       ,  -7.021240176589709E-002  ,  -6.735183637638402E-002
   1.96000000000000       ,  -2.606006013319135E-002  ,  -2.636185212059861E-002
   1.98000000000000       ,   1.381357738964788E-002  ,   1.366638733605411E-002
   2.00000000000000       ,   4.958941647460727E-002  ,   5.249938917159573E-002
   2.02000000000000       ,   8.414546477556116E-002  ,   9.037083140787432E-002
   2.04000000000000       ,   0.120628684391201       ,   0.127670314622928     
   2.06000000000000       ,   0.159893053668223       ,   0.164527202853314     
   2.08000000000000       ,   0.199788698436361       ,   0.200605777764604     
   2.10000000000000       ,   0.236795852376426       ,   0.235254324149596     
   2.12000000000000       ,   0.268668237902768       ,   0.267879264076325     
   2.14000000000000       ,   0.296007934071261       ,   0.298254126369813     
   2.16000000000000       ,   0.321581664121585       ,   0.326537219201849     
   2.18000000000000       ,   0.347973750722237       ,   0.353002183097512     
   2.20000000000000       ,   0.375446319142925       ,   0.377701349612419     
