Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
040718.108      129891      256705  0.389E-01  0.152E+00
041718.027      216521      518540  0.124E-01  0.874E-01
042718.036      280940      781352  0.735E-02  0.586E-01
043718.095      338766     1044602  0.578E-02  0.411E-01
044718.060      392624     1307975  0.455E-02  0.294E-01
045718.013      443312     1572824  0.360E-02  0.214E-01
050718.023      489677     1837737  0.286E-02  0.159E-01
051718.021      533297     2103276  0.231E-02  0.121E-01
052718.005      574530     2369615  0.189E-02  0.943E-02
053718.009      613332     2636106  0.156E-02  0.748E-02
054718.005      650321     2903010  0.133E-02  0.601E-02
055718.008      686056     3171544  0.117E-02  0.490E-02
060718.006      720053     3440219  0.104E-02  0.404E-02
061718.067      753496     3709978  0.970E-03  0.337E-02
062718.010      785979     3980128  0.905E-03  0.285E-02
063718.016      817652     4251158  0.837E-03  0.246E-02
064718.103      848432     4522320  0.815E-03  0.215E-02
065718.044      878935     4793805  0.781E-03  0.191E-02
070718.080      909284     5066452  0.753E-03  0.172E-02
071718.043      939182     5338983  0.740E-03  0.157E-02
072718.061      968673     5610751  0.742E-03  0.145E-02
073718.064      998151     5883077  0.722E-03  0.135E-02
074718.090     1027478     6155590  0.737E-03  0.128E-02
075718.025     1056616     6428319  0.735E-03  0.121E-02
080718.032     1085841     6701365  0.708E-03  0.115E-02
081718.057     1114919     6974596  0.690E-03  0.111E-02
082718.052     1144205     7247191  0.699E-03  0.106E-02
083718.005     1173421     7519763  0.708E-03  0.102E-02
084718.059     1202752     7792580  0.705E-03  0.991E-03
085718.070     1231930     8064960  0.695E-03  0.964E-03
090718.035     1260891     8337102  0.693E-03  0.937E-03
091718.024     1289940     8609336  0.711E-03  0.913E-03
092718.032     1319271     8882322  0.719E-03  0.891E-03
093718.042     1348423     9155275  0.713E-03  0.870E-03
094718.049     1377486     9428515  0.745E-03  0.850E-03
095718.066     1406612     9701604  0.722E-03  0.834E-03
100718.077     1435727     9973835  0.715E-03  0.819E-03
101718.165     1464816    10246624  0.731E-03  0.805E-03
102718.087     1493967    10519323  0.727E-03  0.791E-03
103718.091     1523246    10791954  0.726E-03  0.778E-03
104718.112     1552492    11064439  0.750E-03  0.766E-03
105718.094     1581695    11336803  0.750E-03  0.755E-03
110718.101     1610986    11609744  0.748E-03  0.745E-03
111718.086     1640065    11881962  0.759E-03  0.734E-03
112718.048     1668909    12153840  0.761E-03  0.725E-03
113718.061     1698199    12425984  0.756E-03  0.717E-03
114718.072     1727423    12699058  0.772E-03  0.708E-03
115718.087     1756776    12971890  0.778E-03  0.699E-03
120718.126     1786097    13244461  0.771E-03  0.692E-03
121718.075     1815389    13517017  0.774E-03  0.685E-03
122718.045     1844718    13789327  0.777E-03  0.678E-03
123718.170     1874000    14062132  0.766E-03  0.671E-03
124718.090     1903125    14335816  0.782E-03  0.663E-03
125718.103     1932402    14609101  0.792E-03  0.656E-03
130718.039     1961726    14880963  0.774E-03  0.651E-03
131718.086     1990764    15153182  0.785E-03  0.644E-03
132718.340     2019782    15425368  0.795E-03  0.637E-03
133718.102     2049088    15699205  0.806E-03  0.631E-03
134718.136     2078321    15972400  0.799E-03  0.625E-03
135718.072     2107719    16245311  0.791E-03  0.620E-03
140718.264     2136917    16518261  0.820E-03  0.614E-03
141718.068     2166185    16791530  0.828E-03  0.609E-03
142718.084     2195511    17063956  0.797E-03  0.605E-03
143718.122     2224908    17336848  0.787E-03  0.600E-03
144730.902     2254000    17609397  0.799E-03  0.596E-03
145718.142     2282429    17876372  0.790E-03  0.592E-03
150718.092     2311706    18149048  0.838E-03  0.585E-03
151718.071     2340728    18421923  0.836E-03  0.581E-03
