Time       moves_acc moves_gen     G(r)_1     S(Q)_1     Bragg   Tail_fine
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01
114121.606     1591295     8828670  0.174E-02  0.366E-02  0.290E-01  0.154E+05
115121.653     1603214     8945599  0.171E-02  0.361E-02  0.290E-01  0.374E+06
120121.621     1615041     9062354  0.169E-02  0.355E-02  0.290E-01  0.411E+07
121121.604     1626916     9178987  0.167E-02  0.349E-02  0.290E-01  0.118E+07
122121.612     1639217     9295328  0.164E-02  0.343E-02  0.290E-01  0.190E+06
123121.626     1651355     9411841  0.162E-02  0.337E-02  0.290E-01  0.664E+06
124121.605     1663394     9528728  0.160E-02  0.331E-02  0.290E-01  0.607E+06
125121.610     1675390     9645781  0.185E-02  0.381E-02  0.290E-01  0.182E+06
130121.606     1687454     9762990  0.155E-02  0.319E-02  0.290E-01  0.140E+07
131121.611     1699215     9879959  0.153E-02  0.314E-02  0.290E-01  0.842E+06
132121.647     1711017     9996621  0.151E-02  0.308E-02  0.290E-01  0.118E+07
133121.614     1722432    10113096  0.149E-02  0.303E-02  0.290E-01  0.609E+06
134121.607     1734122    10230029  0.148E-02  0.297E-02  0.290E-01  0.865E+06
135121.610     1745778    10347115  0.146E-02  0.292E-02  0.290E-01  0.585E+06
140121.603     1757022    10463471  0.144E-02  0.287E-02  0.290E-01  0.198E+07
141121.619     1768515    10579858  0.142E-02  0.282E-02  0.290E-01  0.521E+06
142121.629     1779940    10695414  0.140E-02  0.277E-02  0.290E-01  0.297E+06
143121.633     1791277    10811337  0.137E-02  0.273E-02  0.290E-01  0.583E+06
144121.620     1802350    10926189  0.135E-02  0.268E-02  0.290E-01  0.542E+06
145121.619     1813569    11041865  0.135E-02  0.262E-02  0.290E-01  0.523E+06
150121.610     1824874    11157614  0.132E-02  0.258E-02  0.290E-01  0.219E+06
151121.613     1836120    11273345  0.131E-02  0.253E-02  0.290E-01  0.200E+06
152121.651     1847068    11389051  0.130E-02  0.248E-02  0.290E-01  0.404E+06
153121.638     1858222    11505153  0.128E-02  0.244E-02  0.290E-01  0.335E+06
154121.628     1869344    11620880  0.127E-02  0.239E-02  0.290E-01  0.312E+06
155121.635     1879085    11722939  0.126E-02  0.235E-02  0.290E-01  0.415E+06
160121.615     1890192    11836774  0.125E-02  0.231E-02  0.290E-01  0.529E+06
161121.657     1900898    11949990  0.124E-02  0.227E-02  0.290E-01  0.407E+06
162121.895     1908660    12032430  0.122E-02  0.224E-02  0.290E-01  0.438E+06
163121.901     1912595    12073445  0.122E-02  0.222E-02  0.290E-01  0.474E+06
164121.908     1916491    12114596  0.121E-02  0.221E-02  0.290E-01  0.424E+06
165121.981     1920401    12155689  0.121E-02  0.219E-02  0.290E-01  0.547E+06
170121.944     1924209    12196465  0.121E-02  0.218E-02  0.290E-01  0.271E+06
171121.890     1928036    12237926  0.121E-02  0.216E-02  0.290E-01  0.341E+06
172121.891     1931873    12279177  0.120E-02  0.215E-02  0.290E-01  0.209E+06
173121.923     1935813    12320376  0.119E-02  0.214E-02  0.290E-01  0.488E+06
174121.729     1939619    12361898  0.119E-02  0.213E-02  0.290E-01  0.329E+06
175121.903     1943426    12403755  0.118E-02  0.211E-02  0.290E-01  0.265E+06
180121.940     1947223    12444489  0.118E-02  0.210E-02  0.290E-01  0.251E+06
181121.750     1951184    12486224  0.117E-02  0.209E-02  0.290E-01  0.431E+06
182121.912     1954893    12527802  0.117E-02  0.208E-02  0.290E-01  0.170E+06
183121.903     1958796    12570311  0.117E-02  0.206E-02  0.290E-01  0.145E+06
184121.916     1962713    12613061  0.117E-02  0.205E-02  0.290E-01  0.388E+06
185121.907     1966822    12655922  0.116E-02  0.203E-02  0.290E-01  0.316E+06
190121.967     1970699    12698107  0.116E-02  0.202E-02  0.290E-01  0.245E+06
191121.896     1974666    12740617  0.116E-02  0.201E-02  0.290E-01  0.740E+06
192121.723     1978529    12782178  0.115E-02  0.199E-02  0.290E-01  0.284E+06
193121.971     1982297    12823584  0.115E-02  0.198E-02  0.290E-01  0.237E+06
194121.924     1986297    12866490  0.114E-02  0.197E-02  0.290E-01  0.262E+06
195121.877     1989995    12907789  0.114E-02  0.195E-02  0.290E-01  0.430E+06
200121.906     1993973    12949441  0.114E-02  0.194E-02  0.290E-01  0.232E+06
201121.724     1997670    12990348  0.113E-02  0.193E-02  0.290E-01  0.228E+06
202121.902     2001613    13031995  0.113E-02  0.192E-02  0.290E-01  0.398E+06
203121.762     2005541    13073979  0.113E-02  0.190E-02  0.290E-01  0.245E+06
204121.899     2009445    13116280  0.113E-02  0.189E-02  0.290E-01  0.265E+06
205121.957     2013130    13157657  0.112E-02  0.188E-02  0.290E-01  0.238E+06
210121.755     2016851    13199988  0.112E-02  0.187E-02  0.290E-01  0.213E+06
211121.915     2020680    13242270  0.111E-02  0.186E-02  0.290E-01  0.177E+06
212121.963     2024515    13284198  0.111E-02  0.185E-02  0.290E-01  0.241E+06
213121.919     2028240    13325882  0.110E-02  0.184E-02  0.290E-01  0.351E+06
214121.749     2031898    13367837  0.110E-02  0.183E-02  0.290E-01  0.115E+06
215121.891     2035672    13409555  0.110E-02  0.181E-02  0.290E-01  0.169E+06
220121.887     2039376    13451401  0.109E-02  0.180E-02  0.290E-01  0.190E+06
221121.760     2043194    13493445  0.109E-02  0.179E-02  0.290E-01  0.223E+06
222121.911     2046680    13535282  0.109E-02  0.178E-02  0.290E-01  0.196E+06
223121.900     2050362    13576786  0.108E-02  0.177E-02  0.290E-01  0.135E+06
224121.949     2053966    13618395  0.108E-02  0.176E-02  0.290E-01  0.211E+06
225121.722     2057637    13659604  0.108E-02  0.175E-02  0.290E-01  0.232E+06
230121.690     2061348    13700963  0.108E-02  0.174E-02  0.290E-01  0.192E+06
231121.931     2064996    13742574  0.107E-02  0.173E-02  0.290E-01  0.169E+06
232121.907     2068687    13783599  0.107E-02  0.172E-02  0.290E-01  0.178E+06
233121.726     2072316    13824806  0.107E-02  0.171E-02  0.290E-01  0.154E+06
234121.721     2076018    13866035  0.107E-02  0.170E-02  0.290E-01  0.117E+06
235121.804     2079668    13907423  0.106E-02  0.169E-02  0.290E-01  0.127E+06
000121.788     2083381    13949328  0.106E-02  0.168E-02  0.290E-01  0.249E+06
001121.915     2087010    13991381  0.105E-02  0.167E-02  0.290E-01  0.162E+06
002121.971     2090668    14033499  0.105E-02  0.166E-02  0.290E-01  0.158E+06
003121.820     2094297    14075120  0.105E-02  0.165E-02  0.290E-01  0.169E+06
004121.909     2098012    14116782  0.105E-02  0.164E-02  0.290E-01  0.129E+06
005121.959     2101721    14158857  0.104E-02  0.163E-02  0.290E-01  0.149E+06
010121.879     2105332    14200558  0.104E-02  0.162E-02  0.290E-01  0.295E+06
011121.909     2108950    14241788  0.104E-02  0.161E-02  0.290E-01  0.200E+06
012121.962     2112542    14282938  0.103E-02  0.160E-02  0.290E-01  0.184E+06
013121.761     2116212    14324816  0.103E-02  0.159E-02  0.290E-01  0.166E+06
014121.702     2119885    14366935  0.102E-02  0.158E-02  0.290E-01  0.348E+06
015121.957     2123587    14408735  0.103E-02  0.157E-02  0.290E-01  0.189E+06
020121.948     2127143    14450107  0.102E-02  0.156E-02  0.290E-01  0.193E+06
021121.923     2130395    14487193  0.102E-02  0.156E-02  0.290E-01  0.158E+06
022121.886     2133748    14526207  0.102E-02  0.155E-02  0.290E-01  0.208E+06
023121.717     2137421    14567799  0.102E-02  0.154E-02  0.290E-01  0.189E+06
024121.878     2141027    14609569  0.101E-02  0.153E-02  0.290E-01  0.231E+06
025121.963     2144644    14651032  0.101E-02  0.152E-02  0.290E-01  0.164E+06
030121.920     2148245    14692372  0.101E-02  0.151E-02  0.290E-01  0.203E+06
031121.750     2151848    14733954  0.101E-02  0.150E-02  0.290E-01  0.143E+06
032121.915     2155409    14775374  0.100E-02  0.149E-02  0.290E-01  0.261E+06
033121.898     2159101    14817429  0.100E-02  0.148E-02  0.290E-01  0.160E+06
034121.776     2162538    14858787  0.996E-03  0.148E-02  0.290E-01  0.413E+06
