 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-O ,Ti-Ti,Ti-O ,O-O  
   0.85000 ,    -0.104784134141038E+02 ,     0.738068046021290E+01 ,     0.794568000729382E+00 ,    -0.106051359952853E+02 ,    -0.229868154972084E+01 ,    -0.944706514233970E+00 , 
   0.86000 ,    -0.110454384821602E+02 ,     0.844703287939299E+01 ,     0.924779519508241E+00 ,    -0.112298628892448E+02 ,    -0.184825060515729E+01 ,    -0.119387369649429E+01 , 
   0.87000 ,    -0.102761572658595E+02 ,     0.752176303059675E+01 ,     0.835945017064178E+00 ,    -0.104904364878555E+02 ,    -0.960840777336715E+00 ,    -0.152592346189511E+01 , 
   0.88000 ,    -0.828310309880304E+01 ,     0.475703425632549E+01 ,     0.538625342235745E+00 ,    -0.848821490325381E+01 ,     0.152441284601196E+00 ,    -0.185618789784232E+01 , 
   0.89000 ,    -0.546493990641053E+01 ,     0.737216611413991E+00 ,     0.922022534076664E-01 ,    -0.561995531417888E+01 ,     0.123029271401136E+01 ,    -0.210151304931874E+01 , 
   0.90000 ,    -0.243059672109509E+01 ,    -0.364129651251904E+01 ,    -0.406555697430336E+00 ,    -0.250335222860193E+01 ,     0.202228075574670E+01 ,    -0.220110345942522E+01 , 
   0.91000 ,     0.125468785824563E+00 ,    -0.736307683203444E+01 ,    -0.843653461289795E+00 ,     0.148876892682686E+00 ,     0.234607723018946E+01 ,    -0.213160690394826E+01 , 
   0.92000 ,     0.157188979789972E+01 ,    -0.951831699531854E+01 ,    -0.111262352159097E+01 ,     0.168129625430826E+01 ,     0.212782661250807E+01 ,    -0.191271812883014E+01 , 
   0.93000 ,     0.148243252620430E+01 ,    -0.951075350843317E+01 ,    -0.113867595075165E+01 ,     0.164330088007495E+01 ,     0.141692785676981E+01 ,    -0.160195096520026E+01 , 
   0.94000 ,    -0.258225962607242E+00 ,    -0.720366368774824E+01 ,    -0.897075608623536E+00 ,    -0.989478679168522E-01 ,     0.372703761294728E+00 ,    -0.127991823792937E+01 , 
   0.95000 ,    -0.340780835142330E+01 ,    -0.297168199687863E+01 ,    -0.421698873397329E+00 ,    -0.331043535373652E+01 ,    -0.773013957127554E+00 ,    -0.102980581369638E+01 , 
   0.96000 ,    -0.739011156268966E+01 ,     0.235398977039392E+01 ,     0.198296887221067E+00 ,    -0.740766646768771E+01 ,    -0.176799089217012E+01 ,    -0.916156692416172E+00 , 
   0.97000 ,    -0.113864325235709E+02 ,     0.763698244406650E+01 ,     0.833330859497965E+00 ,    -0.115498325431528E+02 ,    -0.239403209370106E+01 ,    -0.968246823704000E+00 , 
   0.98000 ,    -0.144787009108678E+02 ,     0.116535631560024E+02 ,     0.133705493622947E+01 ,    -0.147850465535551E+02 ,    -0.251144348783624E+01 ,    -0.117220077266718E+01 , 
   0.99000 ,    -0.158179705345526E+02 ,     0.133329000840875E+02 ,     0.157426066669824E+01 ,    -0.162248800956092E+02 ,    -0.208409964795679E+01 ,    -0.147384451239788E+01 , 
   1.00000 ,    -0.147867558785935E+02 ,     0.119713967179458E+02 ,     0.144759082203788E+01 ,    -0.152145874378249E+02 ,    -0.118066204468668E+01 ,    -0.179165356578972E+01 , 
   1.01000 ,    -0.111246365950495E+02 ,     0.737832953459287E+01 ,     0.917810578136532E+00 ,    -0.114668642928572E+02 ,     0.467652397304751E-01 ,    -0.203667339739458E+01 , 
   1.02000 ,    -0.499333662003921E+01 ,    -0.756418332999630E-01 ,     0.136444756295017E-01 ,    -0.513362244052156E+01 ,     0.140012833908685E+01 ,    -0.213457039831418E+01 , 
   1.03000 ,     0.303127377792689E+01 ,    -0.951565131717327E+01 ,    -0.117077730902592E+01 ,     0.319827795376917E+01 ,     0.267933269978156E+01 ,    -0.204443324733517E+01 , 
   1.04000 ,     0.120393275051537E+02 ,    -0.197128995668802E+02 ,    -0.249041592279660E+01 ,     0.125873652359502E+02 ,     0.372203042142327E+01 ,    -0.176971485292283E+01 , 
   1.05000 ,     0.209252199509328E+02 ,    -0.292974096311227E+02 ,    -0.377303226889050E+01 ,     0.218800934116960E+02 ,     0.443051771037715E+01 ,    -0.135859525198116E+01 , 
   1.06000 ,     0.285596364850325E+02 ,    -0.369913638576622E+02 ,    -0.484766208692270E+01 ,     0.298905672350944E+02 ,     0.478075224506999E+01 ,    -0.893595656428323E+00 , 
   1.07000 ,     0.339653690901696E+02 ,    -0.418186436441610E+02 ,    -0.557259668625868E+01 ,     0.355860776225739E+02 ,     0.481325187518781E+01 ,    -0.472865013830088E+00 , 
   1.08000 ,     0.364668737387198E+02 ,    -0.432526811495242E+02 ,    -0.585782596795277E+01 ,     0.382465463370376E+02 ,     0.461013336004407E+01 ,    -0.187566892342468E+00 , 
   1.09000 ,     0.357888493072227E+02 ,    -0.412784607633340E+02 ,    -0.567807781782751E+01 ,     0.375712295460102E+02 ,     0.426568266706231E+01 ,    -0.100733744284275E+00 , 
   1.10000 ,     0.320886796142336E+02 ,    -0.363623221260995E+02 ,    -0.507446231887104E+01 ,     0.337159102597888E+02 ,     0.385889656701787E+01 ,    -0.232604662190348E+00 , 
   1.11000 ,     0.259194732205162E+02 ,    -0.293412623598409E+02 ,    -0.414490866690352E+01 ,     0.272563579967393E+02 ,     0.343523506255628E+01 ,    -0.555910621996361E+00 , 
   1.12000 ,     0.181324198379683E+02 ,    -0.212580149549476E+02 ,    -0.302563055773960E+01 ,     0.190866745708529E+02 ,     0.300179021942303E+01 ,    -0.100219576565785E+01 , 
   1.13000 ,     0.973710898245728E+01 ,    -0.131765335690810E+02 ,    -0.186738075411037E+01 ,     0.102719509938219E+02 ,     0.253607861509864E+01 ,    -0.147763849553856E+01 , 
   1.14000 ,     0.174466214551158E+01 ,    -0.601334165635488E+01 ,    -0.810988301128022E+00 ,     0.188158513414616E+01 ,     0.200479097871853E+01 ,    -0.188459268683274E+01 , 
