 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   0.60000 ,    -0.333632536995962E+01 ,     0.246794613285468E+00 ,    -0.121053089074982E+01 , 
   0.62000 ,    -0.330146611165952E+01 ,     0.188130578244359E+00 ,    -0.124587236865363E+01 , 
   0.64000 ,    -0.330342316921835E+01 ,     0.893550873134218E-01 ,    -0.128945367718460E+01 , 
   0.66000 ,    -0.335433577046230E+01 ,     0.167873181637954E-01 ,    -0.131202702360432E+01 , 
   0.68000 ,    -0.348001733777018E+01 ,     0.958457521577785E-02 ,    -0.130248980475344E+01 , 
   0.70000 ,    -0.367343593801346E+01 ,     0.582169459152567E-01 ,    -0.127249663198188E+01 , 
   0.72000 ,    -0.386230430905757E+01 ,     0.118325091142695E+00 ,    -0.124494913077559E+01 , 
   0.74000 ,    -0.392941395259282E+01 ,     0.146518552045448E+00 ,    -0.123597358844883E+01 , 
   0.76000 ,    -0.378376104163937E+01 ,     0.130764673453112E+00 ,    -0.124374069924950E+01 , 
   0.78000 ,    -0.343533002211831E+01 ,     0.945764769447425E-01 ,    -0.125157700589960E+01 , 
   0.80000 ,    -0.301346363723143E+01 ,     0.748914424902285E-01 ,    -0.124207966991372E+01 , 
   0.82000 ,    -0.270246468499323E+01 ,     0.924331957122182E-01 ,    -0.121125969914835E+01 , 
   0.84000 ,    -0.262742345422112E+01 ,     0.137048518253968E+00 ,    -0.117232559887736E+01 , 
   0.86000 ,    -0.276536815921021E+01 ,     0.177558501697687E+00 ,    -0.114664914160975E+01 , 
   0.88000 ,    -0.294805312751241E+01 ,     0.186776881028041E+00 ,    -0.114870156240064E+01 , 
   0.90000 ,    -0.296459498889221E+01 ,     0.161804813504685E+00 ,    -0.117574742675105E+01 , 
   0.92000 ,    -0.270269720596762E+01 ,     0.124676092926906E+00 ,    -0.120935408182514E+01 , 
   0.94000 ,    -0.223517214557152E+01 ,     0.104160436966826E+00 ,    -0.122736759389512E+01 , 
   0.96000 ,    -0.178891093051631E+01 ,     0.113627373116317E+00 ,    -0.121799470032847E+01 , 
   0.98000 ,    -0.160871649206071E+01 ,     0.141901664306667E+00 ,    -0.118669343544344E+01 , 
   1.00000 ,    -0.179898875758701E+01 ,     0.163195842045682E+00 ,    -0.115189312534487E+01 , 
   1.02000 ,    -0.224426207888555E+01 ,     0.157375860615059E+00 ,    -0.113307242514490E+01 , 
   1.04000 ,    -0.266178415373591E+01 ,     0.124425103431418E+00 ,    -0.113925486811948E+01 , 
   1.06000 ,    -0.275644918615398E+01 ,     0.822650504341776E-01 ,    -0.116486557076309E+01 , 
   1.08000 ,    -0.238453932105720E+01 ,     0.504652843848064E-01 ,    -0.119449405346298E+01 , 
   1.10000 ,    -0.162892629718397E+01 ,     0.332854605953969E-01 ,    -0.121245393992851E+01 , 
   1.12000 ,    -0.745612283126752E+00 ,     0.156754603704596E-01 ,    -0.121079410566511E+01 , 
   1.14000 ,    -0.210851091569132E-01 ,    -0.244838263541334E-01 ,    -0.119151024331499E+01 , 
   1.16000 ,     0.369580309468271E+00 ,    -0.972867485591685E-01 ,    -0.116305956324333E+01 , 
   1.18000 ,     0.422773884147225E+00 ,    -0.189540730422691E+00 ,    -0.113467137365500E+01 , 
   1.20000 ,     0.261861468346265E+00 ,    -0.270150182211982E+00 ,    -0.111234804189355E+01 , 
   1.22000 ,     0.325437885322919E-01 ,    -0.308689676780161E+00 ,    -0.109821517473721E+01 , 
   1.24000 ,    -0.185333781441557E+00 ,    -0.294414843270132E+00 ,    -0.109209434233382E+01 , 
   1.26000 ,    -0.393404221663125E+00 ,    -0.243327565206837E+00 ,    -0.109292153417779E+01 , 
   1.28000 ,    -0.617387155624855E+00 ,    -0.189992302988299E+00 ,    -0.109854119327590E+01 , 
   1.30000 ,    -0.828134350180166E+00 ,    -0.171144074630252E+00 ,    -0.110441811470095E+01 , 
   1.32000 ,    -0.906871293670734E+00 ,    -0.211921829230777E+00 ,    -0.110319779900914E+01 , 
   1.34000 ,    -0.689522278281820E+00 ,    -0.320784842790571E+00 ,    -0.108671982863096E+01 , 
   1.36000 ,    -0.704327125247804E-01 ,    -0.490896826789272E+00 ,    -0.105028867537447E+01 , 
   1.38000 ,     0.897314896755336E+00 ,    -0.701626973055632E+00 ,    -0.997007295635098E+00 , 
   1.40000 ,     0.197283593003443E+01 ,    -0.917392438984440E+00 ,    -0.939172833029269E+00 , 
