Time       moves_acc moves_gen     G(r)_1     S(Q)_1     Bragg   Tail_fine  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
034300.654       69700       91150  0.586E+00  0.102E+00  0.361E-01  0.262E-16  0.171E+02
035300.653      129100      189353  0.275E+00  0.633E-01  0.334E-01  0.108E-15  0.172E+02
040300.626      181963      286641  0.160E+00  0.392E-01  0.314E-01  0.229E+08  0.101E+02
041300.626      230027      385595  0.932E-01  0.248E-01  0.301E-01  0.579E+08  0.298E+01
042300.627      279128      495353  0.488E-01  0.160E-01  0.293E-01  0.102E-14  0.407E+00
043300.622      331187      605353  0.277E-01  0.115E-01  0.291E-01  0.157E+08  0.206E+00
044300.656      379957      714852  0.187E-01  0.997E-02  0.291E-01  0.899E+07  0.322E+00
045300.639      422243      824637  0.142E-01  0.942E-02  0.291E-01  0.510E+06  0.222E+00
050300.625      458813      935757  0.117E-01  0.911E-02  0.290E-01  0.596E+06  0.633E+00
051300.629      490921     1045931  0.100E-01  0.891E-02  0.290E-01  0.472E+11  0.579E+00
052300.624      520294     1156990  0.885E-02  0.878E-02  0.290E-01  0.120E+07  0.931E+00
053300.651      546108     1266983  0.810E-02  0.868E-02  0.290E-01  0.138E+08  0.119E+01
054300.843      569661     1378445  0.993E-02  0.109E-01  0.290E-01  0.116E+07  0.111E+01
055300.620      591115     1490711  0.710E-02  0.855E-02  0.290E-01  0.132E+08  0.115E+01
060300.629      611158     1602521  0.674E-02  0.850E-02  0.290E-01  0.930E+06  0.105E+01
061300.651      629820     1712759  0.644E-02  0.845E-02  0.290E-01  0.165E+11  0.119E+01
062300.639      647493     1822715  0.619E-02  0.842E-02  0.290E-01  0.118E+06  0.817E+00
063300.650      664598     1934103  0.598E-02  0.837E-02  0.290E-01  0.140E+06  0.600E+00
064300.650      681201     2045365  0.578E-02  0.833E-02  0.290E-01  0.175E+06  0.619E+00
065300.621      697328     2157656  0.560E-02  0.829E-02  0.290E-01  0.904E+05  0.461E+00
070300.639      712783     2269043  0.544E-02  0.824E-02  0.290E-01  0.125E+06  0.373E+00
071300.620      727859     2381330  0.529E-02  0.818E-02  0.290E-01  0.794E+05  0.422E+00
072300.652      742473     2493346  0.514E-02  0.814E-02  0.290E-01  0.795E+05  0.692E+00
073300.642      756704     2605409  0.500E-02  0.808E-02  0.290E-01  0.680E+05  0.715E+00
074300.648      770888     2717167  0.487E-02  0.803E-02  0.290E-01  0.841E+05  0.134E+01
075300.798      784907     2829400  0.429E-02  0.776E-02  0.290E-01  0.534E+05  0.193E+01
080300.867      798516     2941499  0.475E-02  0.920E-02  0.290E-01  0.417E+05  0.264E+01
081300.641      812125     3053854  0.441E-02  0.792E-02  0.290E-01  0.452E+05  0.293E+01
082300.616      825168     3166365  0.430E-02  0.787E-02  0.290E-01  0.383E+05  0.260E+01
083300.639      838094     3279331  0.421E-02  0.779E-02  0.290E-01  0.388E+05  0.280E+01
084300.619      850584     3390963  0.412E-02  0.772E-02  0.290E-01  0.420E+05  0.274E+01
085300.622      862872     3502597  0.404E-02  0.765E-02  0.290E-01  0.433E+05  0.304E+01
090300.648      874899     3613656  0.397E-02  0.759E-02  0.290E-01  0.498E+05  0.319E+01
091300.620      887115     3724986  0.390E-02  0.750E-02  0.290E-01  0.381E+05  0.331E+01
092300.644      899097     3836995  0.384E-02  0.743E-02  0.290E-01  0.474E+05  0.328E+01
093300.621      911242     3949411  0.377E-02  0.736E-02  0.290E-01  0.309E+05  0.305E+01
094300.626      923094     4061456  0.371E-02  0.728E-02  0.290E-01  0.418E+05  0.319E+01
095300.645      934872     4173317  0.365E-02  0.721E-02  0.290E-01  0.327E+05  0.338E+01
100300.645      946552     4285604  0.359E-02  0.715E-02  0.290E-01  0.342E+05  0.341E+01
101300.621      958493     4397470  0.354E-02  0.708E-02  0.290E-01  0.458E+05  0.324E+01
102300.657      970135     4508853  0.349E-02  0.701E-02  0.290E-01  0.279E+05  0.365E+01
103300.617      981839     4620570  0.344E-02  0.693E-02  0.290E-01  0.367E+05  0.336E+01
104300.638      993454     4731989  0.339E-02  0.686E-02  0.290E-01  0.702E+05  0.357E+01
105300.619     1005016     4843528  0.334E-02  0.680E-02  0.290E-01  0.347E+05  0.339E+01
110300.651     1016491     4955609  0.329E-02  0.673E-02  0.290E-01  0.368E+05  0.357E+01
111300.641     1028113     5067732  0.325E-02  0.666E-02  0.290E-01  0.408E+05  0.353E+01
112300.625     1039629     5179411  0.320E-02  0.659E-02  0.290E-01  0.494E+05  0.334E+01
113300.651     1051173     5291173  0.314E-02  0.653E-02  0.290E-01  0.314E+05  0.306E+01
114300.620     1062652     5403080  0.307E-02  0.648E-02  0.290E-01  0.381E+05  0.276E+01
115300.634     1074087     5513816  0.302E-02  0.641E-02  0.290E-01  0.398E+05  0.248E+01
120300.629     1085646     5625147  0.297E-02  0.635E-02  0.290E-01  0.603E+05  0.282E+01
121300.616     1097126     5735734  0.292E-02  0.630E-02  0.290E-01  0.409E+05  0.225E+01
122300.627     1108497     5845659  0.287E-02  0.623E-02  0.290E-01  0.388E+05  0.248E+01
123300.647     1119684     5955628  0.283E-02  0.615E-02  0.290E-01  0.461E+05  0.243E+01
124300.646     1130961     6065427  0.280E-02  0.608E-02  0.290E-01  0.826E+05  0.293E+01
125300.649     1142270     6175396  0.275E-02  0.602E-02  0.290E-01  0.394E+05  0.264E+01
130300.652     1153150     6284156  0.272E-02  0.595E-02  0.290E-01  0.376E+05  0.244E+01
131300.623     1164276     6394069  0.268E-02  0.589E-02  0.290E-01  0.237E+05  0.248E+01
132300.630     1175426     6503980  0.264E-02  0.583E-02  0.290E-01  0.410E+05  0.247E+01
133300.623     1186446     6614269  0.261E-02  0.577E-02  0.290E-01  0.368E+05  0.245E+01
