Cluster	# of Li atoms
    1        33
    2         5
    3         1
    4        13
    5        28
    8        22
    9         3
   10        70
   12        13
   13         5
   14        30
   15        13
   16        12
   20        12
   21         6
   22         1
   23         7
   24       168
   25        12
   27        39
   28        11
   29         7
   30        11
   31         1
   33         3
   37         5
   38        37
   41         5
   42         4
   44         2
   45        40
   46         7
   47        15
   49        26
   53         2
   55        26
   59        16
   60       146
   61        34
   63         2
   64        30
   66         1
   70         4
   72        31
   74         6
   76         2
   77         3
   78         1
   79         5
   83         8
   84         5
   88        26
   89         6
   95         2
  100        26
  101         3
  108        16
  109         6
  112         6
  114         3
  118        42
  120         6
  123         7
  127        11
  129         1
  130        12
  132        12
  135        11
  137         4
  138        15
  140        35
  145        23
  146         9
  149        30
  150         1
  152         2
  153        32
  158         6
  162         4
  164         3
  167         5
  168         2
  169         9
  172         4
  173         1
  175         5
  176        30
  177         3
  178         1
  183         6
  184         5
  186        34
  189        44
  198         6
  201         6
  203        17
  208        13
  209         4
  211         9
  212        10
  213         1
  214         3
  215         3
  217         3
  218        28
  223         3
  226         3
  227         3
  228        17
  233         7
  234         7
  236         9
  241         2
  242         3
  243         7
  256         2
  257         6
  259         1
  263        21
  271         2
  273        10
  274         1
  276         3
  277         5
  279        10
  286         1
  290         2
  297         8
  308         5
  309         1
  310         2
  312         2
  313         4
  317         1
  318         3
  319         5
  320         1
  321         2
  323         1
  327         1
  328         2
  329         2
  330         2
  333         1
  335         2
  336         5
  337         1
  338         4
  339         1
  340         1
  343         2
  347         1
  351         1
  353         1
  354        12
  356         1
  358         1
  359         2
  365         3
  368         1
  369         5
  371         1
  373         6
  375         2
  380         4
  381         3
  384         2
  386         5
  389         1
  390         2
  395         2
  397         1
  398         2
  399         1
  400         2
  408         1
  409         2
  410         1
  414         2
  415         3
  417         2
  418         4
  420         2
  421         4
  423         1
  426         1
  427         3
  428         2
  429         2
  431         2
  435         1
  437        15
  439         1
  440         1
  442         2
  453         1
  457         4
  461         2
  466         1
  467         1
  468         1
  471         3
  472         6
  473         1
  474         3
  476         1
  478         1
  479        10
  481         1
  482         1
  484         3
  485         1
  487         1
  488         2
  490         3
  491         2
  492         2
  495         7
  496         2
  499         2
  502         1
  503         2
  505         3
  506         2
  507         1
  512         2
  513         1
  514         1
  520        11
  523         8
  525         1
  527         2
  528         3
  529         1
  530         1
  531         1
  532         1
  533         3
  537         1
  540         2
  546         1
  547         3
  548         3
  549         2
  550         3
  553         2
  556         1
  559         3
  561         1
  563         2
  565         1
  569         1
  572         1
  573         4
  574         2
  579         2
  585         4
  589         4
  591         2
  592         1
  594         3
  595         3
  596         2
  599         1
  602         2
  603         4
  604         3
  607         4
  608         2
  617         1
  621         1
  625         1
  627         1
  631         1
  633         2
  636         2
  637         1
  640         1
  641         3
  642         1
  644         2
  647         2
  648         1
  650         2
  653         1
  654         1
  655         1
  656         1
  657         1
  659         2
  660         1
  663         1
  665         1
  666         1
  667         1
  668         1
  669         1
  670         1
  671         1
  672         1
  675         1
  676         1
  678         1
  679         1
  680         1
  681         1
  682         1
  683         1
  684         1
  685         1
  686         1
  688         1
  689         1
  690         2
  691         1
  692         1
  693         1
  694         1
  695         1
  696         2
  697         1
  698         1
  699         1
  700         1
  701         1
  703         1
  704         1
  705         1
  706         1
  707         1
  708         1
  709         1
  710         1
  711         1
  712         1
  713         1
  714         1
  715         1
  716         1
  717         1
  718         1
  720         1
  721         1
  722         1
  723         1
  724         1
  725         1
  726         1
  727         1
  728         1
  729         1
  730         1
  731         1
  732         1
  733         1
  734         1
  735         1
  736         1
  737         1
  738         1
  739         1
  740         1
  741         1
  743         1
  744         1
  745         1
  746         1
  748         1
  749         1
  750         2
  751         1
  752         1
  753         1
  754         1
  755         1
  757         1
  759         1
  760         1
  762         1
  763         1
  764         1
  765         1
  766         1
