    r      L_U-Cl   L_Cl-Cl
  2.000    -0.050    -0.095
  2.020    -0.050    -0.095
  2.040    -0.050    -0.094
  2.060    -0.049    -0.093
  2.080    -0.049    -0.092
  2.100    -0.049    -0.091
  2.120    -0.048    -0.089
  2.140    -0.047    -0.088
  2.160    -0.046    -0.086
  2.180    -0.045    -0.084
  2.200    -0.043    -0.081
  2.220    -0.040    -0.078
  2.240    -0.036    -0.075
  2.260    -0.031    -0.071
  2.280    -0.023    -0.067
  2.300    -0.012    -0.062
  2.320     0.002    -0.056
  2.340     0.023    -0.050
  2.360     0.051    -0.042
  2.380     0.090    -0.034
  2.400     0.142    -0.024
  2.420     0.213    -0.014
  2.440     0.308    -0.001
  2.460     0.433     0.012
  2.480     0.593     0.028
  2.500     0.795     0.045
  2.520     1.039     0.065
  2.540     1.324     0.087
  2.560     1.641     0.111
  2.580     1.975     0.137
  2.600     2.309     0.166
  2.620     2.626     0.198
  2.640     2.911     0.232
  2.660     3.155     0.268
  2.680     0.000     0.307
  2.700     0.000     0.348
  2.720     0.000     0.391
  2.740     0.000     0.435
  2.760     0.000     0.481
  2.780     0.000     0.527
  2.800     0.000     0.573
  2.820     0.000     0.619
  2.840     0.000     0.665
  2.860     0.000     0.709
  2.880     0.000     0.752
  2.900     0.000     0.793
  2.920     0.000     0.832
  2.940     0.000     0.868
  2.960     0.000     0.902
  2.980     0.000     0.934
  3.000     0.000     0.963
