Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
094729.615       85658      294733  0.194E-02  0.796E-01  0.901E+06  0.322E+01  0.209E+00  0.797E-01
095229.620      141916      591403  0.764E-03  0.384E-01  0.660E+06  0.302E+01  0.685E-01  0.144E+00
095729.610      190883      885634  0.394E-03  0.176E-01  0.127E+06  0.322E+01  0.141E+00  0.198E+00
100229.635      233637     1179303  0.254E-03  0.848E-02  0.861E+05  0.329E+01  0.105E+00  0.237E+00
100729.612      271717     1470811  0.198E-03  0.464E-02  0.508E+05  0.315E+01  0.237E+00  0.216E+00
101229.616      307184     1764169  0.174E-03  0.268E-02  0.409E+05  0.307E+01  0.165E+00  0.235E+00
101729.631      340143     2056141  0.170E-03  0.161E-02  0.377E+05  0.361E+01  0.176E+00  0.237E+00
102229.610      372460     2353837  0.182E-03  0.103E-02  0.341E+05  0.312E+01  0.283E+00  0.253E+00
102729.610      402168     2652287  0.195E-03  0.802E-03  0.561E+05  0.272E+01  0.227E+00  0.255E+00
103229.785      429486     2945208  0.160E-03  0.656E-03  0.445E+05  0.280E+01  0.263E+00  0.305E+00
103729.610      455927     3241192  0.215E-03  0.666E-03  0.634E+05  0.289E+01  0.236E+00  0.327E+00
104229.612      482021     3535102  0.238E-03  0.614E-03  0.779E+05  0.301E+01  0.182E+00  0.352E+00
