 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   0.60000 ,    -0.329005851558207E+01 ,     0.321550952431495E+00 ,    -0.117419787485050E+01 , 
   0.62000 ,    -0.330337507013480E+01 ,     0.191044704281152E+00 ,    -0.124483548704485E+01 , 
   0.64000 ,    -0.333571596160782E+01 ,     0.270189368212744E-01 ,    -0.131801896692805E+01 , 
   0.66000 ,    -0.339352334328481E+01 ,    -0.733631753384882E-01 ,    -0.135489887919297E+01 , 
   0.68000 ,    -0.350816285654129E+01 ,    -0.609322586748261E-01 ,    -0.133924032742067E+01 , 
   0.70000 ,    -0.368393029610995E+01 ,     0.395214124943259E-01 ,    -0.128477880948943E+01 , 
   0.72000 ,    -0.385944037750344E+01 ,     0.153033640127994E+00 ,    -0.122445156756756E+01 , 
   0.74000 ,    -0.392396248793695E+01 ,     0.207968643416407E+00 ,    -0.118925481613236E+01 , 
   0.76000 ,    -0.378744334406685E+01 ,     0.181232926909570E+00 ,    -0.119031771233098E+01 , 
   0.78000 ,    -0.345620101847148E+01 ,     0.106349360129662E+00 ,    -0.121481762709224E+01 , 
   0.80000 ,    -0.305312470952279E+01 ,     0.433038231880468E-01 ,    -0.123699918326122E+01 , 
   0.82000 ,    -0.275549637763766E+01 ,     0.348453399034315E-01 ,    -0.123609565101747E+01 , 
   0.84000 ,    -0.268323375644454E+01 ,     0.802494415694393E-01 ,    -0.120932264672402E+01 , 
   0.86000 ,    -0.281214078593306E+01 ,     0.142024856355716E+00 ,    -0.117216746874967E+01 , 
   0.88000 ,    -0.297747990818814E+01 ,     0.176641295017424E+00 ,    -0.114681393704891E+01 , 
   0.90000 ,    -0.297522995691255E+01 ,     0.164977719245152E+00 ,    -0.114697113715010E+01 , 
   0.92000 ,    -0.270000131777210E+01 ,     0.121577524737297E+00 ,    -0.116904952377178E+01 , 
   0.94000 ,    -0.222791714271365E+01 ,     0.794135669951086E-01 ,    -0.119493985949232E+01 , 
   0.96000 ,    -0.178377320711315E+01 ,     0.645321587684592E-01 ,    -0.120400913147776E+01 , 
   0.98000 ,    -0.160616943629820E+01 ,     0.799925353179801E-01 ,    -0.118630858854527E+01 , 
   1.00000 ,    -0.179297330666456E+01 ,     0.108830105853592E+00 ,    -0.114871707711346E+01 , 
   1.02000 ,    -0.222583334559118E+01 ,     0.130282476336267E+00 ,    -0.111057910999026E+01 , 
   1.04000 ,    -0.262445498453643E+01 ,     0.134507565596865E+00 ,    -0.109199301649266E+01 , 
   1.06000 ,    -0.269995057466567E+01 ,     0.124593343234162E+00 ,    -0.110211939130015E+01 , 
   1.08000 ,    -0.231487730959288E+01 ,     0.106655669846614E+00 ,    -0.113436624351210E+01 , 
   1.10000 ,    -0.155511954571804E+01 ,     0.788935651660577E-01 ,    -0.117076552109939E+01 , 
   1.12000 ,    -0.675595911213205E+00 ,     0.306013326772831E-01 ,    -0.119233340054130E+01 , 
   1.14000 ,     0.404694921593619E-01 ,    -0.471997882361544E-01 ,    -0.118905534731401E+01 , 
   1.16000 ,     0.420456310655392E+00 ,    -0.148525737393174E+00 ,    -0.116398473996260E+01 , 
   1.18000 ,     0.460674171403265E+00 ,    -0.248688082223998E+00 ,    -0.112989169653627E+01 , 
   1.20000 ,     0.282690145432588E+00 ,    -0.315093300228803E+00 ,    -0.110129964306357E+01 , 
   1.22000 ,     0.313509289200412E-01 ,    -0.326172188176054E+00 ,    -0.108695664309960E+01 , 
   1.24000 ,    -0.211030451518551E+00 ,    -0.285391483617081E+00 ,    -0.108675396469535E+01 , 
   1.26000 ,    -0.440200024226497E+00 ,    -0.220735824016641E+00 ,    -0.109385305151926E+01 , 
   1.28000 ,    -0.675133154701903E+00 ,    -0.170685974597383E+00 ,    -0.109959715103443E+01 , 
   1.30000 ,    -0.882757762695537E+00 ,    -0.166997478543922E+00 ,    -0.109766268713577E+01 , 
   1.32000 ,    -0.945582514754932E+00 ,    -0.225255555098339E+00 ,    -0.108530036976892E+01 , 
   1.34000 ,    -0.705517118987157E+00 ,    -0.346214379266343E+00 ,    -0.106214287526213E+01 , 
   1.36000 ,    -0.645030751159069E-01 ,    -0.521496039750997E+00 ,    -0.102886251586105E+01 , 
   1.38000 ,     0.918867262820437E+00 ,    -0.734718552932271E+00 ,    -0.987600653787949E+00 , 
   1.40000 ,     0.200229853724734E+01 ,    -0.955972037519315E+00 ,    -0.943898372260144E+00 , 
   1.42000 ,     0.283298968951924E+01 ,    -0.113777637222905E+01 ,    -0.907654933444761E+00 , 
   1.44000 ,     0.309691158859177E+01 ,    -0.122439515921591E+01 ,    -0.890425065513671E+00 , 
   1.46000 ,     0.267505876230568E+01 ,    -0.117824565222360E+01 ,    -0.898769068636348E+00 , 
   1.48000 ,     0.172655661732855E+01 ,    -0.101157072620298E+01 ,    -0.926970307502877E+00 , 
   1.50000 ,     0.648081872166408E+00 ,    -0.800594692360483E+00 ,    -0.954536159917544E+00 , 
   1.52000 ,    -0.838057342056980E-01 ,    -0.663918072798541E+00 ,    -0.952380825284891E+00 , 
   1.54000 ,    -0.122498088145347E+00 ,    -0.707427610916652E+00 ,    -0.896627784825300E+00 , 
   1.56000 ,     0.582936302818046E+00 ,    -0.962474049103467E+00 ,    -0.783350673356081E+00 , 
   1.58000 ,     0.174933455037163E+01 ,    -0.135514452615184E+01 ,    -0.635153094333385E+00 , 
   1.60000 ,     0.287619388818317E+01 ,    -0.173164501119833E+01 ,    -0.493646401832440E+00 , 
   1.62000 ,     0.347107966119182E+01 ,    -0.193309404983848E+01 ,    -0.399591675581807E+00 , 
   1.64000 ,     0.327948050591368E+01 ,    -0.188120788731658E+01 ,    -0.370449366761508E+00 , 
   1.66000 ,     0.240559497901600E+01 ,    -0.162542719369356E+01 ,    -0.388200461336439E+00 , 
   1.68000 ,     0.125948276047123E+01 ,    -0.132107317705835E+01 ,    -0.405885047423029E+00 , 
   1.70000 ,     0.352487111934643E+00 ,    -0.114730136514929E+01 ,    -0.371173546013631E+00 , 
   1.72000 ,     0.429475933459513E-01 ,    -0.120956547640326E+01 ,    -0.255092285688753E+00 , 
   1.74000 ,     0.363365511439469E+00 ,    -0.148166347740835E+01 ,    -0.700007754578930E-01 , 
   1.76000 ,     0.101906255240677E+01 ,    -0.182026760887942E+01 ,     0.134015840281878E+00 , 
   1.78000 ,     0.155678765915055E+01 ,    -0.204325356610227E+01 ,     0.293471826881554E+00 , 
   1.80000 ,     0.160981694225627E+01 ,    -0.202713162051106E+01 ,     0.363927949459927E+00 , 
   1.82000 ,     0.108615695770770E+01 ,    -0.176963981269064E+01 ,     0.343103306384789E+00 , 
   1.84000 ,     0.201600430466423E+00 ,    -0.138551576502817E+01 ,     0.272171206810181E+00 , 
   1.86000 ,    -0.651307880219338E+00 ,    -0.104221800786993E+01 ,     0.214756324396087E+00 , 
   1.88000 ,    -0.111669385678471E+01 ,    -0.874419922426603E+00 ,     0.225229660097064E+00 , 
   1.90000 ,    -0.105006413245736E+01 ,    -0.923645833644328E+00 ,     0.323180242095405E+00 , 
   1.92000 ,    -0.565248042984453E+00 ,    -0.113060353813803E+01 ,     0.486702852728187E+00 , 
   1.94000 ,     0.556128546366707E-01 ,    -0.137630449780871E+01 ,     0.666279451431612E+00 , 
   1.96000 ,     0.521491131510959E+00 ,    -0.154336861488450E+01 ,     0.810095196710808E+00 , 
   1.98000 ,     0.665341800303423E+00 ,    -0.156382342060563E+01 ,     0.886736130281244E+00 , 
   2.00000 ,     0.485720713462116E+00 ,    -0.143372151917236E+01 ,     0.894486948246927E+00 , 
   2.02000 ,     0.966880915283470E-01 ,    -0.119648331932701E+01 ,     0.855104644713298E+00 , 
   2.04000 ,    -0.361658416011584E+00 ,    -0.912226346795382E+00 ,     0.798423100621671E+00 , 
   2.06000 ,    -0.789670350770779E+00 ,    -0.632166719582789E+00 ,     0.747686909505611E+00 , 
   2.08000 ,    -0.114119779673589E+01 ,    -0.387872472389687E+00 ,     0.712892449200562E+00 , 
   2.10000 ,    -0.139762849358875E+01 ,    -0.193309424049727E+00 ,     0.693204424244143E+00 , 
   2.12000 ,    -0.154146576089442E+01 ,    -0.512523232845776E-01 ,     0.684015519151228E+00 , 
   2.14000 ,    -0.155717222732023E+01 ,     0.428829476918548E-01 ,     0.682591152587626E+00 , 
   2.16000 ,    -0.145484769475723E+01 ,     0.100889833991435E+00 ,     0.688760318668058E+00 , 
   2.18000 ,    -0.128745440973304E+01 ,     0.141792935932376E+00 ,     0.701435367663644E+00 , 
   2.20000 ,    -0.113539669764977E+01 ,     0.188394293120929E+00 ,     0.714781085255992E+00 , 
   2.22000 ,    -0.106033336274401E+01 ,     0.260147353583236E+00 ,     0.717819283345663E+00 , 
   2.24000 ,    -0.105971984198216E+01 ,     0.365730797347974E+00 ,     0.698576742595683E+00 , 
   2.26000 ,    -0.105969213731656E+01 ,     0.499492269371706E+00 ,     0.650596339898585E+00 , 
   2.28000 ,    -0.959613757698625E+00 ,     0.643717439482422E+00 ,     0.577877846544895E+00 , 
   2.30000 ,    -0.703803953517871E+00 ,     0.775488854136783E+00 ,     0.495041721659804E+00 , 
   2.32000 ,    -0.332777591345509E+00 ,     0.874996300590864E+00 ,     0.422100461524247E+00 , 
   2.34000 ,     0.239940107535322E-01 ,     0.932266036032062E+00 ,     0.376104684161565E+00 , 
   2.36000 ,     0.214632434875799E+00 ,     0.950465912675212E+00 ,     0.363580523979464E+00 , 
   2.38000 ,     0.152198501429417E+00 ,     0.944981981238901E+00 ,     0.377368070167499E+00 , 
   2.40000 ,    -0.130222004858012E+00 ,     0.938105940432541E+00 ,     0.399470119258151E+00 , 
   2.42000 ,    -0.489940252912196E+00 ,     0.950169567212266E+00 ,     0.408788741296640E+00 , 
   2.44000 ,    -0.743707710101894E+00 ,     0.989823745110198E+00 ,     0.390358914545810E+00 , 
   2.46000 ,    -0.754921667902367E+00 ,     0.104802565323450E+01 ,     0.341874974797883E+00 , 
   2.48000 ,    -0.492113592527738E+00 ,     0.110021074100407E+01 ,     0.274389062521507E+00 , 
   2.50000 ,    -0.334679012492596E-01 ,     0.111775470134982E+01 ,     0.206704584672931E+00 , 
   2.52000 ,     0.475552106661873E+00 ,     0.108421689486290E+01 ,     0.156074472919723E+00 , 
   2.54000 ,     0.882907906569015E+00 ,     0.100745415487513E+01 ,     0.129819513185662E+00 , 
   2.56000 ,     0.108023675464633E+01 ,     0.919201958064455E+00 ,     0.122208857752520E+00 , 
   2.58000 ,     0.102891534032106E+01 ,     0.860102401271247E+00 ,     0.118288887217113E+00 , 
   2.60000 ,     0.763600683775627E+00 ,     0.857202872559224E+00 ,     0.102578735799318E+00 , 
   2.62000 ,     0.379961401923553E+00 ,     0.906845537630873E+00 ,     0.677700937107238E-01 , 
   2.64000 ,     0.932050101805774E-02 ,     0.974068283802707E+00 ,     0.185023848666478E-01 , 
   2.66000 ,    -0.220123431933704E+00 ,     0.101035664419531E+01 ,    -0.318643387349980E-01 , 
   2.68000 ,    -0.230102904408213E+00 ,     0.980244192185648E+00 ,    -0.694001628834192E-01 , 
   2.70000 ,    -0.299685043774943E-01 ,     0.881206161124582E+00 ,    -0.876771104561277E-01 , 
   2.72000 ,     0.277828609507501E+00 ,     0.744853972671231E+00 ,    -0.909312715699376E-01 , 
   2.74000 ,     0.537271093978378E+00 ,     0.618733185166682E+00 ,    -0.906756963820214E-01 , 
   2.76000 ,     0.611426056221185E+00 ,     0.539929416619237E+00 ,    -0.982868469536657E-01 , 
   2.78000 ,     0.452416392609820E+00 ,     0.516481282295804E+00 ,    -0.118509191637792E+00 , 
