Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
191145.836      585601     1572619  0.481E-02  0.152E-01  0.243E+07  0.206E+00  0.560E+02  0.158E+02
192145.835      591263     1599871  0.466E-02  0.150E-01  0.211E+07  0.222E+00  0.538E+02  0.168E+02
193145.843      596976     1627154  0.450E-02  0.149E-01  0.115E+07  0.234E+00  0.572E+02  0.157E+02
194145.848      602407     1654493  0.435E-02  0.148E-01  0.310E+07  0.239E+00  0.625E+02  0.168E+02
195145.879      607686     1681872  0.420E-02  0.147E-01  0.353E+07  0.257E+00  0.624E+02  0.168E+02
200145.827      613110     1709277  0.408E-02  0.145E-01  0.189E+07  0.276E+00  0.641E+02  0.170E+02
201145.841      618986     1736740  0.398E-02  0.144E-01  0.194E+07  0.299E+00  0.661E+02  0.154E+02
202145.840      624100     1764248  0.386E-02  0.143E-01  0.257E+07  0.304E+00  0.650E+02  0.155E+02
203145.831      629262     1791701  0.373E-02  0.142E-01  0.187E+07  0.302E+00  0.722E+02  0.161E+02
204145.845      634542     1819214  0.362E-02  0.141E-01  0.167E+07  0.317E+00  0.711E+02  0.172E+02
205145.844      639509     1846652  0.351E-02  0.140E-01  0.341E+07  0.329E+00  0.729E+02  0.170E+02
210145.836      644342     1874052  0.341E-02  0.139E-01  0.201E+07  0.352E+00  0.743E+02  0.169E+02
211145.844      649171     1901432  0.332E-02  0.138E-01  0.369E+07  0.367E+00  0.779E+02  0.160E+02
212145.832      653838     1928815  0.323E-02  0.137E-01  0.316E+07  0.362E+00  0.773E+02  0.162E+02
213145.828      658472     1956265  0.313E-02  0.136E-01  0.151E+07  0.397E+00  0.789E+02  0.174E+02
214145.876      662889     1983693  0.305E-02  0.135E-01  0.181E+07  0.405E+00  0.861E+02  0.165E+02
215145.865      667185     2011204  0.297E-02  0.134E-01  0.315E+06  0.407E+00  0.851E+02  0.173E+02
220145.850      671531     2038658  0.290E-02  0.133E-01  0.355E+06  0.418E+00  0.880E+02  0.167E+02
221145.853      675874     2066136  0.283E-02  0.132E-01  0.460E+06  0.432E+00  0.899E+02  0.161E+02
222145.822      680046     2093651  0.277E-02  0.131E-01  0.275E+06  0.411E+00  0.888E+02  0.175E+02
223145.823      684129     2121093  0.269E-02  0.131E-01  0.356E+06  0.422E+00  0.945E+02  0.185E+02
224145.822      688081     2148520  0.263E-02  0.130E-01  0.295E+06  0.424E+00  0.971E+02  0.192E+02
225145.829      692068     2175973  0.256E-02  0.129E-01  0.270E+06  0.425E+00  0.985E+02  0.210E+02
230145.834      695853     2203325  0.251E-02  0.129E-01  0.386E+06  0.452E+00  0.984E+02  0.182E+02
231145.837      699652     2230744  0.246E-02  0.128E-01  0.198E+06  0.451E+00  0.997E+02  0.202E+02
232145.848      703401     2258192  0.241E-02  0.127E-01  0.512E+06  0.456E+00  0.101E+03  0.195E+02
233145.845      707078     2285563  0.237E-02  0.126E-01  0.167E+06  0.474E+00  0.101E+03  0.199E+02
234145.860      710719     2312930  0.232E-02  0.126E-01  0.161E+06  0.483E+00  0.106E+03  0.186E+02
235145.837      714450     2340347  0.228E-02  0.125E-01  0.265E+06  0.492E+00  0.105E+03  0.224E+02
000145.826      718124     2367733  0.225E-02  0.124E-01  0.221E+06  0.505E+00  0.105E+03  0.191E+02
001145.828      721712     2395122  0.220E-02  0.124E-01  0.172E+06  0.511E+00  0.108E+03  0.234E+02
002145.854      725248     2422533  0.216E-02  0.123E-01  0.203E+06  0.516E+00  0.110E+03  0.207E+02
003145.839      728773     2449914  0.214E-02  0.122E-01  0.232E+06  0.526E+00  0.102E+03  0.223E+02
004145.835      732264     2477281  0.210E-02  0.122E-01  0.145E+06  0.539E+00  0.106E+03  0.193E+02
005145.844      735715     2504698  0.207E-02  0.121E-01  0.211E+06  0.544E+00  0.103E+03  0.206E+02
010145.835      739181     2532066  0.205E-02  0.120E-01  0.206E+06  0.550E+00  0.107E+03  0.206E+02
011145.834      742592     2559409  0.201E-02  0.120E-01  0.197E+06  0.554E+00  0.109E+03  0.212E+02
012145.835      746014     2586759  0.199E-02  0.119E-01  0.262E+06  0.565E+00  0.107E+03  0.183E+02
013145.868      749404     2614096  0.196E-02  0.118E-01  0.133E+06  0.566E+00  0.104E+03  0.235E+02
014145.838      752772     2641436  0.193E-02  0.118E-01  0.115E+06  0.582E+00  0.107E+03  0.234E+02
015145.825      756008     2668739  0.190E-02  0.117E-01  0.146E+06  0.599E+00  0.112E+03  0.220E+02
010145.886      759173     2696074  0.187E-02  0.117E-01  0.894E+05  0.598E+00  0.112E+03  0.254E+02
011145.845      762251     2723374  0.184E-02  0.116E-01  0.893E+05  0.594E+00  0.110E+03  0.255E+02
012145.853      765315     2750710  0.182E-02  0.116E-01  0.680E+05  0.614E+00  0.111E+03  0.267E+02
013146.303      768463     2778042  0.149E-02  0.112E-01  0.102E+06  0.613E+00  0.109E+03  0.226E+02
014145.845      771598     2805354  0.178E-02  0.115E-01  0.114E+06  0.645E+00  0.111E+03  0.238E+02
015145.877      774571     2832650  0.176E-02  0.114E-01  0.117E+06  0.629E+00  0.111E+03  0.246E+02
020145.836      777712     2859969  0.174E-02  0.114E-01  0.799E+05  0.630E+00  0.110E+03  0.239E+02
021145.843      780749     2887240  0.171E-02  0.113E-01  0.112E+06  0.642E+00  0.110E+03  0.255E+02
022145.825      783741     2914565  0.169E-02  0.113E-01  0.998E+05  0.648E+00  0.108E+03  0.242E+02
023145.879      786838     2942013  0.168E-02  0.112E-01  0.118E+06  0.656E+00  0.109E+03  0.252E+02
024145.842      789805     2969399  0.166E-02  0.112E-01  0.689E+05  0.644E+00  0.112E+03  0.269E+02
025145.854      792800     2996808  0.164E-02  0.111E-01  0.947E+05  0.671E+00  0.110E+03  0.271E+02
030145.823      795743     3024239  0.162E-02  0.111E-01  0.951E+05  0.679E+00  0.107E+03  0.257E+02
031145.870      798763     3051619  0.160E-02  0.110E-01  0.761E+05  0.679E+00  0.110E+03  0.300E+02
032145.837      801733     3078968  0.159E-02  0.110E-01  0.929E+05  0.688E+00  0.108E+03  0.292E+02
033145.838      804792     3106313  0.157E-02  0.109E-01  0.608E+05  0.696E+00  0.109E+03  0.283E+02
034145.822      807851     3133591  0.155E-02  0.109E-01  0.100E+06  0.697E+00  0.113E+03  0.277E+02
035145.836      810799     3160966  0.153E-02  0.108E-01  0.707E+05  0.705E+00  0.110E+03  0.344E+02
040145.854      813679     3188314  0.151E-02  0.108E-01  0.700E+05  0.719E+00  0.109E+03  0.318E+02
041145.832      816563     3215641  0.150E-02  0.107E-01  0.917E+05  0.733E+00  0.108E+03  0.316E+02
042145.915      819432     3242993  0.149E-02  0.107E-01  0.110E+06  0.723E+00  0.108E+03  0.259E+02
043145.841      822397     3270320  0.147E-02  0.106E-01  0.110E+06  0.721E+00  0.106E+03  0.318E+02
044145.826      825399     3297690  0.146E-02  0.106E-01  0.904E+05  0.723E+00  0.104E+03  0.290E+02
045145.887      828728     3324859  0.147E-02  0.105E-01  0.191E+06  0.744E+00  0.979E+02  0.216E+02
050145.860      831834     3352222  0.144E-02  0.105E-01  0.809E+05  0.748E+00  0.100E+03  0.307E+02
051145.891      834732     3379626  0.143E-02  0.104E-01  0.875E+05  0.764E+00  0.101E+03  0.292E+02
052145.825      837557     3406979  0.141E-02  0.104E-01  0.739E+05  0.762E+00  0.109E+03  0.270E+02
053145.849      840863     3434154  0.142E-02  0.103E-01  0.110E+06  0.769E+00  0.984E+02  0.234E+02
054145.877      843961     3461544  0.140E-02  0.102E-01  0.746E+05  0.770E+00  0.100E+03  0.297E+02
055145.841      846970     3488900  0.138E-02  0.102E-01  0.874E+05  0.790E+00  0.103E+03  0.322E+02
060145.839      849859     3516305  0.137E-02  0.101E-01  0.101E+06  0.779E+00  0.108E+03  0.277E+02
061145.891      852777     3543669  0.135E-02  0.101E-01  0.447E+05  0.785E+00  0.107E+03  0.295E+02
062145.853      855598     3571042  0.134E-02  0.101E-01  0.968E+05  0.786E+00  0.111E+03  0.296E+02
063145.840      858491     3598468  0.133E-02  0.100E-01  0.102E+06  0.823E+00  0.108E+03  0.271E+02
064145.838      861619     3625575  0.134E-02  0.995E-02  0.193E+07  0.822E+00  0.102E+03  0.206E+02
065145.861      864815     3652946  0.133E-02  0.989E-02  0.824E+05  0.837E+00  0.102E+03  0.232E+02
070145.841      867957     3680028  0.131E-02  0.984E-02  0.180E+07  0.834E+00  0.992E+02  0.268E+02
071145.874      871417     3707329  0.131E-02  0.977E-02  0.551E+05  0.841E+00  0.101E+03  0.267E+02
072145.852      874436     3734685  0.128E-02  0.972E-02  0.835E+05  0.842E+00  0.104E+03  0.306E+02
073145.828      877374     3762029  0.127E-02  0.968E-02  0.982E+05  0.847E+00  0.108E+03  0.276E+02
074145.845      880293     3789412  0.125E-02  0.963E-02  0.721E+05  0.853E+00  0.108E+03  0.303E+02
075145.838      883145     3816745  0.124E-02  0.959E-02  0.685E+05  0.866E+00  0.108E+03  0.326E+02
080145.844      885939     3844081  0.122E-02  0.956E-02  0.483E+05  0.868E+00  0.110E+03  0.390E+02
081145.838      889185     3871213  0.123E-02  0.950E-02  0.744E+05  0.889E+00  0.958E+02  0.291E+02
082145.837      892220     3898499  0.122E-02  0.945E-02  0.773E+05  0.892E+00  0.103E+03  0.315E+02
083145.841      895185     3925902  0.121E-02  0.940E-02  0.890E+05  0.904E+00  0.106E+03  0.292E+02
084145.832      897985     3953231  0.119E-02  0.936E-02  0.798E+05  0.907E+00  0.106E+03  0.320E+02
085145.837      900854     3980591  0.118E-02  0.932E-02  0.493E+05  0.912E+00  0.107E+03  0.327E+02
090145.841      903734     4008049  0.117E-02  0.928E-02  0.691E+05  0.916E+00  0.107E+03  0.300E+02
091145.839      907137     4035197  0.119E-02  0.920E-02  0.126E+06  0.936E+00  0.956E+02  0.222E+02
092145.996      910184     4062637  0.140E-02  0.103E-01  0.103E+06  0.941E+00  0.102E+03  0.268E+02
093145.821      913154     4090087  0.115E-02  0.911E-02  0.587E+05  0.970E+00  0.105E+03  0.302E+02
094145.828      916029     4117585  0.114E-02  0.906E-02  0.551E+05  0.932E+00  0.107E+03  0.271E+02
095145.841      918906     4145051  0.113E-02  0.902E-02  0.419E+05  0.950E+00  0.109E+03  0.352E+02
100145.860      921697     4172548  0.111E-02  0.898E-02  0.542E+05  0.966E+00  0.108E+03  0.366E+02
101145.828      924961     4199787  0.112E-02  0.893E-02  0.757E+05  0.944E+00  0.982E+02  0.297E+02
102146.296      927877     4227307  0.112E-02  0.883E-02  0.503E+05  0.962E+00  0.105E+03  0.310E+02
103145.854      930870     4254792  0.109E-02  0.884E-02  0.601E+05  0.976E+00  0.105E+03  0.344E+02
104145.832      934137     4281948  0.110E-02  0.879E-02  0.902E+05  0.975E+00  0.949E+02  0.265E+02
