Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
013145.893     1197958     6713314  0.659E-03  0.523E-02  0.752E+05  0.136E+01  0.108E+03  0.269E+02
014145.835     1200666     6740627  0.646E-03  0.520E-02  0.539E+05  0.137E+01  0.110E+03  0.290E+02
015145.827     1203419     6767987  0.642E-03  0.517E-02  0.649E+05  0.141E+01  0.112E+03  0.279E+02
020145.834     1205991     6795266  0.636E-03  0.515E-02  0.538E+05  0.142E+01  0.112E+03  0.275E+02
021145.847     1209072     6822328  0.668E-03  0.511E-02  0.996E+05  0.142E+01  0.995E+02  0.166E+02
022145.877     1212009     6849554  0.655E-03  0.507E-02  0.788E+05  0.145E+01  0.104E+03  0.228E+02
023145.837     1214873     6876821  0.640E-03  0.504E-02  0.596E+05  0.144E+01  0.107E+03  0.278E+02
024145.854     1217518     6904125  0.631E-03  0.502E-02  0.530E+05  0.144E+01  0.107E+03  0.271E+02
025145.823     1220231     6931394  0.626E-03  0.499E-02  0.610E+05  0.142E+01  0.105E+03  0.285E+02
030145.848     1223398     6958519  0.649E-03  0.495E-02  0.138E+06  0.145E+01  0.976E+02  0.207E+02
031145.824     1226260     6985791  0.630E-03  0.492E-02  0.609E+05  0.148E+01  0.107E+03  0.267E+02
032145.844     1229042     7013125  0.626E-03  0.489E-02  0.938E+05  0.151E+01  0.106E+03  0.272E+02
033145.827     1231856     7040401  0.624E-03  0.486E-02  0.727E+05  0.154E+01  0.108E+03  0.243E+02
034145.866     1234516     7067664  0.612E-03  0.484E-02  0.489E+05  0.154E+01  0.109E+03  0.274E+02
035145.851     1237524     7094712  0.630E-03  0.481E-02  0.252E+06  0.156E+01  0.974E+02  0.205E+02
040145.827     1240350     7122020  0.621E-03  0.477E-02  0.576E+05  0.155E+01  0.105E+03  0.236E+02
041145.870     1243200     7149352  0.616E-03  0.474E-02  0.730E+05  0.159E+01  0.108E+03  0.224E+02
042145.883     1246281     7176426  0.634E-03  0.471E-02  0.130E+06  0.163E+01  0.974E+02  0.195E+02
043145.853     1249087     7203781  0.617E-03  0.468E-02  0.670E+05  0.156E+01  0.101E+03  0.270E+02
044145.857     1251783     7231116  0.604E-03  0.465E-02  0.713E+05  0.159E+01  0.111E+03  0.268E+02
045145.837     1254463     7258514  0.603E-03  0.463E-02  0.796E+05  0.162E+01  0.108E+03  0.245E+02
050145.855     1257091     7285828  0.597E-03  0.460E-02  0.394E+05  0.160E+01  0.110E+03  0.235E+02
051145.834     1259779     7313122  0.588E-03  0.457E-02  0.691E+05  0.163E+01  0.107E+03  0.275E+02
052145.825     1262354     7340469  0.579E-03  0.455E-02  0.533E+05  0.154E+01  0.110E+03  0.288E+02
053145.836     1264966     7367787  0.574E-03  0.453E-02  0.629E+05  0.153E+01  0.110E+03  0.292E+02
054145.841     1267533     7395090  0.566E-03  0.451E-02  0.513E+05  0.157E+01  0.109E+03  0.320E+02
055145.865     1270735     7422128  0.591E-03  0.447E-02  0.941E+05  0.155E+01  0.102E+03  0.227E+02
060145.845     1273567     7449462  0.590E-03  0.443E-02  0.849E+05  0.157E+01  0.105E+03  0.255E+02
061145.852     1276290     7476797  0.580E-03  0.441E-02  0.649E+05  0.158E+01  0.108E+03  0.268E+02
062145.842     1278960     7504088  0.573E-03  0.438E-02  0.517E+05  0.158E+01  0.109E+03  0.288E+02
063145.835     1281568     7531401  0.569E-03  0.436E-02  0.562E+05  0.163E+01  0.111E+03  0.242E+02
064145.830     1284475     7558465  0.589E-03  0.433E-02  0.915E+06  0.164E+01  0.100E+03  0.175E+02
065145.871     1287384     7585784  0.585E-03  0.429E-02  0.676E+05  0.161E+01  0.104E+03  0.206E+02
070145.882     1290116     7613096  0.582E-03  0.426E-02  0.827E+05  0.160E+01  0.102E+03  0.231E+02
071145.881     1292851     7640570  0.565E-03  0.424E-02  0.564E+05  0.162E+01  0.109E+03  0.296E+02
072145.856     1296010     7667742  0.580E-03  0.421E-02  0.565E+05  0.162E+01  0.998E+02  0.230E+02
073145.849     1298757     7695141  0.572E-03  0.418E-02  0.560E+05  0.167E+01  0.106E+03  0.246E+02
074145.845     1301496     7722541  0.559E-03  0.416E-02  0.707E+05  0.164E+01  0.109E+03  0.298E+02
075145.830     1304124     7749822  0.548E-03  0.414E-02  0.425E+05  0.165E+01  0.112E+03  0.277E+02
080145.835     1307330     7776926  0.572E-03  0.410E-02  0.468E+05  0.167E+01  0.102E+03  0.229E+02
081145.833     1310055     7804547  0.558E-03  0.408E-02  0.551E+05  0.171E+01  0.107E+03  0.275E+02
082145.848     1313186     7831794  0.577E-03  0.405E-02  0.642E+05  0.167E+01  0.994E+02  0.191E+02
083145.827     1316090     7858931  0.583E-03  0.402E-02  0.289E+07  0.169E+01  0.967E+02  0.152E+02
084145.908     1319219     7886247  0.567E-03  0.398E-02  0.842E+05  0.174E+01  0.103E+03  0.277E+02
085145.836     1321964     7913793  0.557E-03  0.396E-02  0.608E+05  0.172E+01  0.105E+03  0.272E+02
090145.833     1324649     7941078  0.552E-03  0.394E-02  0.703E+05  0.178E+01  0.106E+03  0.251E+02
091145.832     1327390     7968633  0.537E-03  0.392E-02  0.528E+05  0.182E+01  0.107E+03  0.324E+02
092145.877     1330379     7995698  0.555E-03  0.389E-02  0.712E+05  0.183E+01  0.984E+02  0.246E+02
093145.861     1333136     8023280  0.539E-03  0.387E-02  0.432E+05  0.184E+01  0.105E+03  0.280E+02
094145.824     1336217     8050436  0.562E-03  0.383E-02  0.792E+05  0.182E+01  0.977E+02  0.230E+02
095145.844     1338927     8077795  0.548E-03  0.381E-02  0.568E+05  0.184E+01  0.103E+03  0.251E+02
100145.830     1341685     8105521  0.530E-03  0.379E-02  0.527E+05  0.184E+01  0.107E+03  0.303E+02
101145.845     1344350     8132913  0.517E-03  0.377E-02  0.480E+05  0.184E+01  0.111E+03  0.340E+02
102145.836     1347405     8160012  0.543E-03  0.374E-02  0.835E+05  0.184E+01  0.100E+03  0.212E+02
103145.841     1350142     8187534  0.532E-03  0.372E-02  0.453E+05  0.182E+01  0.106E+03  0.257E+02
