 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   0.60000 ,    -0.352702338835822E+01 ,     0.194036753359346E+00 ,    -0.124671547319163E+01 , 
   0.62000 ,    -0.341112270920861E+01 ,     0.183242966760110E+00 ,    -0.124639309582001E+01 , 
   0.64000 ,    -0.327289120407388E+01 ,     0.154644088719660E+00 ,    -0.124416459667064E+01 , 
   0.66000 ,    -0.320784807575949E+01 ,     0.133013079397728E+00 ,    -0.123944695242871E+01 , 
   0.68000 ,    -0.331317002121245E+01 ,     0.124148142650814E+00 ,    -0.123933703106787E+01 , 
   0.70000 ,    -0.359500159128956E+01 ,     0.115642021832991E+00 ,    -0.125131461905831E+01 , 
   0.72000 ,    -0.392731756746090E+01 ,     0.941641158019820E-01 ,    -0.127449054900930E+01 , 
   0.74000 ,    -0.410687764838680E+01 ,     0.630562902011835E-01 ,    -0.129684962483769E+01 , 
   0.76000 ,    -0.397967197090120E+01 ,     0.441952517315742E-01 ,    -0.130152944476399E+01 , 
   0.78000 ,    -0.355558549629622E+01 ,     0.613843548027493E-01 ,    -0.127828072272708E+01 , 
   0.80000 ,    -0.302545437977701E+01 ,     0.118277510772133E+00 ,    -0.123200790961142E+01 , 
   0.82000 ,    -0.265555602701648E+01 ,     0.189407560033978E+00 ,    -0.118188482834549E+01 , 
   0.84000 ,    -0.261977157449995E+01 ,     0.233597446057811E+00 ,    -0.115091272268279E+01 , 
   0.86000 ,    -0.287940076247980E+01 ,     0.221755335519811E+00 ,    -0.115242178116797E+01 , 
   0.88000 ,    -0.319664383381748E+01 ,     0.159048736318736E+00 ,    -0.118223189066976E+01 , 
   0.90000 ,    -0.328209595008908E+01 ,     0.842449731971284E-01 ,    -0.122147343433891E+01 , 
   0.92000 ,    -0.298542396101776E+01 ,     0.450507806748578E-01 ,    -0.124807234747128E+01 , 
   0.94000 ,    -0.240438214742059E+01 ,     0.659396658596036E-01 ,    -0.124944896133910E+01 , 
   0.96000 ,    -0.183608018204888E+01 ,     0.131083669625542E+00 ,    -0.122863469244924E+01 , 
   0.98000 ,    -0.159569661972718E+01 ,     0.194782404955517E+00 ,    -0.120069587139542E+01 , 
   1.00000 ,    -0.181508785580936E+01 ,     0.212389042378060E+00 ,    -0.118262524253333E+01 , 
   1.02000 ,    -0.234890397100180E+01 ,     0.170161970073087E+00 ,    -0.118349806776194E+01 , 
   1.04000 ,    -0.284853260774919E+01 ,     0.932775555997737E-01 ,    -0.120062159635177E+01 , 
   1.06000 ,    -0.295861924135815E+01 ,     0.268211869660028E-01 ,    -0.122290584542799E+01 , 
   1.08000 ,    -0.251576243852006E+01 ,     0.365116948798056E-02 ,    -0.123813514521684E+01 , 
   1.10000 ,    -0.163159455832513E+01 ,     0.219263164329115E-01 ,    -0.123916656879284E+01 , 
   1.12000 ,    -0.618287222043379E+00 ,     0.476656022364430E-01 ,    -0.122587841451158E+01 , 
   1.14000 ,     0.187974995157232E+00 ,     0.396697847623038E-01 ,    -0.120307868687071E+01 , 
   1.16000 ,     0.593649044420244E+00 ,    -0.213663181347265E-01 ,    -0.117696069837271E+01 , 
   1.18000 ,     0.610165347583642E+00 ,    -0.119787472991427E+00 ,    -0.115267945101147E+01 , 
   1.20000 ,     0.391905486560683E+00 ,    -0.215980232910423E+00 ,    -0.113382942063296E+01 , 
   1.22000 ,     0.109057358122954E+00 ,    -0.272413582566728E+00 ,    -0.112281886898956E+01 , 
   1.24000 ,    -0.152383954709866E+00 ,    -0.276220141989205E+00 ,    -0.112075454039533E+01 , 
   1.26000 ,    -0.401420737241572E+00 ,    -0.244129374655078E+00 ,    -0.112646863164454E+01 , 
   1.28000 ,    -0.669787690432799E+00 ,    -0.209377228469088E+00 ,    -0.113558287495657E+01 , 
   1.30000 ,    -0.921074208068842E+00 ,    -0.202544020741760E+00 ,    -0.114084384157159E+01 , 
   1.32000 ,    -0.101654423743063E+01 ,    -0.240069796787207E+00 ,    -0.113416903290543E+01 , 
   1.34000 ,    -0.772100366326105E+00 ,    -0.325208111972274E+00 ,    -0.110968695340471E+01 , 
   1.36000 ,    -0.772950841095682E-01 ,    -0.454741169632196E+00 ,    -0.106646945977272E+01 , 
   1.38000 ,     0.997567319256219E+00 ,    -0.620843920826889E+00 ,    -0.100989885489980E+01 , 
   1.40000 ,     0.217905722137907E+01 ,    -0.804400071208018E+00 ,    -0.951183014360989E+00 , 
   1.42000 ,     0.308042169069771E+01 ,    -0.967659283607962E+00 ,    -0.904849234366156E+00 , 
   1.44000 ,     0.336848415581387E+01 ,    -0.105952456604376E+01 ,    -0.884166209007751E+00 , 
   1.46000 ,     0.292772284713899E+01 ,    -0.103944339084175E+01 ,    -0.895010966164095E+00 , 
   1.48000 ,     0.193774788848488E+01 ,    -0.909743857452265E+00 ,    -0.930102413421375E+00 , 
   1.50000 ,     0.818784349889979E+00 ,    -0.733690411247406E+00 ,    -0.967046886995886E+00 , 
   1.52000 ,     0.613852891413395E-01 ,    -0.619311334112180E+00 ,    -0.973603656577575E+00 , 
   1.54000 ,     0.125896951268432E-01 ,    -0.668674971436694E+00 ,    -0.920685407257645E+00 , 
   1.56000 ,     0.715327389509505E+00 ,    -0.917237190539437E+00 ,    -0.798543499961875E+00 , 
   1.58000 ,     0.187870842466538E+01 ,    -0.130055339070842E+01 ,    -0.627361998222040E+00 , 
   1.60000 ,     0.300015704577674E+01 ,    -0.167471894625487E+01 ,    -0.453786215160274E+00 , 
   1.62000 ,     0.358967720596108E+01 ,    -0.188636357022447E+01 ,    -0.331271940254023E+00 , 
   1.64000 ,     0.339434953259533E+01 ,    -0.185605821381426E+01 ,    -0.291981143542622E+00 , 
   1.66000 ,     0.251494357317937E+01 ,    -0.162668490933172E+01 ,    -0.325344521808912E+00 , 
   1.68000 ,     0.135410014771111E+01 ,    -0.134549286446525E+01 ,    -0.377636168870794E+00 , 
   1.70000 ,     0.417528073977501E+00 ,    -0.118639603338938E+01 ,    -0.376645909429600E+00 , 
   1.72000 ,     0.657391105530345E-01 ,    -0.125489144076035E+01 ,    -0.270730548443194E+00 , 
   1.74000 ,     0.342451460616726E+00 ,    -0.152947764424181E+01 ,    -0.610718713185669E-01 , 
   1.76000 ,     0.967993347179938E+00 ,    -0.187302266688826E+01 ,     0.192736441441835E+00 , 
   1.78000 ,     0.149917843070546E+01 ,    -0.210730811505242E+01 ,     0.399905727414846E+00 , 
   1.80000 ,     0.156792001314028E+01 ,    -0.210821247901012E+01 ,     0.485681769430714E+00 , 
   1.82000 ,     0.106966200014176E+01 ,    -0.186879406603768E+01 ,     0.432994641507515E+00 , 
   1.84000 ,     0.203484474680213E+00 ,    -0.149790560440570E+01 ,     0.294608018656823E+00 , 
   1.86000 ,    -0.649428636295323E+00 ,    -0.115942322222712E+01 ,     0.167811448687026E+00 , 
   1.88000 ,    -0.113320945763964E+01 ,    -0.988909145785966E+00 ,     0.144889720269262E+00 , 
   1.90000 ,    -0.109313234217412E+01 ,    -0.103287249435641E+01 ,     0.266428320712835E+00 , 
   1.92000 ,    -0.629777733153049E+00 ,    -0.123840158767073E+01 ,     0.502660511420454E+00 , 
   1.94000 ,    -0.174882189642849E-01 ,    -0.149073265462036E+01 ,     0.771732046144911E+00 , 
