Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
164640.061       49578      135216  0.538E-02  0.115E+00  0.118E+07  0.348E+01  0.170E+00
165140.083       81164      271122  0.208E-02  0.836E-01  0.914E+06  0.314E+01  0.149E+00
165640.237      109436      408000  0.109E-02  0.478E-01  0.108E+07  0.279E+01  0.108E+00
170140.059      134797      542117  0.849E-03  0.418E-01  0.938E+06  0.282E+01  0.135E+00
170640.133      160776      679927  0.605E-03  0.284E-01  0.125E+07  0.358E+01  0.180E+00
171140.059      185107      818996  0.438E-03  0.190E-01  0.119E+07  0.303E+01  0.591E-01
171640.052      213552      992714  0.311E-03  0.116E-01  0.118E+07  0.306E+01  0.609E-01
172140.054      240229     1167183  0.241E-03  0.739E-02  0.318E+06  0.269E+01  0.283E+00
