 Q (1/Ang),Yb-Yb,Yb-Sn,Yb-O ,Sn-Sn,Sn-O ,O-O  
   1.17000 ,    -0.994464206673031E+01 ,     0.288426321064333E+01 ,     0.301129474601191E+00 ,    -0.101003635054003E+02 ,    -0.165190602966079E+01 ,    -0.956841053988792E+00 , 
   1.18000 ,    -0.684299657325888E+01 ,     0.133058529039357E+01 ,     0.273529438229148E+00 ,    -0.705114884449422E+01 ,    -0.183779412757886E+01 ,    -0.677362482381553E+00 , 
   1.19000 ,    -0.395090815723877E+01 ,     0.760458861502977E-02 ,     0.214632875702598E+00 ,    -0.416429177427094E+01 ,    -0.158575265960167E+01 ,    -0.631434070766344E+00 , 
   1.20000 ,    -0.182381246332766E+01 ,    -0.927219744926531E+00 ,     0.127957949215780E+00 ,    -0.199324038968409E+01 ,    -0.950228923297315E+00 ,    -0.828130412175446E+00 , 
   1.21000 ,    -0.785402529564811E+00 ,    -0.145551177806394E+01 ,     0.213518413572131E-01 ,    -0.872354041005545E+00 ,    -0.823603794659663E-01 ,    -0.121347446495677E+01 , 
   1.22000 ,    -0.900015990704536E+00 ,    -0.164761412878587E+01 ,    -0.913981018024186E-01 ,    -0.886643055461160E+00 ,     0.805800136532427E+00 ,    -0.168516847118259E+01 , 
   1.23000 ,    -0.199431882095657E+01 ,    -0.160551576514859E+01 ,    -0.191557183402000E+00 ,    -0.188816445733823E+01 ,     0.149384619340157E+01 ,    -0.211960572571902E+01 , 
   1.24000 ,    -0.371968513785976E+01 ,    -0.141691792729033E+01 ,    -0.258952905388889E+00 ,    -0.355185998649025E+01 ,     0.180888682456981E+01 ,    -0.240408300266807E+01 , 
   1.25000 ,    -0.564014475223174E+01 ,    -0.113180703214296E+01 ,    -0.277043618011369E+00 ,    -0.545741839510166E+01 ,     0.167019790257257E+01 ,    -0.246586545522369E+01 , 
   1.26000 ,    -0.732747257415968E+01 ,    -0.764046000989808E+00 ,    -0.238008627980668E+00 ,    -0.718032175355831E+01 ,     0.111088454933002E+01 ,    -0.229064481111272E+01 , 
   1.27000 ,    -0.844525581242063E+01 ,    -0.311993075044763E+00 ,    -0.146203878254819E+00 ,    -0.837496025344015E+01 ,     0.270637853088920E+00 ,    -0.192573035939415E+01 , 
   1.28000 ,    -0.880727600674266E+01 ,     0.213565401588279E+00 ,    -0.187093115182561E-01 ,    -0.883539418747466E+01 ,    -0.638885278885070E+00 ,    -0.146728515017765E+01 , 
   1.29000 ,    -0.840142171838021E+01 ,     0.767354462652020E+00 ,     0.117527151703108E+00 ,    -0.852435518051883E+01 ,    -0.138742353681715E+01 ,    -0.103503616407482E+01 , 
   1.30000 ,    -0.737739064708210E+01 ,     0.126367031607915E+01 ,     0.231484268695526E+00 ,    -0.756742261793991E+01 ,    -0.178465913070106E+01 ,    -0.741087558489361E+00 , 
   1.31000 ,    -0.600331408669191E+01 ,     0.159058958695635E+01 ,     0.295463780908991E+00 ,    -0.621583258236533E+01 ,    -0.172895355229359E+01 ,    -0.660934648406294E+00 , 
   1.32000 ,    -0.460192398355728E+01 ,     0.164090679673272E+01 ,     0.292214639199052E+00 ,    -0.478694647397370E+01 ,    -0.123369539484587E+01 ,    -0.814148394051085E+00 , 
   1.33000 ,    -0.348007959418812E+01 ,     0.135005143048920E+01 ,     0.219869686412707E+00 ,    -0.359509684274042E+01 ,    -0.424366207670007E+00 ,    -0.115965271077604E+01 , 
   1.34000 ,    -0.286592287559692E+01 ,     0.728008093673764E+00 ,     0.932598588868380E-01 ,    -0.288675465067552E+01 ,     0.493081288410297E+00 ,    -0.160671897509495E+01 , 
   1.35000 ,    -0.286569046912531E+01 ,    -0.126828894526360E+00 ,    -0.589400368298721E-01 ,    -0.279257468010851E+01 ,     0.128456670023357E+01 ,    -0.203873971543782E+01 , 
   1.36000 ,    -0.344780236491611E+01 ,    -0.103908687986427E+01 ,    -0.200708509935564E+00 ,    -0.330518035837802E+01 ,     0.174762554639840E+01 ,    -0.234356418218848E+01 , 
   1.37000 ,    -0.445616922639532E+01 ,    -0.179293284648279E+01 ,    -0.297317978588308E+00 ,    -0.428625945200119E+01 ,     0.176327689598267E+01 ,    -0.244252173055974E+01 , 
   1.38000 ,    -0.564881219106994E+01 ,    -0.218564189728449E+01 ,    -0.324002636255714E+00 ,    -0.550066036891311E+01 ,     0.132669987997479E+01 ,    -0.231064161221945E+01 , 
   1.39000 ,    -0.675297790658188E+01 ,    -0.208425726195608E+01 ,    -0.272450376061417E+00 ,    -0.666982385213265E+01 ,     0.548788613282437E+00 ,    -0.198288956627829E+01 , 
   1.40000 ,    -0.752487396728294E+01 ,    -0.146921713684528E+01 ,    -0.153395397438754E+00 ,    -0.753308999677426E+01 ,    -0.371908548976275E+00 ,    -0.154487645665566E+01 , 
   1.41000 ,    -0.780150581989912E+01 ,    -0.451236252138184E+00 ,     0.547413805317967E-02 ,    -0.790393738573854E+01 ,    -0.119977355602277E+01 ,    -0.111050886585123E+01 , 
   1.42000 ,    -0.753396488905800E+01 ,     0.745738088503434E+00 ,     0.165913006776606E+00 ,    -0.770935535166126E+01 ,    -0.172234434825513E+01 ,    -0.792409954510707E+00 , 
   1.43000 ,    -0.679551472721554E+01 ,     0.183367093440493E+01 ,     0.288338725145513E+00 ,    -0.700412287492951E+01 ,    -0.180479196232296E+01 ,    -0.672779085731656E+00 , 
   1.44000 ,    -0.576314546437926E+01 ,     0.253079326411575E+01 ,     0.341638526991463E+00 ,    -0.595707344180201E+01 ,    -0.142468620117205E+01 ,    -0.782213710784659E+00 , 
