Cluster	# of Li atoms
    1        11
    2       578
    4        12
    7         7
    9        18
   12         3
   16        15
   18         6
   20       124
   22        57
   23        13
   26         9
   42        15
   46         6
   47        11
   49        85
   52        28
   53         9
   54         4
   56        40
   59         5
   60         6
   63         2
   64         2
   65         1
   66         4
   69        61
   70         2
   73         5
   74         3
   75        12
   76         2
   78         7
   79         7
   80        17
   81         2
   82         1
   83         9
   85        18
   87        54
   88         7
   92         3
   93         3
  103        20
  107         1
  108         1
  110         4
  111         2
  113         4
  114         5
  115        10
  122         8
  126        67
  130         5
  131         7
  134        13
  137         1
  138         1
  139         4
  140         5
  141        29
  144         9
  145         8
  146         3
  147        12
  148         4
  149         1
  152         3
  154         3
  155        10
  157         1
  161        18
  165         3
  166         6
  172         7
  189         2
  191         2
  192         2
  193        11
  194        86
  195         4
  198        41
  199         3
  200         1
  202         4
  207         6
  208         3
  209        10
  210         8
  211        10
  213         7
  215         7
  216        30
  217         9
  219         3
  221         3
  222         7
  223        10
  224         5
  227         2
  228         4
  229        12
  238         1
  241        11
  248         7
  249         2
  255        13
  256         1
  266         1
  269        14
  271         9
  272         6
  273         7
  274         1
  278         3
  280        33
  289         3
  292         7
  293         2
  294         4
  295         6
  296         2
  297        10
  298         6
  299         5
  302         7
  304         2
  309         7
  313         3
  316         4
  318         1
  321         1
  322         1
  323         2
  325         3
  326         1
  329         2
  331         1
  332         3
  334         5
  337         7
  341         2
  344         6
  350         2
  357        10
  359         1
  363         2
  364         2
  365         3
  367         2
  371         1
  372        21
  376         1
  377         1
  378         2
  379         2
  380        14
  382         1
  384         2
  385        10
  388         1
  392         2
  394         2
  395         5
  397         3
  399         3
  400         1
  403         4
  405        17
  406         1
  407         1
  408         5
  414         4
  415         1
  416         5
  418         1
  419         1
  421         2
  428         4
  430         5
  432         1
  434         2
  439         2
  441         1
  442         1
  445         1
  450         1
  460         5
  463         1
  465         2
  466         6
  467         4
  471         6
  474         1
  478         1
  481         2
  485         1
  486         2
  487        10
  490         7
  492         1
  493         2
  494         3
  497         1
  500         1
  501         2
  503         2
  504         1
  505         3
  507         2
  509         1
  512         4
  519         1
  521         1
  523         1
  527         1
  528         2
  529         3
  543         1
  545         1
  551         5
  558         1
  560         5
  563         2
  568         1
  569         1
  570         1
  571         1
  572         1
  575         6
  576         1
  577         1
  579         4
  583         5
  584         1
  590         1
  591         1
  593         3
  595         1
  598         1
  599         1
  604         1
  606         4
  607         2
  608         4
  609         1
  614         2
  615         2
  621         6
  622         1
  629         2
  632         2
  635         5
  637         2
  640         1
  642         1
  646         7
  649         1
  657         1
  661         4
  664         1
  667         2
  669         3
  670         3
  672         2
  675         1
  683         3
  684         1
  689         5
  693         1
  701         1
  704         2
  705         1
  707         1
  708         1
  714         1
  719         1
  724         2
  725         2
  726         1
  727         2
  729         2
  730         2
  731         1
  733         2
  736         2
  739         2
  741         2
  742         1
  744         2
  746         1
  747         1
  748         2
  749         2
  750         1
  751         2
  753         1
  756         1
  761         1
  764         1
  768         1
  771         1
  775         2
  777         1
  778         1
  779         1
  783         4
  788         1
  795         2
  796         1
  798         1
  799         1
  804         1
  805         2
  806         1
  808         1
  816         1
  817         2
  818         1
  819         1
  820         1
  821         2
  822         2
  823         1
  824         1
  825         1
  826         1
  829         1
  830         1
  831         1
  832         1
  833         1
  834         1
  835         1
  836         1
  837         1
  838         2
  839         1
  840         1
  841         1
  842         1
  843         1
  844         1
  845         1
  848         1
  849         1
  850         1
  852         1
  853         1
  855         1
  856         2
  857         1
  858         1
  859         1
  860         1
  861         1
  863         1
  864         1
  865         1
  866         1
  867         1
  868         1
  869         1
  870         1
  871         1
  872         1
  873         2
  874         1
  875         1
  877         1
  878         1
  879         1
  881         1
  882         1
  883         1
  884         1
  885         1
  886         1
  887         1
  888         1
  889         1
  890         1
  891         1
  892         1
  893         1
  894         1
  895         1
  896         1
  897         1
  898         1
  899         1
