 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   0.60000 ,    -0.322464854519145E+01 ,     0.335179443599338E+00 ,    -0.116984114081594E+01 , 
   0.62000 ,    -0.329940208811052E+01 ,     0.179568343421896E+00 ,    -0.124504572769331E+01 , 
   0.64000 ,    -0.336536729729730E+01 ,     0.843776900062275E-02 ,    -0.131685472591402E+01 , 
   0.66000 ,    -0.341919136265695E+01 ,    -0.840829351124249E-01 ,    -0.135172213409259E+01 , 
   0.68000 ,    -0.350547672596211E+01 ,    -0.592243088222880E-01 ,    -0.133709571724616E+01 , 
   0.70000 ,    -0.365460653602907E+01 ,     0.480781456972538E-01 ,    -0.128615986192622E+01 , 
   0.72000 ,    -0.382639800846295E+01 ,     0.159051227970871E+00 ,    -0.122835535939843E+01 , 
   0.74000 ,    -0.391299319375682E+01 ,     0.205590415386331E+00 ,    -0.119182968766495E+01 , 
   0.76000 ,    -0.380843966973255E+01 ,     0.171584400313713E+00 ,    -0.118821347484555E+01 , 
   0.78000 ,    -0.349670589168183E+01 ,     0.955312847362252E-01 ,    -0.120818936923913E+01 , 
   0.80000 ,    -0.308807794941937E+01 ,     0.372458568852466E-01 ,    -0.122958683371893E+01 , 
   0.82000 ,    -0.276572486755083E+01 ,     0.351247878706096E-01 ,    -0.123232845622927E+01 , 
   0.84000 ,    -0.266928753950685E+01 ,     0.837114862829805E-01 ,    -0.121084643510518E+01 , 
   0.86000 ,    -0.279356758615461E+01 ,     0.143953658012555E+00 ,    -0.117661992782617E+01 , 
   0.88000 ,    -0.297804841799435E+01 ,     0.174688701061394E+00 ,    -0.114982112160393E+01 , 
   0.90000 ,    -0.300464901399878E+01 ,     0.160804597720540E+00 ,    -0.114574824561485E+01 , 
   0.92000 ,    -0.274530420838835E+01 ,     0.119161123623803E+00 ,    -0.116472435730146E+01 , 
   0.94000 ,    -0.226101317519571E+01 ,     0.815731365344322E-01 ,    -0.119174299775443E+01 , 
   0.96000 ,    -0.178030963733837E+01 ,     0.704710551684323E-01 ,    -0.120594643787630E+01 , 
   0.98000 ,    -0.156269784987974E+01 ,     0.857218039022365E-01 ,    -0.119390301836969E+01 , 
   1.00000 ,    -0.173022056183009E+01 ,     0.110053561619736E+00 ,    -0.115835918566798E+01 , 
   1.02000 ,    -0.217523350585506E+01 ,     0.125465456593087E+00 ,    -0.111702270952740E+01 , 
   1.04000 ,    -0.260667845885269E+01 ,     0.125793432700800E+00 ,    -0.109213279657591E+01 , 
   1.06000 ,    -0.271001887330705E+01 ,     0.115944886413786E+00 ,    -0.109722178690211E+01 , 
   1.08000 ,    -0.232443475664080E+01 ,     0.100730822320720E+00 ,    -0.112910069294113E+01 , 
   1.10000 ,    -0.153107900902652E+01 ,     0.750924986244051E-01 ,    -0.116977755970870E+01 , 
   1.12000 ,    -0.603235557368187E+00 ,     0.257686567988528E-01 ,    -0.119689789212464E+01 , 
   1.14000 ,     0.145291914124030E+00 ,    -0.560133683724216E-01 ,    -0.119622583223086E+01 , 
   1.16000 ,     0.518556382564106E+00 ,    -0.161447738452514E+00 ,    -0.116875969175818E+01 , 
   1.18000 ,     0.512251526465926E+00 ,    -0.262670580627218E+00 ,    -0.112870886353988E+01 , 
   1.20000 ,     0.271276404313891E+00 ,    -0.326205548681548E+00 ,    -0.109428585079454E+01 , 
   1.22000 ,    -0.263298643861006E-01 ,    -0.332848938104100E+00 ,    -0.107739912493791E+01 , 
   1.24000 ,    -0.275804696907230E+00 ,    -0.290102635316973E+00 ,    -0.107837118403031E+01 , 
   1.26000 ,    -0.475216799940853E+00 ,    -0.228605895715821E+00 ,    -0.108802177084069E+01 , 
   1.28000 ,    -0.669118575352305E+00 ,    -0.185825192110355E+00 ,    -0.109459833868364E+01 , 
   1.30000 ,    -0.857081718495117E+00 ,    -0.189086053891598E+00 ,    -0.109039310948568E+01 , 
   1.32000 ,    -0.940616807363929E+00 ,    -0.248917709552696E+00 ,    -0.107403090825442E+01 , 
   1.34000 ,    -0.754730560561513E+00 ,    -0.363868333423165E+00 ,    -0.104818438905743E+01 , 
   1.36000 ,    -0.172365304713285E+00 ,    -0.527944870158504E+00 ,    -0.101590317551603E+01 , 
   1.38000 ,     0.781511915288884E+00 ,    -0.730464416403008E+00 ,    -0.979255191383681E+00 , 
   1.40000 ,     0.188253336757682E+01 ,    -0.947020221647730E+00 ,    -0.941300933283895E+00 , 
   1.42000 ,     0.276934389981029E+01 ,    -0.113202615093525E+01 ,    -0.908806651294240E+00 , 
   1.44000 ,     0.309798544126864E+01 ,    -0.122698642047103E+01 ,    -0.891645960181174E+00 , 
   1.46000 ,     0.271574012963815E+01 ,    -0.118888131911542E+01 ,    -0.897081054274117E+00 , 
   1.48000 ,     0.176350755370174E+01 ,    -0.102543697460975E+01 ,    -0.921685396628456E+00 , 
   1.50000 ,     0.644746986754693E+00 ,    -0.812046222769291E+00 ,    -0.947076765553616E+00 , 
   1.52000 ,    -0.137567664077453E+00 ,    -0.670286582176467E+00 ,    -0.944754864171528E+00 , 
   1.54000 ,    -0.207118631354708E+00 ,    -0.710366458438746E+00 ,    -0.889921208271057E+00 , 
   1.56000 ,     0.502958864113307E+00 ,    -0.966071784741443E+00 ,    -0.777408423166253E+00 , 
   1.58000 ,     0.170389637459927E+01 ,    -0.136231025908206E+01 ,    -0.629533013026878E+00 , 
   1.60000 ,     0.287344180298200E+01 ,    -0.174140589041735E+01 ,    -0.488863134951940E+00 , 
   1.62000 ,     0.349553828793649E+01 ,    -0.194070435152367E+01 ,    -0.397465788644833E+00 , 
   1.64000 ,     0.330403703696317E+01 ,    -0.188093644233230E+01 ,    -0.373163038099734E+00 , 
   1.66000 ,     0.240863256300408E+01 ,    -0.161403191875185E+01 ,    -0.396766821992859E+00 , 
   1.68000 ,     0.123618144939781E+01 ,    -0.129958288053285E+01 ,    -0.419258355470689E+00 , 
   1.70000 ,     0.314053926208259E+00 ,    -0.112002578285511E+01 ,    -0.386742773291354E+00 , 
   1.72000 ,     0.582989275665294E-02 ,    -0.118126570236541E+01 ,    -0.270202150347600E+00 , 
   1.74000 ,     0.336822486837951E+00 ,    -0.145507938428425E+01 ,    -0.833142374881691E-01 , 
   1.76000 ,     0.999844383879472E+00 ,    -0.179582156222468E+01 ,     0.122387331001063E+00 , 
   1.78000 ,     0.153416658918999E+01 ,    -0.202102287526931E+01 ,     0.283156577773579E+00 , 
   1.80000 ,     0.157675209104458E+01 ,    -0.200936566500071E+01 ,     0.355785489931950E+00 , 
   1.82000 ,     0.104805541126161E+01 ,    -0.176152389520093E+01 ,     0.339658574438925E+00 , 
   1.84000 ,     0.175842456763926E+00 ,    -0.139301821145125E+01 ,     0.276351273276450E+00 , 
   1.86000 ,    -0.645404866634624E+00 ,    -0.106796630711198E+01 ,     0.227578461810191E+00 , 
   1.88000 ,    -0.107096423664828E+01 ,    -0.914196843854145E+00 ,     0.244006363128594E+00 , 
   1.90000 ,    -0.974671570843869E+00 ,    -0.966107069670398E+00 ,     0.341658301647203E+00 , 
   1.92000 ,    -0.484661968199306E+00 ,    -0.116108369125855E+01 ,     0.497399276243907E+00 , 
   1.94000 ,     0.115737087450807E+00 ,    -0.138313129673715E+01 ,     0.663882121240038E+00 , 
   1.96000 ,     0.548293355697498E+00 ,    -0.152345948540169E+01 ,     0.794083897255284E+00 , 
   1.98000 ,     0.664693517023236E+00 ,    -0.152452549434020E+01 ,     0.861794459661444E+00 , 
   2.00000 ,     0.476531223547328E+00 ,    -0.138979012048831E+01 ,     0.868511840593091E+00 , 
   2.02000 ,     0.977493210888902E-01 ,    -0.116365093886224E+01 ,     0.835879790986477E+00 , 
   2.04000 ,    -0.343206390577009E+00 ,    -0.900541244322172E+00 ,     0.790579406114078E+00 , 
   2.06000 ,    -0.760497504646369E+00 ,    -0.642263878579812E+00 ,     0.751223336060545E+00 , 
   2.08000 ,    -0.111351398685789E+01 ,    -0.411695917032454E+00 ,     0.723633901302585E+00 , 
   2.10000 ,    -0.137690146020284E+01 ,    -0.218531764339019E+00 ,     0.704716851969915E+00 , 
   2.12000 ,    -0.151954028024536E+01 ,    -0.669738417521664E-01 ,     0.690079124715374E+00 , 
   2.14000 ,    -0.151650407689561E+01 ,     0.418544183388086E-01 ,     0.679368938984931E+00 , 
   2.16000 ,    -0.138159731322972E+01 ,     0.112827556574636E+00 ,     0.676059884862353E+00 , 
   2.18000 ,    -0.118445690731193E+01 ,     0.159906571133594E+00 ,     0.682740144513111E+00 , 
   2.20000 ,    -0.102536207075072E+01 ,     0.204405905058196E+00 ,     0.696001082673510E+00 , 
   2.22000 ,    -0.975770720982022E+00 ,     0.267784264308051E+00 ,     0.705067078190575E+00 , 
   2.24000 ,    -0.102502628362331E+01 ,     0.362773813011364E+00 ,     0.695701349716666E+00 , 
   2.26000 ,    -0.107651353074386E+01 ,     0.487928276753774E+00 ,     0.657491973002228E+00 , 
   2.28000 ,    -0.100496615746530E+01 ,     0.628379615370019E+00 ,     0.590435543921363E+00 , 
   2.30000 ,    -0.742445907204105E+00 ,     0.761983773855863E+00 ,     0.506933799524518E+00 , 
   2.32000 ,    -0.336236218186802E+00 ,     0.867695599693279E+00 ,     0.427657125051152E+00 , 
   2.34000 ,     0.634207049608530E-01 ,     0.932886540302196E+00 ,     0.372898925139584E+00 , 
   2.36000 ,     0.282939711502084E+00 ,     0.957503862976638E+00 ,     0.353430074823058E+00 , 
   2.38000 ,     0.225060695717998E+00 ,     0.954097823059884E+00 ,     0.365302097988692E+00 , 
   2.40000 ,    -0.723678826209622E-01 ,     0.943419381524159E+00 ,     0.391308112795426E+00 , 
   2.42000 ,    -0.453368332331871E+00 ,     0.946220141322248E+00 ,     0.408663594320956E+00 , 
   2.44000 ,    -0.724175495557348E+00 ,     0.973669778644401E+00 ,     0.399381300999307E+00 , 
   2.46000 ,    -0.747955805968084E+00 ,     0.102072700443502E+01 ,     0.358329244985960E+00 , 
   2.48000 ,    -0.501679320838783E+00 ,     0.106697128192854E+01 ,     0.294954800943298E+00 , 
   2.50000 ,    -0.715413400408583E-01 ,     0.108641001655832E+01 ,     0.227800706404960E+00 , 
   2.52000 ,     0.398651610952871E+00 ,     0.106245006017274E+01 ,     0.174697328204861E+00 , 
   2.54000 ,     0.770023585341020E+00 ,     0.999798563117272E+00 ,     0.143857171130717E+00 , 
   2.56000 ,     0.951250957249684E+00 ,     0.925161759803213E+00 ,     0.130613782887570E+00 , 
