    r      L_U-Cl   L_Cl-Cl
  2.000    -0.050     0.000
  2.020    -0.050     0.000
  2.040    -0.050     0.000
  2.060    -0.049     0.000
  2.080    -0.049     0.000
  2.100    -0.049     0.000
  2.120    -0.048     0.000
  2.140    -0.047     0.000
  2.160    -0.046     0.000
  2.180    -0.045     0.000
  2.200    -0.043    -0.101
  2.220    -0.040    -0.097
  2.240    -0.036    -0.092
  2.260    -0.031    -0.087
  2.280    -0.023    -0.081
  2.300    -0.012    -0.075
  2.320     0.002    -0.069
  2.340     0.023    -0.062
  2.360     0.051    -0.054
  2.380     0.090    -0.045
  2.400     0.142    -0.036
  2.420     0.213    -0.026
  2.440     0.308    -0.015
  2.460     0.433    -0.004
  2.480     0.593     0.009
  2.500     0.795     0.022
  2.520     1.039     0.037
  2.540     1.324     0.053
  2.560     1.641     0.070
  2.580     1.975     0.088
  2.600     2.309     0.108
  2.620     2.626     0.129
  2.640     2.911     0.151
  2.660     3.155     0.175
  2.680     0.000     0.201
  2.700     0.000     0.229
  2.720     0.000     0.258
  2.740     0.000     0.289
  2.760     0.000     0.322
  2.780     0.000     0.356
  2.800     0.000     0.393
  2.820     0.000     0.431
  2.840     0.000     0.472
  2.860     0.000     0.514
  2.880     0.000     0.558
  2.900     0.000     0.604
  2.920     0.000     0.652
  2.940     0.000     0.701
  2.960     0.000     0.751
  2.980     0.000     0.803
  3.000     0.000     0.856
  3.020     0.000     0.911
  3.040     0.000     0.966
  3.060     0.000     1.021
  3.080     0.000     1.077
  3.100     0.000     1.133
  3.120     0.000     1.190
  3.140     0.000     1.246
  3.160     0.000     1.301
  3.180     0.000     1.356
  3.200     0.000     1.411
  3.220     0.000     1.464
  3.240     0.000     1.516
  3.260     0.000     1.566
  3.280     0.000     1.615
  3.300     0.000     1.663
  3.320     0.000     1.709
