r (Ang), PDF (RMC), PDF (Expt)
  1.000000000000000E-002  ,  -0.283846778925620       ,  -0.294158029499047     
  2.000000000000000E-002  ,  -0.283846778925620       ,  -0.294158029499047     
  3.000000000000000E-002  ,  -0.283846778925620       ,  -0.294158029499047     
  4.000000000000000E-002  ,  -0.283846778925620       ,  -0.294158029499047     
  5.000000000000000E-002  ,  -0.283846778925620       ,  -0.294158029499047     
  6.000000000000000E-002  ,  -0.283846778925620       ,  -0.294158029499047     
  7.000000000000001E-002  ,  -0.283846778925620       ,  -0.294158029499047     
  8.000000000000000E-002  ,  -0.283846778925620       ,  -0.294158029499047     
  9.000000000000000E-002  ,  -0.283846778925620       ,  -0.294158029499047     
  0.100000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.110000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.120000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.130000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.140000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.150000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.160000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.170000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.180000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.190000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.200000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.210000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.220000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.230000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.240000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.250000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.260000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.270000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.280000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.290000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.300000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.310000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.320000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.330000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
  0.340000000000000       ,  -0.283846778925620       ,  -0.294158029499047     
