 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-O ,Ti-Ti,Ti-O ,O-O  
   1.17000 ,    -0.125445521068805E+02 ,     0.503315521594475E+01 ,     0.812433225890182E+00 ,    -0.131867455289931E+02 ,     0.281197641268011E-01 ,    -0.207498864160351E+01 , 
   1.18000 ,    -0.131632282554136E+02 ,     0.532478918869623E+01 ,     0.830489823690999E+00 ,    -0.138109743462945E+02 ,    -0.679848510464403E+00 ,    -0.180865856902520E+01 , 
   1.19000 ,    -0.120453529582995E+02 ,     0.451936070957767E+01 ,     0.662732295675168E+00 ,    -0.126020138171705E+02 ,    -0.124708411166755E+01 ,    -0.147657975009686E+01 , 
   1.20000 ,    -0.974707450774715E+01 ,     0.310807422397368E+01 ,     0.386449123489738E+00 ,    -0.101513783628457E+02 ,    -0.157053955032541E+01 ,    -0.116543500944377E+01 , 
   1.21000 ,    -0.691938171913529E+01 ,     0.153413957325317E+01 ,     0.805548172311787E-01 ,    -0.715026901257769E+01 ,    -0.158233810495746E+01 ,    -0.952929852081706E+00 , 
   1.22000 ,    -0.419332467462131E+01 ,     0.128146740407405E+00 ,    -0.187995301569211E+00 ,    -0.426746809649523E+01 ,    -0.127232524609831E+01 ,    -0.889488658525093E+00 , 
   1.23000 ,    -0.208027832897666E+01 ,    -0.918806795388088E+00 ,    -0.373604113492894E+00 ,    -0.204340085271477E+01 ,    -0.697529197901381E+00 ,    -0.986933803669008E+00 , 
   1.24000 ,    -0.902423179673989E+00 ,    -0.154657907998388E+01 ,    -0.456104214020223E+00 ,    -0.816552333657803E+00 ,     0.249124813608092E-01 ,    -0.121673598556181E+01 , 
   1.25000 ,    -0.762264442775399E+00 ,    -0.179205318084529E+01 ,    -0.439524927374631E+00 ,    -0.691610255829087E+00 ,     0.740575302177200E+00 ,    -0.151807750647686E+01 , 
   1.26000 ,    -0.155267614580656E+01 ,    -0.174396920135604E+01 ,    -0.346596006225544E+00 ,    -0.155083469598061E+01 ,     0.129137963100294E+01 ,    -0.181359609624586E+01 , 
   1.27000 ,    -0.300196130652067E+01 ,    -0.150070400001055E+01 ,    -0.210711245646348E+00 ,    -0.310266087655446E+01 ,     0.155208928832311E+01 ,    -0.202884946670459E+01 , 
   1.28000 ,    -0.474292242411606E+01 ,    -0.114159286413643E+01 ,    -0.673211690566258E-01 ,    -0.495567187921794E+01 ,     0.146068127138440E+01 ,    -0.211069642578161E+01 , 
   1.29000 ,    -0.639175123930132E+01 ,    -0.716528158828938E+00 ,     0.534636725487685E-01 ,    -0.670270887814580E+01 ,     0.103480021757788E+01 ,    -0.204012282708726E+01 , 
   1.30000 ,    -0.762203373072961E+01 ,    -0.252249101754377E+00 ,     0.131804160677405E+00 ,    -0.799939951571288E+01 ,     0.369725454093974E+00 ,    -0.183645630089665E+01 , 
   1.31000 ,    -0.822121027716411E+01 ,     0.231278272998794E+00 ,     0.160054401893645E+00 ,    -0.862364502396029E+01 ,    -0.382271182967848E+00 ,    -0.155205688698895E+01 , 
   1.32000 ,    -0.812089732800203E+01 ,     0.703427399624379E+00 ,     0.141845879353185E+00 ,    -0.850702425932224E+01 ,    -0.104670460463234E+01 ,    -0.125891215386117E+01 , 
   1.33000 ,    -0.739773205569798E+01 ,     0.111283842636155E+01 ,     0.890721592281226E-01 ,    -0.773473742997011E+01 ,    -0.146772882923317E+01 ,    -0.103053251626076E+01 , 
   1.34000 ,    -0.624687063481195E+01 ,     0.138984173760956E+01 ,     0.178250429726361E-01 ,    -0.651656681504309E+01 ,    -0.154532197199547E+01 ,    -0.923658869491746E+00 , 
   1.35000 ,    -0.493500702990272E+01 ,     0.146170087193346E+01 ,    -0.556401356659629E-01 ,    -0.513635732208902E+01 ,    -0.125975229363377E+01 ,    -0.964295422799556E+00 , 
   1.36000 ,    -0.374301552697516E+01 ,     0.127616625785988E+01 ,    -0.118053743348833E+00 ,    -0.389090101748919E+01 ,    -0.677197825647998E+00 ,    -0.114147521446963E+01 , 
   1.37000 ,    -0.290958398727811E+01 ,     0.825453206463931E+00 ,    -0.160918022301794E+00 ,    -0.303035684761823E+01 ,     0.651334708110440E-01 ,    -0.141023379097287E+01 , 
   1.38000 ,    -0.258637900885962E+01 ,     0.161860613675255E+00 ,    -0.180872702276145E+00 ,    -0.271134762466601E+01 ,     0.791087460519890E+00 ,    -0.170298747520033E+01 , 
