Q (Ang^-1), RMC, Data
  0.850000000000000       ,  -0.675248381741946       ,  -0.500184352487023     
  0.860000000000000       ,  -0.769819049521295       ,  -0.675792752233336     
  0.870000000000000       ,  -0.802573499455449       ,  -0.781409664453873     
  0.880000000000000       ,  -0.760899768891411       ,  -0.800087873594880     
  0.890000000000000       ,  -0.649906245572533       ,  -0.733975757863490     
  0.900000000000000       ,  -0.492430463040110       ,  -0.604574646706705     
  0.910000000000000       ,  -0.324787842933940       ,  -0.448541187205083     
  0.920000000000000       ,  -0.188997918024958       ,  -0.309778613741591     
  0.930000000000000       ,  -0.123078703360484       ,  -0.229432897747935     
  0.940000000000000       ,  -0.151526236179293       ,  -0.235950713446570     
  0.950000000000000       ,  -0.278164132677008       ,  -0.337434169733463     
  0.960000000000000       ,  -0.483125732881886       ,  -0.518110866749569     
  0.970000000000000       ,  -0.724897254023341       ,  -0.739905178827191     
  0.980000000000000       ,  -0.947277282150023       ,  -0.949020242033171     
  0.990000000000000       ,   -1.09002671887903       ,   -1.08635014524247     
   1.00000000000000       ,   -1.10113214935757       ,   -1.09967612076405     
   1.01000000000000       ,  -0.948177080681436       ,  -0.955152096673889     
   1.02000000000000       ,  -0.626413046954089       ,  -0.645658839069181     
   1.03000000000000       ,  -0.161736282447171       ,  -0.194195065555844     
   1.04000000000000       ,   0.392216968355750       ,   0.348540252587989     
   1.05000000000000       ,   0.962451789666557       ,   0.912042838972232     
   1.06000000000000       ,    1.46894314212740       ,    1.41792251631984     
   1.07000000000000       ,    1.83856288926265       ,    1.79356567748489     
   1.08000000000000       ,    2.01791671534933       ,    1.98489782522663     
   1.09000000000000       ,    1.98261369863177       ,    1.96578328085037     
   1.10000000000000       ,    1.74120815998389       ,    1.74228048356444     
   1.11000000000000       ,    1.33312304708076       ,    1.35100771202073     
   1.12000000000000       ,   0.821060513814901       ,   0.852046163887232     
   1.13000000000000       ,   0.279478538287283       ,   0.317870380429990     
   1.14000000000000       ,  -0.218557570110368       ,  -0.179467373735519     
   1.15000000000000       ,  -0.613596377238625       ,  -0.580406031100497     
   1.16000000000000       ,  -0.868822159592413       ,  -0.846951089734705     
   1.17000000000000       ,  -0.974335333567273       ,  -0.967200118512665     
   1.18000000000000       ,  -0.946162312308780       ,  -0.954738330802636     
   1.19000000000000       ,  -0.820540043485389       ,  -0.843372336817105     
   1.20000000000000       ,  -0.644930082087753       ,  -0.678569317559959     
   1.21000000000000       ,  -0.467779284817155       ,  -0.507538471071791     
   1.22000000000000       ,  -0.329158161716597       ,  -0.370029018428044     
   1.23000000000000       ,  -0.254072982761138       ,  -0.291618550387787     
   1.24000000000000       ,  -0.249559625642140       ,  -0.280615290551068     
   1.25000000000000       ,  -0.305792870477459       ,  -0.328856841053007     
   1.26000000000000       ,  -0.400582937719762       ,  -0.415847749488186     
   1.27000000000000       ,  -0.505966525029102       ,  -0.515019523266561     
   1.28000000000000       ,  -0.595263771095448       ,  -0.600550192061018     
   1.29000000000000       ,  -0.649016807868421       ,  -0.653200529453124     
   1.30000000000000       ,  -0.658614006479840       ,  -0.663980651621240     
   1.31000000000000       ,  -0.627026376004379       ,  -0.635051020001052     
   1.32000000000000       ,  -0.566783030534874       ,  -0.577937248980848     
   1.33000000000000       ,  -0.495927702892062       ,  -0.509740359356014     
   1.34000000000000       ,  -0.433094407848856       ,  -0.448421939813941     
   1.35000000000000       ,  -0.392942770855922       ,  -0.408361114086799     
   1.36000000000000       ,  -0.383000002899090       ,  -0.397210776875622     
   1.37000000000000       ,  -0.402533551004444       ,  -0.414684606317091     
   1.38000000000000       ,  -0.443541810728305       ,  -0.453393030609521     
   1.39000000000000       ,  -0.493434821074835       ,  -0.501345108766695     
   1.40000000000000       ,  -0.538603649220550       ,  -0.545362321376233     
   1.41000000000000       ,  -0.567925583812290       ,  -0.574489059700863     
   1.42000000000000       ,  -0.575343461116503       ,  -0.582557367254347     
   1.43000000000000       ,  -0.560952714576692       ,  -0.569336593991278     
   1.44000000000000       ,  -0.530443222141478       ,  -0.540092035033749     
   1.45000000000000       ,  -0.493165289226917       ,  -0.503785941663088     
   1.46000000000000       ,  -0.459415156040441       ,  -0.470477537850532     
   1.47000000000000       ,  -0.437690243818227       ,  -0.448641136146551     
   1.48000000000000       ,  -0.432619826178437       ,  -0.443092576394379     
   1.49000000000000       ,  -0.444056193466259       ,  -0.454012840958925     
   1.50000000000000       ,  -0.467480877528220       ,  -0.477244790416605     
   1.51000000000000       ,  -0.495530515922943       ,  -0.505700230441971     
   1.52000000000000       ,  -0.520168075362921       ,  -0.531437688155037     
   1.53000000000000       ,  -0.534885299902351       ,  -0.547823842161239     
   1.54000000000000       ,  -0.536350296414397       ,  -0.551204611755765     
   1.55000000000000       ,  -0.525094363303921       ,  -0.541673877655846     
   1.56000000000000       ,  -0.505110044577873       ,  -0.522789219985906     
   1.57000000000000       ,  -0.482530414670536       ,  -0.500371886037381     
   1.58000000000000       ,  -0.463798172722393       ,  -0.480765640537263     
   1.59000000000000       ,  -0.453851414507822       ,  -0.469055712019527     
   1.60000000000000       ,  -0.454824167292639       ,  -0.467735728275931     
   1.61000000000000       ,  -0.465597119661967       ,  -0.476166347523709     
   1.62000000000000       ,  -0.482285958880446       ,  -0.490937697363286     
   1.63000000000000       ,  -0.499491304053808       ,  -0.506994138590640     
   1.64000000000000       ,  -0.511927632224037       ,  -0.519173690484548     
   1.65000000000000       ,  -0.515953969596239       ,  -0.523710521281716     
   1.66000000000000       ,  -0.510570009979867       ,  -0.519273123018156     
