    r     L_Yb-Yb   L_Sn-Sn     L_O-O
  2.850     0.187     0.331     0.000
  2.860     0.195     0.338     0.000
  2.870     0.202     0.345     0.000
  2.880     0.210     0.352     0.000
  2.890     0.217     0.360     0.000
  2.900     0.224     0.367     0.000
  2.910     0.232     0.374     0.000
  2.920     0.239     0.382     0.000
  2.930     0.246     0.389     0.000
  2.940     0.253     0.397     0.000
  2.950     0.260     0.404     0.000
  2.960     0.267     0.412     0.000
  2.970     0.274     0.419     0.000
  2.980     0.281     0.427     0.000
  2.990     0.288     0.434     0.000
  3.000     0.295     0.442     0.000
  3.010     0.301     0.450     0.000
  3.020     0.308     0.458     0.000
  3.030     0.315     0.465     0.000
  3.040     0.321     0.473     0.000
  3.050     0.327     0.481     0.000
  3.060     0.334     0.489     0.000
  3.070     0.340     0.497     0.000
  3.080     0.346     0.504     0.000
  3.090     0.352     0.512     0.000
  3.100     0.358     0.520     0.000
  3.110     0.364     0.528     0.000
  3.120     0.370     0.536     0.000
  3.130     0.375     0.544     0.000
  3.140     0.381     0.552     0.000
  3.150     0.386     0.560     0.000
  3.160     0.392     0.568     0.000
  3.170     0.397     0.576     0.000
  3.180     0.402     0.584     0.000
  3.190     0.407     0.592     0.000
  3.200     0.412     0.600     0.000
  3.210     0.417     0.608     0.000
  3.220     0.422     0.616     0.000
  3.230     0.427     0.624     0.000
  3.240     0.431     0.632     0.000
  3.250     0.436     0.640     0.000
  3.260     0.440     0.648     0.000
  3.270     0.445     0.656     0.000
  3.280     0.449     0.664     0.000
  3.290     0.453     0.672     0.000
  3.300     0.457     0.680     0.000
  3.310     0.461     0.688     0.000
  3.320     0.465     0.696     0.000
  3.330     0.469     0.703     0.000
  3.340     0.472     0.711     0.000
  3.350     0.476     0.719     0.000
  3.360     0.479     0.727     0.000
  3.370     0.483     0.735     0.000
  3.380     0.486     0.742     0.000
  3.390     0.490     0.750     0.000
