Cluster	# of Li atoms
    1      1752
    8        44
   10        44
   20        15
   42         4
   57         8
   58        10
   61         1
   67        12
   68         5
   70         2
   71         2
   73        14
   77       175
   79        14
   88        16
   94         5
   95         5
   96         3
   97        22
   98         7
  104         3
  117         2
  128         8
  144         9
  147         7
  148         2
  162         4
  163        10
  164         3
  171         5
  173         9
  175         2
  176         5
  183         3
  187         2
  190        12
  193        15
  194         5
  196         6
  197         5
  199         4
  203         5
  204         3
  205        15
  207         1
  223         9
  228         7
  233         6
  237         4
  242         2
  253         2
  254         4
  258        15
  261         7
  264         3
  269         2
  272        13
  276         2
  277         4
  280         2
  285         2
  286        14
  293         2
  294         3
  295         4
  304         7
  318         4
  320        12
  322         1
  323         8
  328         4
  329         3
  331         3
  332        11
  343         3
  344         5
  351         7
  352        21
  354         4
  356         4
  357         6
  361         6
  364         1
  365         2
  369         1
  370         1
  372         1
  377         1
  384         2
  386         2
  388         1
  397         1
  398         1
  407         1
  413         4
  414         8
  415         2
  416         1
  423         5
  427         2
  430         5
  431         8
  433         2
  434         3
  439         4
  440         4
  441         2
  443         4
  444         2
  446         2
  447         3
  450         1
  452         4
  454         3
  456         1
  457         1
  458         4
  459         1
  461         1
  473         1
  483         4
  486         1
  491         2
  493         6
  501         1
  506         1
  509         1
  510         2
  513         2
  517         1
  528         3
  529         8
  530         5
  533         5
  537         3
  541         1
  549         1
  550         1
  555         3
  564         1
  567         2
  582         1
  586         1
  588         2
  592         1
  593         1
  599         2
  600         2
  602         2
  605         1
  613         4
  614         2
  618         1
  620         1
  623         3
  625         9
  633         1
  634         3
  635         2
  642         1
  643         2
  654         1
  655         1
  659         2
  661         1
  662         2
  678         5
  686         2
  689         1
  691         2
  701         3
  703         1
  706         1
  707         1
  711         2
  712         1
  714         4
  716         1
  717         2
  722         1
  728         1
  731         3
  733         1
  735         2
  736         2
  737         3
  738         1
  740         4
  741         1
  745         4
  758         3
  759         3
  762         1
  763         2
  766         3
  768         1
  769         1
  770         1
  772         2
  774         1
  775         2
  779         1
  780         1
  781         1
  786         1
  787         1
  788         2
  792         2
  793         1
  794         1
  795         1
  796         1
  797         1
  801         1
  804         1
  807         1
  809         1
  810         2
  815         1
  821         1
  825         1
  828         1
  829         2
  830         2
  835         2
  837         1
  838         1
  842         2
  844         1
  846         1
  847         1
  848         1
  849         1
  850         1
  852         1
  853         1
  854         1
  855         1
  856         1
  857         1
  860         1
  861         1
  862         1
  864         1
  865         1
  866         1
  867         1
  868         1
  870         1
  871         1
  872         1
  873         1
  874         1
  875         1
  877         1
  878         1
  879         1
  880         1
  881         1
  882         1
  883         1
  884         1
  885         1
  886         1
  887         1
  888         1
  889         1
  890         1
  891         1
  892         1
  893         1
  895         1
  896         1
  897         1
  898         1
  899         1
  900         1
  901         1
  902         1
  903         1
  904         1
  905         1
  906         1
  907         1
  908         1
