Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
033346.540      130420      258194  0.385E-01  0.151E+00
034346.501      216725      521453  0.123E-01  0.876E-01
035346.473      281398      782023  0.741E-02  0.587E-01
040346.413      338840     1045517  0.578E-02  0.413E-01
041346.467      392719     1307161  0.458E-02  0.295E-01
042346.466      442233     1570116  0.361E-02  0.216E-01
043346.475      489163     1833736  0.286E-02  0.160E-01
044346.554      532641     2098528  0.231E-02  0.122E-01
045346.453      575476     2363202  0.189E-02  0.947E-02
050346.411      614166     2627894  0.157E-02  0.752E-02
051346.407      650719     2892992  0.134E-02  0.608E-02
052346.408      686101     3158251  0.116E-02  0.495E-02
053346.424      719903     3425583  0.105E-02  0.411E-02
054346.402      752874     3694025  0.963E-03  0.345E-02
055346.413      786257     3961310  0.900E-03  0.293E-02
060346.419      817912     4231753  0.849E-03  0.251E-02
061346.416      849191     4504035  0.816E-03  0.218E-02
062346.429      879624     4773360  0.784E-03  0.193E-02
063346.441      909749     5043065  0.742E-03  0.174E-02
064346.445      939091     5312589  0.750E-03  0.158E-02
065346.464      968667     5583804  0.739E-03  0.146E-02
070346.474      998114     5855997  0.736E-03  0.136E-02
071346.553     1027560     6128751  0.710E-03  0.127E-02
072346.460     1056668     6400917  0.668E-03  0.113E-02
073346.499     1086019     6674177  0.698E-03  0.115E-02
074346.451     1115217     6947466  0.705E-03  0.110E-02
075346.479     1144501     7218756  0.715E-03  0.106E-02
080346.442     1173356     7488831  0.729E-03  0.102E-02
081346.472     1202548     7761152  0.713E-03  0.985E-03
082346.445     1231993     8034428  0.709E-03  0.958E-03
083346.439     1260985     8305759  0.703E-03  0.931E-03
084346.414     1290376     8579751  0.716E-03  0.907E-03
085346.455     1319985     8855243  0.711E-03  0.883E-03
090346.407     1349466     9129789  0.714E-03  0.865E-03
091346.429     1378932     9404455  0.713E-03  0.848E-03
092346.408     1408457     9678756  0.717E-03  0.831E-03
093346.720     1438034     9953739  0.735E-03  0.817E-03
094346.482     1467432    10228933  0.731E-03  0.801E-03
095346.485     1497118    10504161  0.742E-03  0.786E-03
100346.580     1526573    10779190  0.755E-03  0.772E-03
101346.524     1556122    11053497  0.740E-03  0.761E-03
102346.658     1585431    11326994  0.758E-03  0.749E-03
103346.881     1614989    11601965  0.754E-03  0.740E-03
104346.635     1644372    11875369  0.771E-03  0.730E-03
105346.858     1673904    12149195  0.741E-03  0.721E-03
110346.915     1703397    12422965  0.761E-03  0.711E-03
111346.687     1732743    12694381  0.785E-03  0.702E-03
112346.574     1762145    12965825  0.778E-03  0.693E-03
113346.575     1791400    13237298  0.767E-03  0.685E-03
114346.666     1820427    13508697  0.754E-03  0.678E-03
115346.612     1849619    13780174  0.757E-03  0.672E-03
120346.658     1878687    14050812  0.782E-03  0.664E-03
121346.620     1907864    14322003  0.767E-03  0.657E-03
122346.738     1937530    14596372  0.783E-03  0.650E-03
123346.697     1966675    14866943  0.804E-03  0.642E-03
124346.829     1995773    15137799  0.794E-03  0.635E-03
125359.056     2024956    15407929  0.785E-03  0.630E-03
130346.501     2053655    15676461  0.812E-03  0.623E-03
131346.606     2082812    15948095  0.788E-03  0.620E-03
132346.529     2112116    16219485  0.820E-03  0.614E-03
133346.495     2141241    16491107  0.802E-03  0.609E-03
134346.528     2170614    16763602  0.803E-03  0.603E-03
135346.472     2199819    17033947  0.804E-03  0.598E-03
140346.535     2229103    17305956  0.803E-03  0.593E-03
141346.439     2258289    17575746  0.826E-03  0.587E-03
142346.528     2287385    17845667  0.802E-03  0.584E-03
143346.440     2316376    18115494  0.838E-03  0.578E-03
144346.533     2345410    18385299  0.829E-03  0.573E-03
145346.515     2374646    18654760  0.828E-03  0.569E-03
150346.505     2403770    18924788  0.810E-03  0.565E-03
151346.459     2433035    19194703  0.841E-03  0.561E-03
152346.507     2462265    19464711  0.836E-03  0.557E-03
153346.521     2491190    19734251  0.824E-03  0.553E-03
154346.482     2520249    20003782  0.861E-03  0.546E-03
155346.458     2549422    20273815  0.867E-03  0.541E-03
160346.469     2578445    20542744  0.852E-03  0.539E-03
161346.453     2607811    20814192  0.862E-03  0.534E-03
162346.456     2637132    21084784  0.882E-03  0.530E-03
163346.485     2666360    21354826  0.868E-03  0.527E-03
164346.526     2695761    21626897  0.870E-03  0.524E-03
165346.524     2724777    21896557  0.858E-03  0.521E-03
170346.614     2753814    22166658  0.896E-03  0.516E-03
171346.597     2782919    22436898  0.873E-03  0.513E-03
172346.592     2812150    22707260  0.875E-03  0.510E-03
173346.619     2841586    22978928  0.854E-03  0.508E-03
174346.557     2870767    23249231  0.861E-03  0.505E-03
175346.513     2899888    23519629  0.878E-03  0.501E-03
180346.532     2929138    23790037  0.902E-03  0.497E-03
181346.552     2958312    24060395  0.882E-03  0.495E-03
182346.593     2987585    24331444  0.889E-03  0.492E-03
183346.545     3016822    24602112  0.902E-03  0.489E-03
184346.640     3045797    24872873  0.896E-03  0.486E-03
185346.515     3074968    25144573  0.881E-03  0.483E-03
190346.576     3104500    25417254  0.911E-03  0.480E-03
191346.553     3133911    25689723  0.926E-03  0.476E-03
192346.616     3163239    25960632  0.909E-03  0.474E-03
193346.608     3192524    26231325  0.886E-03  0.473E-03
194346.490     3221793    26502070  0.889E-03  0.471E-03
195346.494     3251019    26772685  0.889E-03  0.469E-03
200346.449     3279708    27039036  0.897E-03  0.466E-03
201346.453     3308821    27309835  0.921E-03  0.462E-03
202346.440     3337900    27580505  0.903E-03  0.459E-03
203346.451     3366823    27851549  0.910E-03  0.456E-03
204346.476     3395975    28122952  0.908E-03  0.454E-03
205346.461     3425296    28394156  0.899E-03  0.452E-03
210346.469     3454554    28665396  0.930E-03  0.450E-03
211347.738     3483812    28936863  0.955E-03  0.445E-03
212346.441     3513015    29206552  0.935E-03  0.444E-03
213346.444     3541827    29476526  0.920E-03  0.443E-03
214346.443     3570961    29746987  0.886E-03  0.441E-03
