 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   0.60000 ,    -0.347421748154746E+01 ,     0.234630761408620E+00 ,    -0.122188878635570E+01 , 
   0.62000 ,    -0.337996888022543E+01 ,     0.184102766607586E+00 ,    -0.124526215643218E+01 , 
   0.64000 ,    -0.329059251339789E+01 ,     0.103135780603284E+00 ,    -0.127549534547220E+01 , 
   0.66000 ,    -0.327475766745189E+01 ,     0.482811837706590E-01 ,    -0.129202779841479E+01 , 
   0.68000 ,    -0.339769672392564E+01 ,     0.465165924312504E-01 ,    -0.128766878415884E+01 , 
   0.70000 ,    -0.365024657805697E+01 ,     0.822365958104672E-01 ,    -0.127089785645324E+01 , 
   0.72000 ,    -0.392014881439346E+01 ,     0.116432226188160E+00 ,    -0.125683742070307E+01 , 
   0.74000 ,    -0.404029647642845E+01 ,     0.120384208411538E+00 ,    -0.125448768814174E+01 , 
   0.76000 ,    -0.389237227314447E+01 ,     0.972402786917087E-01 ,    -0.125985946230791E+01 , 
   0.78000 ,    -0.349736701116343E+01 ,     0.762241545313009E-01 ,    -0.125971318010563E+01 , 
   0.80000 ,    -0.302389034382725E+01 ,     0.861222811574336E-01 ,    -0.124262576785575E+01 , 
   0.82000 ,    -0.269627023431975E+01 ,     0.130144574696978E+00 ,    -0.120889177467891E+01 , 
   0.84000 ,    -0.265440837021759E+01 ,     0.182053595984617E+00 ,    -0.117186985569124E+01 , 
   0.86000 ,    -0.285695107583368E+01 ,     0.206170963770700E+00 ,    -0.114971913795707E+01 , 
   0.88000 ,    -0.309766126627360E+01 ,     0.185256615260099E+00 ,    -0.115333244876843E+01 , 
   0.90000 ,    -0.313277970297157E+01 ,     0.134481668944105E+00 ,    -0.117884326387236E+01 , 
   0.92000 ,    -0.284170512950734E+01 ,     0.907300491089006E-01 ,    -0.120977526537721E+01 , 
   0.94000 ,    -0.231629734088704E+01 ,     0.854265282399834E-01 ,    -0.122726971508125E+01 , 
   0.96000 ,    -0.181612221193307E+01 ,     0.121447896446566E+00 ,    -0.122154103385685E+01 , 
   0.98000 ,    -0.161224631528780E+01 ,     0.171275946864995E+00 ,    -0.119723869784221E+01 , 
   1.00000 ,    -0.181514566852952E+01 ,     0.197342668940692E+00 ,    -0.116972615939084E+01 , 
   1.02000 ,    -0.229466996283159E+01 ,     0.178980051920564E+00 ,    -0.115522248704793E+01 , 
   1.04000 ,    -0.274331618497382E+01 ,     0.125908065651137E+00 ,    -0.116130440268220E+01 , 
   1.06000 ,    -0.284512346330428E+01 ,     0.687990678521965E-01 ,    -0.118338510516957E+01 , 
   1.08000 ,    -0.244857718431828E+01 ,     0.348081449118111E-01 ,    -0.120851312893485E+01 , 
   1.10000 ,    -0.164278878989213E+01 ,     0.269172003911593E-01 ,    -0.122327862427153E+01 , 
   1.12000 ,    -0.698834382975965E+00 ,     0.225227410832790E-01 ,    -0.122067468597225E+01 , 
   1.14000 ,     0.797338564712770E-01 ,    -0.811487762973899E-02 ,    -0.120226584699747E+01 , 
   1.16000 ,     0.503820805775098E+00 ,    -0.777695449850833E-01 ,    -0.117547011321500E+01 , 
   1.18000 ,     0.561383164833270E+00 ,    -0.170536046481726E+00 ,    -0.114866069010253E+01 , 
   1.20000 ,     0.374134009431141E+00 ,    -0.250955065579788E+00 ,    -0.112741133704353E+01 , 
   1.22000 ,     0.936133660150404E-01 ,    -0.287058853076548E+00 ,    -0.111359720040875E+01 , 
   1.24000 ,    -0.187337939055938E+00 ,    -0.270877035654729E+00 ,    -0.110672393910737E+01 , 
   1.26000 ,    -0.452863579499622E+00 ,    -0.222900484389335E+00 ,    -0.110551128103670E+01 , 
   1.28000 ,    -0.711933955497147E+00 ,    -0.179405481600305E+00 ,    -0.110815998352789E+01 , 
   1.30000 ,    -0.925388340983271E+00 ,    -0.173400822384212E+00 ,    -0.111132132641350E+01 , 
   1.32000 ,    -0.974865632148750E+00 ,    -0.222377757119691E+00 ,    -0.110924511847322E+01 , 
   1.34000 ,    -0.706284952501898E+00 ,    -0.328101832785214E+00 ,    -0.109479454367986E+01 , 
