Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
164703.125       49451      135061  0.549E-02  0.115E+00  0.989E+06  0.358E+01  0.237E+00
165203.048       81648      270616  0.211E-02  0.828E-01  0.988E+06  0.313E+01  0.107E+00
165703.050      110461      409704  0.121E-02  0.582E-01  0.103E+07  0.289E+01  0.149E+00
170203.048      135757      546232  0.826E-03  0.411E-01  0.709E+06  0.288E+01  0.599E-01
170703.072      160666      684876  0.585E-03  0.281E-01  0.964E+06  0.294E+01  0.102E+00
171203.049      185699      826133  0.426E-03  0.185E-01  0.133E+06  0.288E+01  0.318E-01
171703.046      213406     1001272  0.317E-03  0.113E-01  0.220E+07  0.280E+01  0.880E-01
172203.043      240451     1180983  0.253E-03  0.712E-02  0.629E+05  0.255E+01  0.101E+00
172703.045      270735     1402906  0.208E-03  0.435E-02  0.699E+06  0.311E+01  0.725E-01
173203.066      299918     1631003  0.185E-03  0.270E-02  0.514E+06  0.249E+01  0.879E-01
