 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   0.60000 ,    -0.335938521285561E+01 ,     0.248800549069881E+00 ,    -0.120833681206859E+01 , 
   0.62000 ,    -0.330829247031738E+01 ,     0.187990777556129E+00 ,    -0.124571139291820E+01 , 
   0.64000 ,    -0.329364797332431E+01 ,     0.871669091247026E-01 ,    -0.129123123799938E+01 , 
   0.66000 ,    -0.333890421345728E+01 ,     0.136030283949825E-01 ,    -0.131470598596018E+01 , 
   0.68000 ,    -0.347231908165166E+01 ,     0.683163153954983E-02 ,    -0.130467901577796E+01 , 
   0.70000 ,    -0.367955347380024E+01 ,     0.569118938766806E-01 ,    -0.127325573365492E+01 , 
   0.72000 ,    -0.387756005180523E+01 ,     0.118564612198174E+00 ,    -0.124429372128068E+01 , 
   0.74000 ,    -0.394319089092136E+01 ,     0.147534630679868E+00 ,    -0.123477474821740E+01 , 
   0.76000 ,    -0.378828037273412E+01 ,     0.131466289822014E+00 ,    -0.124311154007898E+01 , 
   0.78000 ,    -0.343144441210213E+01 ,     0.942132752986994E-01 ,    -0.125215371609060E+01 , 
   0.80000 ,    -0.300928942442575E+01 ,     0.734385535686717E-01 ,    -0.124363939931277E+01 , 
   0.82000 ,    -0.270641285971984E+01 ,     0.905061437258904E-01 ,    -0.121287554981116E+01 , 
   0.84000 ,    -0.264138273529639E+01 ,     0.135454776251758E+00 ,    -0.117291994952072E+01 , 
   0.86000 ,    -0.278334290727696E+01 ,     0.176787662203671E+00 ,    -0.114559083294647E+01 , 
   0.88000 ,    -0.296105048441245E+01 ,     0.186726472727457E+00 ,    -0.114611410427763E+01 , 
   0.90000 ,    -0.296764503305767E+01 ,     0.161870981128333E+00 ,    -0.117240447240281E+01 , 
   0.92000 ,    -0.269838408454055E+01 ,     0.124129714704607E+00 ,    -0.120627873637341E+01 , 
   0.94000 ,    -0.223099540627693E+01 ,     0.102594628600001E+00 ,    -0.122537852233872E+01 , 
   0.96000 ,    -0.179075943140452E+01 ,     0.111247695494578E+00 ,    -0.121740978121019E+01 , 
   0.98000 ,    -0.161579828297877E+01 ,     0.139513668173877E+00 ,    -0.118727293960067E+01 , 
   1.00000 ,    -0.180435535814106E+01 ,     0.161876390017693E+00 ,    -0.115298199152171E+01 , 
   1.02000 ,    -0.224058009694515E+01 ,     0.157951328446750E+00 ,    -0.113384999621164E+01 , 
   1.04000 ,    -0.264776365484161E+01 ,     0.126984216420108E+00 ,    -0.113901352563034E+01 , 
   1.06000 ,    -0.273865732654712E+01 ,     0.859627512045727E-01 ,    -0.116326554968260E+01 , 
   1.08000 ,    -0.237278235342136E+01 ,     0.537831329757327E-01 ,    -0.119174046049905E+01 , 
   1.10000 ,    -0.162837272990838E+01 ,     0.347017918775223E-01 ,    -0.120932177471068E+01 , 
   1.12000 ,    -0.751564427067952E+00 ,     0.144459862144727E-01 ,    -0.120843324812093E+01 , 
   1.14000 ,    -0.206671162411390E-01 ,    -0.278754281283991E-01 ,    -0.119103188495817E+01 , 
   1.16000 ,     0.389427819008661E+00 ,    -0.101343176831345E+00 ,    -0.116502535974292E+01 , 
   1.18000 ,     0.466188892360004E+00 ,    -0.192608969784063E+00 ,    -0.113871012445188E+01 , 
   1.20000 ,     0.320023682002111E+00 ,    -0.271473035409685E+00 ,    -0.111713154778854E+01 , 
   1.22000 ,     0.875710750233724E-01 ,    -0.308982482750631E+00 ,    -0.110189733541633E+01 , 
   1.24000 ,    -0.150929202940454E+00 ,    -0.295493154882172E+00 ,    -0.109309577220095E+01 , 
   1.26000 ,    -0.387591688700473E+00 ,    -0.246870865414266E+00 ,    -0.109073356462153E+01 , 
   1.28000 ,    -0.635219298808584E+00 ,    -0.196134345847184E+00 ,    -0.109414934348566E+01 , 
   1.30000 ,    -0.855544547173696E+00 ,    -0.177818889815467E+00 ,    -0.110007228558450E+01 , 
   1.32000 ,    -0.928662461549092E+00 ,    -0.215538472184609E+00 ,    -0.110154976041524E+01 , 
   1.34000 ,    -0.696500795350885E+00 ,    -0.318005774272394E+00 ,    -0.108967583616170E+01 , 
   1.36000 ,    -0.620438193070003E-01 ,    -0.480536653280366E+00 ,    -0.105811461202799E+01 , 
   1.38000 ,     0.915097028899690E+00 ,    -0.685490080409264E+00 ,    -0.100815311476351E+01 , 
