Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
163941.149       61481      229875  0.420E-02  0.104E+00  0.873E+06  0.322E+01  0.138E+02
164441.148      102098      482542  0.166E-02  0.679E-01  0.547E+06  0.299E+01  0.151E+02
164941.150      136466      716226  0.972E-03  0.439E-01  0.501E+06  0.291E+01  0.530E+01
165441.145      167094      947522  0.632E-03  0.284E-01  0.107E+06  0.288E+01  0.213E+01
165941.147      196071     1174324  0.466E-03  0.180E-01  0.154E+06  0.272E+01  0.877E+00
170441.150      222500     1392555  0.342E-03  0.117E-01  0.124E+06  0.255E+01  0.720E+00
170941.151      246621     1610736  0.284E-03  0.793E-02  0.124E+06  0.252E+01  0.365E+00
171441.148      270201     1828039  0.241E-03  0.553E-02  0.357E+05  0.269E+01  0.442E+00
171941.155      291845     2034344  0.221E-03  0.400E-02  0.449E+05  0.230E+01  0.382E+00
172441.245      312538     2242823  0.258E-03  0.286E-02  0.327E+05  0.226E+01  0.268E+00
172941.152      332709     2455046  0.211E-03  0.219E-02  0.327E+05  0.247E+01  0.511E+00
173441.162      352451     2672469  0.204E-03  0.165E-02  0.259E+05  0.210E+01  0.525E+00
