Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
040142.321       61074       94701  0.254E+00  0.546E+00
041142.319      105346      191007  0.185E+00  0.464E+00
042142.279      145785      287309  0.148E+00  0.400E+00
043142.253      184290      383680  0.123E+00  0.346E+00
044142.309      221341      480008  0.104E+00  0.301E+00
045142.298      256489      576388  0.885E-01  0.263E+00
050142.227      289951      672725  0.761E-01  0.231E+00
051142.223      321980      769590  0.658E-01  0.205E+00
052142.219      352926      866519  0.575E-01  0.181E+00
053142.223      382343      963537  0.508E-01  0.161E+00
054142.213      410479     1060501  0.452E-01  0.144E+00
055142.218      437469     1157654  0.408E-01  0.129E+00
060142.242      463538     1254857  0.370E-01  0.116E+00
061142.214      488445     1352045  0.338E-01  0.104E+00
062142.224      512428     1449360  0.311E-01  0.940E-01
063142.223      535282     1546654  0.288E-01  0.853E-01
064142.233      557171     1643981  0.266E-01  0.777E-01
065142.270      577833     1741534  0.248E-01  0.712E-01
070142.277      597796     1839003  0.232E-01  0.656E-01
071142.285      616862     1936439  0.219E-01  0.605E-01
072142.266      635922     2033927  0.206E-01  0.559E-01
073142.277      653828     2131373  0.196E-01  0.519E-01
074142.323      671915     2228864  0.186E-01  0.484E-01
075142.225      689244     2326297  0.176E-01  0.451E-01
080142.222      705990     2423927  0.168E-01  0.422E-01
081142.257      722339     2521528  0.161E-01  0.396E-01
082142.267      738204     2619236  0.154E-01  0.372E-01
083142.241      753723     2717003  0.148E-01  0.351E-01
084142.225      769107     2814823  0.141E-01  0.331E-01
085142.275      784081     2912571  0.136E-01  0.314E-01
090142.249      798878     3010277  0.130E-01  0.297E-01
091142.251      813435     3107967  0.125E-01  0.282E-01
092142.221      827650     3205644  0.121E-01  0.268E-01
093142.231      841770     3303353  0.117E-01  0.255E-01
094142.278      855533     3401149  0.112E-01  0.243E-01
095142.252      869175     3499004  0.109E-01  0.231E-01
100142.266      882621     3596570  0.105E-01  0.221E-01
101142.260      895661     3693399  0.102E-01  0.211E-01
102142.329      908634     3791113  0.983E-02  0.202E-01
103142.371      921803     3888948  0.952E-02  0.193E-01
104142.276      934498     3986770  0.928E-02  0.185E-01
105142.297      947070     4084651  0.904E-02  0.178E-01
110142.630      959682     4182531  0.881E-02  0.171E-01
111142.421      972144     4280316  0.859E-02  0.164E-01
112142.428      984435     4378169  0.833E-02  0.158E-01
113142.280      996746     4476148  0.816E-02  0.151E-01
114142.308     1008977     4574198  0.797E-02  0.146E-01
115142.393     1021303     4672248  0.783E-02  0.140E-01
120142.289     1033338     4770219  0.762E-02  0.135E-01
121142.607     1045366     4868388  0.744E-02  0.130E-01
122142.493     1057217     4966509  0.731E-02  0.126E-01
123142.308     1069032     5064462  0.716E-02  0.121E-01
124142.560     1080724     5162642  0.704E-02  0.117E-01
125142.287     1092494     5260794  0.689E-02  0.113E-01
130142.289     1104190     5358902  0.682E-02  0.109E-01
131142.285     1115796     5457196  0.665E-02  0.106E-01
132142.319     1127199     5555347  0.655E-02  0.103E-01
133142.402     1138602     5653623  0.644E-02  0.994E-02
134142.342     1149951     5751735  0.629E-02  0.963E-02
135142.268     1161186     5850005  0.618E-02  0.935E-02
140142.593     1172409     5948317  0.608E-02  0.907E-02
141142.345     1183673     6046386  0.601E-02  0.881E-02
142142.307     1194842     6144841  0.591E-02  0.857E-02
143142.442     1205890     6242988  0.585E-02  0.833E-02
144142.292     1216951     6341361  0.572E-02  0.811E-02
145142.380     1228042     6439828  0.564E-02  0.789E-02
150142.361     1239090     6538198  0.557E-02  0.769E-02
151142.302     1250044     6636633  0.549E-02  0.749E-02
152142.384     1261044     6735167  0.546E-02  0.730E-02
153142.314     1271940     6833568  0.539E-02  0.712E-02
154142.324     1282842     6932015  0.533E-02  0.695E-02
155142.287     1293684     7030526  0.526E-02  0.679E-02
160142.282     1304525     7128948  0.520E-02  0.663E-02
161142.328     1315262     7227403  0.514E-02  0.649E-02
162142.339     1325890     7325921  0.510E-02  0.636E-02
163142.314     1336591     7424515  0.506E-02  0.622E-02
164142.267     1347300     7523024  0.500E-02  0.610E-02
165142.295     1357998     7621585  0.496E-02  0.597E-02
170142.337     1369057     7720196  0.493E-02  0.586E-02
171142.377     1379707     7818845  0.486E-02  0.574E-02
172142.345     1390365     7917600  0.481E-02  0.563E-02
173142.277     1401056     8016267  0.476E-02  0.552E-02
174142.223     1411795     8115021  0.473E-02  0.542E-02
175142.233     1422367     8213821  0.464E-02  0.533E-02
180142.251     1432897     8312569  0.461E-02  0.523E-02
181142.239     1443340     8411386  0.459E-02  0.514E-02
182142.232     1454022     8510180  0.455E-02  0.505E-02
183142.261     1464542     8609057  0.450E-02  0.496E-02
184142.232     1475002     8707809  0.449E-02  0.488E-02
185142.228     1485550     8806538  0.442E-02  0.481E-02
190142.260     1496022     8905343  0.438E-02  0.473E-02
191142.260     1506432     9004140  0.434E-02  0.466E-02
192142.251     1516962     9102906  0.430E-02  0.459E-02
193142.237     1527380     9201717  0.428E-02  0.453E-02
194142.228     1537842     9300649  0.426E-02  0.446E-02
195142.230     1548297     9399503  0.423E-02  0.440E-02
200142.286     1558787     9498394  0.419E-02  0.434E-02
201142.248     1569089     9597314  0.418E-02  0.428E-02
202142.286     1579464     9696085  0.415E-02  0.422E-02
203142.290     1589935     9794880  0.414E-02  0.417E-02
204142.234     1600353     9893721  0.411E-02  0.412E-02
205142.228     1610783     9992703  0.409E-02  0.406E-02
210142.220     1621089    10091599  0.405E-02  0.402E-02
211142.264     1631444    10190457  0.402E-02  0.398E-02
212142.265     1641767    10289433  0.401E-02  0.393E-02
213142.296     1652006    10388277  0.397E-02  0.389E-02
214142.261     1662270    10487109  0.396E-02  0.385E-02
215142.273     1672579    10586045  0.396E-02  0.381E-02
220142.461     1682506    10684536  0.392E-02  0.377E-02
221142.274     1692749    10783335  0.391E-02  0.373E-02
222142.291     1703036    10882228  0.389E-02  0.370E-02
223142.307     1713280    10981156  0.387E-02  0.366E-02
224142.294     1723658    11080016  0.384E-02  0.362E-02
225142.328     1733822    11178874  0.382E-02  0.359E-02
230142.364     1744007    11277575  0.379E-02  0.356E-02
231142.357     1754243    11376341  0.379E-02  0.352E-02
232142.392     1764419    11475188  0.377E-02  0.349E-02
233142.324     1774733    11574021  0.376E-02  0.346E-02
234142.280     1784962    11672980  0.374E-02  0.343E-02
235142.262     1795090    11771852  0.371E-02  0.340E-02
