 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   0.60000 ,    -0.332308850046653E+01 ,     0.333691413370687E+00 ,    -0.115560240534660E+01 , 
   0.62000 ,    -0.332303727775637E+01 ,     0.177272955513829E+00 ,    -0.124283174089659E+01 , 
   0.64000 ,    -0.332341424305850E+01 ,     0.405535344280883E-02 ,    -0.132093614487190E+01 , 
   0.66000 ,    -0.335882514458244E+01 ,    -0.896755988607914E-01 ,    -0.135542704843931E+01 , 
   0.68000 ,    -0.347801809837058E+01 ,    -0.639716248924258E-01 ,    -0.133642806536683E+01 , 
   0.70000 ,    -0.368117814486730E+01 ,     0.455634411478170E-01 ,    -0.128116083987172E+01 , 
   0.72000 ,    -0.388688428401515E+01 ,     0.158217620699804E+00 ,    -0.122183184535428E+01 , 
   0.74000 ,    -0.396437296999922E+01 ,     0.204220419516281E+00 ,    -0.118673803661479E+01 , 
   0.76000 ,    -0.381749117982746E+01 ,     0.167408072213189E+00 ,    -0.118561221416529E+01 , 
   0.78000 ,    -0.346296510545488E+01 ,     0.879866024866598E-01 ,    -0.120698107758496E+01 , 
   0.80000 ,    -0.304159025396305E+01 ,     0.280869304716278E-01 ,    -0.122787193840819E+01 , 
   0.82000 ,    -0.274325345874058E+01 ,     0.274092662328275E-01 ,    -0.122911016777070E+01 , 
   0.84000 ,    -0.268779169649472E+01 ,     0.798450087360071E-01 ,    -0.120675693517227E+01 , 
   0.86000 ,    -0.284025546941844E+01 ,     0.144110851395272E+00 ,    -0.117321778743665E+01 , 
   0.88000 ,    -0.302276913767034E+01 ,     0.176637019815972E+00 ,    -0.114812101273283E+01 , 
   0.90000 ,    -0.302364169840826E+01 ,     0.161178267050338E+00 ,    -0.114517246018250E+01 , 
   0.92000 ,    -0.273786519397667E+01 ,     0.115285918124316E+00 ,    -0.116328136795077E+01 , 
   0.94000 ,    -0.224735656288253E+01 ,     0.726806124796193E-01 ,    -0.118729008736556E+01 , 
   0.96000 ,    -0.178387141883079E+01 ,     0.576870788328998E-01 ,    -0.119760817483492E+01 , 
   0.98000 ,    -0.159165271147237E+01 ,     0.711080481361004E-01 ,    -0.118265091909510E+01 , 
   1.00000 ,    -0.177256664128236E+01 ,     0.955481634336550E-01 ,    -0.114640716463333E+01 , 
   1.02000 ,    -0.221040851938907E+01 ,     0.112432062494285E+00 ,    -0.110653773890033E+01 , 
   1.04000 ,    -0.262353177505516E+01 ,     0.115228676351099E+00 ,    -0.108417756895096E+01 , 
   1.06000 ,    -0.271626055957306E+01 ,     0.108787463254281E+00 ,    -0.109157187256370E+01 , 
   1.08000 ,    -0.233979053514965E+01 ,     0.976657418448917E-01 ,    -0.112487564669507E+01 , 
   1.10000 ,    -0.156952302546697E+01 ,     0.757890126789103E-01 ,    -0.116625220332226E+01 , 
   1.12000 ,    -0.658567128603106E+00 ,     0.281689363896931E-01 ,    -0.119383369709422E+01 , 
   1.14000 ,     0.984827810272297E-01 ,    -0.555230938524646E-01 ,    -0.119355346009787E+01 , 
   1.16000 ,     0.508127294320250E+00 ,    -0.166657259377567E+00 ,    -0.116602551606847E+01 , 
   1.18000 ,     0.547749146799273E+00 ,    -0.275542699223637E+00 ,    -0.112489665006099E+01 , 
   1.20000 ,     0.334523569469878E+00 ,    -0.345477316416285E+00 ,    -0.108829012417543E+01 , 
   1.22000 ,     0.282212429914449E-01 ,    -0.354294098006393E+00 ,    -0.106884162731030E+01 , 
   1.24000 ,    -0.262249013439681E+00 ,    -0.308549206288239E+00 ,    -0.106809911068368E+01 , 
   1.26000 ,    -0.510570326020074E+00 ,    -0.240656227266772E+00 ,    -0.107780496466481E+01 , 
   1.28000 ,    -0.732398575424936E+00 ,    -0.191687151654681E+00 ,    -0.108613037289134E+01 , 
   1.30000 ,    -0.912141057124136E+00 ,    -0.192405602940246E+00 ,    -0.108424837742551E+01 , 
   1.32000 ,    -0.958231429485855E+00 ,    -0.254725631717492E+00 ,    -0.106930732108618E+01 , 
   1.34000 ,    -0.728155147432870E+00 ,    -0.375917156441841E+00 ,    -0.104309432729838E+01 , 
   1.36000 ,    -0.116990827840440E+00 ,    -0.547040315471236E+00 ,    -0.100890517104346E+01 , 
