Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
170508.464       88710      306755  0.178E-02  0.765E-01  0.945E+06  0.301E+01  0.987E-01
171008.465      147779      617208  0.700E-03  0.343E-01  0.935E+06  0.288E+01  0.359E-01
171508.461      200702      923807  0.357E-03  0.142E-01  0.197E+06  0.301E+01  0.188E+00
172008.460      247405     1230725  0.236E-03  0.642E-02  0.927E+05  0.262E+01  0.109E+00
172508.462      288294     1534440  0.196E-03  0.328E-02  0.578E+05  0.290E+01  0.105E+00
173008.455      326311     1840664  0.191E-03  0.175E-02  0.422E+05  0.255E+01  0.897E-01
173508.458      362314     2147102  0.193E-03  0.103E-02  0.285E+05  0.246E+01  0.835E-01
174008.459      396029     2452780  0.218E-03  0.781E-03  0.349E+05  0.236E+01  0.130E+00
174508.455      427662     2755797  0.244E-03  0.697E-03  0.343E+05  0.247E+01  0.433E-01
175008.463      458269     3058810  0.265E-03  0.634E-03  0.369E+05  0.239E+01  0.111E+00
175508.458      488233     3361230  0.284E-03  0.571E-03  0.450E+05  0.245E+01  0.758E-01
180008.461      518161     3663570  0.339E-03  0.508E-03  0.531E+05  0.220E+01  0.669E-01
