 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   0.60000 ,    -0.358744936189457E+01 ,     0.180003727335068E+00 ,    -0.125623713043022E+01 , 
   0.62000 ,    -0.343345951134262E+01 ,     0.190550645654929E+00 ,    -0.124473343531305E+01 , 
   0.64000 ,    -0.324643803545061E+01 ,     0.188192311834497E+00 ,    -0.122585952155543E+01 , 
   0.66000 ,    -0.315448514626347E+01 ,     0.182573195012302E+00 ,    -0.120875115704270E+01 , 
   0.68000 ,    -0.327101345625733E+01 ,     0.169775706873423E+00 ,    -0.120894818818334E+01 , 
   0.70000 ,    -0.359221406012999E+01 ,     0.139269802472970E+00 ,    -0.123519167736162E+01 , 
   0.72000 ,    -0.396446165642275E+01 ,     0.900912748789905E-01 ,    -0.127924680998705E+01 , 
   0.74000 ,    -0.415904523638022E+01 ,     0.408705493561928E-01 ,    -0.131747914259296E+01 , 
   0.76000 ,    -0.401537874778414E+01 ,     0.225489818341124E-01 ,    -0.132452166585895E+01 , 
   0.78000 ,    -0.355840288603512E+01 ,     0.567370845792380E-01 ,    -0.129023751682021E+01 , 
   0.80000 ,    -0.300378513491911E+01 ,     0.135606489802492E+00 ,    -0.122809782905221E+01 , 
   0.82000 ,    -0.263525852171781E+01 ,     0.220320000703338E+00 ,    -0.116852447989500E+01 , 
   0.84000 ,    -0.262623014557355E+01 ,     0.262475836688399E+00 ,    -0.114097851464561E+01 , 
   0.86000 ,    -0.292182760673562E+01 ,     0.235680607161778E+00 ,    -0.115637558056078E+01 , 
   0.88000 ,    -0.326437138719549E+01 ,     0.155265746597055E+00 ,    -0.120125939127031E+01 , 
   0.90000 ,    -0.335354046130065E+01 ,     0.708625909273486E-01 ,    -0.124720887179570E+01 , 
   0.92000 ,    -0.304214996578403E+01 ,     0.350571576804221E-01 ,    -0.126882963590244E+01 , 
   0.94000 ,    -0.244066716240913E+01 ,     0.686383714718384E-01 ,    -0.125839856373103E+01 , 
   0.96000 ,    -0.185895246391200E+01 ,     0.146333849128617E+00 ,    -0.122818918679676E+01 , 
   0.98000 ,    -0.161741669437006E+01 ,     0.213401272708685E+00 ,    -0.120023567561863E+01 , 
   1.00000 ,    -0.184433037448769E+01 ,     0.222195103884751E+00 ,    -0.119147099618306E+01 , 
   1.02000 ,    -0.238614337696233E+01 ,     0.163823289047147E+00 ,    -0.120428272358262E+01 , 
   1.04000 ,    -0.288699967591869E+01 ,     0.732728518017250E-01 ,    -0.122768735100024E+01 , 
   1.06000 ,    -0.298839041693381E+01 ,     0.473347963275133E-02 ,    -0.124657098777552E+01 , 
   1.08000 ,    -0.252769517477920E+01 ,    -0.561381548866788E-02 ,    -0.125147889986396E+01 , 
   1.10000 ,    -0.161966163171356E+01 ,     0.362480154918064E-01 ,    -0.124239466928405E+01 , 
   1.12000 ,    -0.580995625299483E+00 ,     0.871331862351839E-01 ,    -0.122537792013521E+01 , 
   1.14000 ,     0.246097481175960E+00 ,     0.964323698878872E-01 ,    -0.120628503408695E+01 , 
   1.16000 ,     0.661044531205837E+00 ,     0.397059409133194E-01 ,    -0.118711266487651E+01 , 
   1.18000 ,     0.669658138729321E+00 ,    -0.664862420528192E-01 ,    -0.116731170744900E+01 , 
   1.20000 ,     0.425812895043168E+00 ,    -0.177123714994971E+00 ,    -0.114777901967566E+01 , 
   1.22000 ,     0.106559226520478E+00 ,    -0.248278539516441E+00 ,    -0.113304538778314E+01 , 
   1.24000 ,    -0.189660267499175E+00 ,    -0.262918662177920E+00 ,    -0.112904187715666E+01 , 
   1.26000 ,    -0.459605850408299E+00 ,    -0.236995265804497E+00 ,    -0.113793345107975E+01 , 
   1.28000 ,    -0.729473606250269E+00 ,    -0.205163640408929E+00 ,    -0.115431199436996E+01 , 
   1.30000 ,    -0.966764268940377E+00 ,    -0.199330545744889E+00 ,    -0.116623144992638E+01 , 
   1.32000 ,    -0.104285905002238E+01 ,    -0.235596683442219E+00 ,    -0.116089689772617E+01 , 
   1.34000 ,    -0.782737354001300E+00 ,    -0.315500180345401E+00 ,    -0.113134438465545E+01 , 
