Cluster	# of Li atoms
    1         6
    2         9
    3       112
    5        11
    9        20
   10         6
   12        38
   15         1
   16        46
   17         5
   18         2
   20         8
   22         1
   24         7
   25        26
   27        54
   29        12
   30         5
   31        77
   32         9
   33        82
   34        48
   36         8
   39        60
   42         1
   49         4
   50         5
   51        37
   53         2
   54        57
   56       170
   59        27
   62        11
   63         3
   64         9
   65         5
   67         5
   68        57
   69         1
   72        17
   73         7
   74        56
   76         3
   78        66
   82        12
   84         7
   85         7
   86         8
   87         8
   90        23
   91         1
   92         4
   96         4
   98         1
  100         1
  104         3
  105        31
  106         6
  107         3
  108         5
  109         6
  111         3
  117         5
  121         9
  127         3
  129         9
  134        14
  136        15
  137        11
  139         7
  146         4
  147         9
  151         7
  153         7
  155         7
  156         1
  158         2
  159         4
  160         5
  162         4
  164         1
  168         2
  169         5
  170         7
  175         9
  177        17
  178         1
  179        10
  181         1
  185         4
  186        71
  187        11
  190         4
  192         4
  196         6
  197         2
  202         8
  205         6
  206         7
  208         4
  213         9
  214         3
  219         2
  221         2
  225         9
  226        11
  229         3
  233        10
  244         8
  248         1
  254         3
  258         1
  260         3
  276         2
  278         5
  280         8
  283        13
  284         1
  285         2
  288         4
  289         4
  292         8
  295         3
  297         2
  298         4
  299         1
  300         1
  301         3
  308         2
  309         6
  310         5
  312         1
  317        11
  318        10
  324         4
  325         3
  327         4
  329         1
  330         5
  331         1
  339         2
  343         1
  344         4
  346         1
  349         1
  350         2
  351         4
  353         2
  358         3
  359         2
  363         8
  370         6
  371         1
  374         1
  375         6
  380         2
  382         2
  385         2
  387         3
  390         1
  391         5
  392         3
  394         3
  398         1
  401         3
  404         2
  405         1
  406         1
  407         2
  410         4
  411         4
  413         2
  417         1
  418         1
  419         1
  421         1
  422         3
  427         3
  428         2
  431         2
  432         1
  434         2
  437         2
  438         7
  440         4
  441         8
  442         1
  443         2
  448         1
  450         1
  454         2
  459         3
  460         2
  462         2
  465         3
  468         1
  469         5
  470         2
  471         3
  472         3
  477         2
  480         1
  487         1
  490         2
  491         1
  494         2
  497         6
  503         1
  504         2
  505         2
  508         1
  509         2
  510         6
  519         6
  520         1
  521         1
  522         2
  524         5
  525         1
  527         1
  528         3
  531         3
  533         4
  534         1
  537         1
  543         2
  547         3
  548         1
  553         6
  556         2
  559         3
  560         2
  564         1
  569         3
  573         1
  575         1
  576         6
  578         1
  579         1
  581         2
  586         2
  587         1
  590         2
  595         3
  606         4
  614        10
  618         1
  619         2
  621         3
  622         3
  623         2
  625         1
  626         1
  627         2
  628         1
  630         3
  631         1
  633         2
  635         1
  637         1
  639         2
  640         1
  642         1
  644         1
  645         1
  646         2
  647         1
  650         1
  651         2
  652         1
  654         1
  657         2
  659         1
  660         1
  661         1
  665         2
  666         3
  669         1
  670         2
  673         1
  674         2
  675         1
  676         1
  677         1
  678         1
  680         1
  681         1
  682         1
  683         1
  685         1
  687         1
  688         1
  689         1
  690         1
  693         1
  694         1
  695         1
  696         1
  697         1
  701         1
  704         1
  705         1
  706         1
  707         1
  708         1
  709         1
  710         1
  711         1
  712         1
  713         1
  714         1
  716         1
  718         1
  719         1
  720         1
  721         1
  722         1
  723         1
  724         1
  725         1
  726         1
  727         1
  728         1
  729         1
  730         1
  731         1
  734         1
  735         1
  737         2
  738         1
  739         1
  740         1
  741         1
  742         1
  743         1
  744         1
  745         1
  747         1
  749         1
  750         1
  751         1
  752         1
  753         1
  755         1
  756         1
  758         1
  759         1
  760         1
  761         2
  762         1
  763         1
  764         1
  765         1
  766         1
  767         1
  768         1
  769         1
  770         1
  771         1
  772         1
  773         1
  774         1
  776         1
  777         1
  778         1
  779         1
